시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
J10,경기도교육청,7530907,가온고등학교,주간,상업계,20220901
J10,경기도교육청,7530907,가온고등학교,주간,일반계,20220901
J10,경기도교육청,7530974,가운고등학교,주간,일반계,20220901
J10,경기도교육청,7530854,가좌고등학교,주간,일반계,20220901
J10,경기도교육청,7530633,가평고등학교,주간,공업계,20220901
J10,경기도교육청,7530633,가평고등학교,주간,상업계,20220901
J10,경기도교육청,7530633,가평고등학교,주간,일반계,20220901
J10,경기도교육청,7531270,갈매고등학교,주간,일반계,20220901
J10,경기도교육청,7531390,감일고등학교,주간,일반계,20220901
J10,경기도교육청,7531377,경기게임마이스터고등학교,주간,공업계,20220901
J10,경기도교육청,7531377,경기게임마이스터고등학교,주간,상업계,20220901
J10,경기도교육청,7531275,경기경영고등학교,주간,가사계,20220901
J10,경기도교육청,7531275,경기경영고등학교,주간,공업계,20220901
J10,경기도교육청,7531275,경기경영고등학교,주간,상업계,20220901
J10,경기도교육청,7530045,경기과학고등학교,주간,과학계,20220901
J10,경기도교육청,7531056,경기관광고등학교,주간,상업계,20220901
J10,경기도교육청,7531056,경기관광고등학교,주간,일반계,20220901
J10,경기도교육청,7530989,경기국제통상고등학교,주간,상업계,20220901
J10,경기도교육청,7530551,경기대명고등학교,주간,대안,20220901
J10,경기도교육청,7530903,경기모바일과학고등학교,주간,공업계,20220901
J10,경기도교육청,7530903,경기모바일과학고등학교,주간,상업계,20220901
J10,경기도교육청,7530945,경기물류고등학교,주간,상업계,20220901
J10,경기도교육청,7530945,경기물류고등학교,주간,일반계,20220901
J10,경기도교육청,7531222,경기미용예술고등학교,주간,이용미용계,20220901
J10,경기도교육청,7530851,경기북과학고등학교,주간,과학계,20220901
J10,경기도교육청,7531052,경기세무고등학교,주간,상업계,20220901
J10,경기도교육청,7531052,경기세무고등학교,주간,일반계,20220901
J10,경기도교육청,7531380,경기스마트고등학교,주간,공업계,20220901
J10,경기도교육청,7530943,경기영상과학고등학교,주간,공업계,20220901
J10,경기도교육청,7530569,경기예술고등학교,주간,예술계,20220901
J10,경기도교육청,7530909,경기외국어고등학교,주간,외국어계,20220901
J10,경기도교육청,7530908,경기자동차과학고등학교,주간,공업계,20220901
J10,경기도교육청,7530908,경기자동차과학고등학교,주간,상업계,20220901
J10,경기도교육청,7530908,경기자동차과학고등학교,주간,일반계,20220901
J10,경기도교육청,7530937,경기창조고등학교,주간,일반계,20220901
J10,경기도교육청,7530046,경기체육고등학교,주간,체육계,20220901
J10,경기도교육청,7531378,경기폴리텍고등학교,주간,공업계,20220901
J10,경기도교육청,7531382,경기항공고등학교,주간,공업계,20220901
J10,경기도교육청,7530995,경민IT고등학교,주간,공업계,20220901
J10,경기도교육청,7530995,경민IT고등학교,주간,상업계,20220901
J10,경기도교육청,7530141,경민고등학교,주간,일반계,20220901
J10,경기도교육청,7531061,경민비즈니스고등학교,주간,상업계,20220901
J10,경기도교육청,7530143,경안고등학교,주간,일반계,20220901
J10,경기도교육청,7530860,경은학교,주간,일반계,20220901
J10,경기도교육청,7531055,경일관광경영고등학교,주간,공업계,20220901
J10,경기도교육청,7531055,경일관광경영고등학교,주간,농업계,20220901
J10,경기도교육청,7531055,경일관광경영고등학교,주간,상업계,20220901
J10,경기도교육청,7531055,경일관광경영고등학교,주간,일반계,20220901
J10,경기도교육청,7530993,경화여자English Business고등학교,주간,상업계,20220901
J10,경기도교육청,7530535,경화여자고등학교,주간,상업계,20220901
J10,경기도교육청,7530535,경화여자고등학교,주간,일반계,20220901
J10,경기도교육청,7530047,계남고등학교,주간,일반계,20220901
J10,경기도교육청,7530410,계명고등학교,주간,일반계,20220901
J10,경기도교육청,7530869,계명고등학교(2년제),야간,일반계,20220901
J10,경기도교육청,7530869,계명고등학교(2년제),주간,일반계,20220901
J10,경기도교육청,7530144,계원예술고등학교,주간,예술계,20220901
J10,경기도교육청,7551295,계원예술중학교,주간,예술계,20220901
J10,경기도교육청,7531242,고림고등학교,주간,일반계,20220901
J10,경기도교육청,7530878,고색고등학교,주간,일반계,20220901
J10,경기도교육청,7530576,고양고등학교,주간,공업계,20220901
J10,경기도교육청,7530576,고양고등학교,주간,농업계,20220901
J10,경기도교육청,7530576,고양고등학교,주간,일반계,20220901
J10,경기도교육청,7530977,고양국제고등학교,주간,국제계,20220901
J10,경기도교육청,7530977,고양국제고등학교,주간,일반계,20220901
J10,경기도교육청,7531099,고양동산고등학교,주간,일반계,20220901
J10,경기도교육청,7531360,고양송암고등학교,야간,전문계,20220901
