시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
S10,경상남도교육청,9010122,가조익천종합고등학교,주간,일반계,20220901
S10,경상남도교육청,9010438,간디고등학교,주간,대안,20220901
S10,경상남도교육청,9010438,간디고등학교,주간,일반계,20220901
S10,경상남도교육청,9010079,거제고등학교,주간,일반계,20220901
S10,경상남도교육청,9010123,거제공업고등학교,주간,공업계,20220901
S10,경상남도교육청,9010480,거제상문고등학교,주간,일반계,20220901
S10,경상남도교육청,9010124,거제수산고등학교,주간,수산해양계,20220901
S10,경상남도교육청,9010202,거제애광학교,주간,일반계,20220901
S10,경상남도교육청,9010479,거제여자상업고등학교,주간,상업계,20220901
S10,경상남도교육청,9010323,거제옥포고등학교,주간,일반계,20220901
S10,경상남도교육청,9010275,거제제일고등학교,주간,일반계,20220901
S10,경상남도교육청,9010031,거제중앙고등학교,주간,일반계,20220901
S10,경상남도교육청,9010228,거제해양과학고등학교,주간,수산해양계,20220901
S10,경상남도교육청,9010080,거창고등학교,주간,일반계,20220901
S10,경상남도교육청,9010081,거창대성고등학교,주간,일반계,20220901
S10,경상남도교육청,9010157,거창대성여자상업고등학교,주간,공업계,20220901
S10,경상남도교육청,9010158,거창상업고등학교,주간,공업계,20220901
S10,경상남도교육청,9010690,거창승강기고등학교,주간,공업계,20220901
S10,경상남도교육청,9010690,거창승강기고등학교,주간,상업계,20220901
S10,경상남도교육청,9010690,거창승강기고등학교,주간,일반계,20220901
S10,경상남도교육청,9010032,거창여자고등학교,주간,일반계,20220901
S10,경상남도교육청,9010659,거창연극고등학교,주간,대안,20220901
S10,경상남도교육청,9010659,거창연극고등학교,주간,일반계,20220901
S10,경상남도교육청,9010127,거창종합고등학교,주간,공업계,20220901
S10,경상남도교육청,9010240,거창중앙고등학교,주간,상업계,20220901
S10,경상남도교육청,9010240,거창중앙고등학교,주간,일반계,20220901
S10,경상남도교육청,9010437,경남간호고등학교,주간,가사계,20220901
S10,경상남도교육청,9010437,경남간호고등학교,주간,일반계,20220901
S10,경상남도교육청,9010539,경남고성음악고등학교,주간,대안,20220901
