시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
R10,경상북도교육청,8750075,가은고등학교,주간,일반계,20220901
R10,경상북도교육청,8750076,가천고등학교,주간,일반계,20220901
R10,경상북도교육청,8750474,강구정보고등학교,주간,상업계,20220901
R10,경상북도교육청,8750143,경구고등학교,주간,일반계,20220901
R10,경상북도교육청,8750078,경북과학고등학교,주간,과학계,20220901
R10,경상북도교육청,8750078,경북과학고등학교,주간,일반계,20220901
R10,경상북도교육청,8750627,경북과학기술고등학교,주간,공업계,20220901
R10,경상북도교육청,8750627,경북과학기술고등학교,주간,기계금속자동차계,20220901
R10,경상북도교육청,8750627,경북과학기술고등학교,주간,전기전자통신계,20220901
R10,경상북도교육청,8750667,경북기계금속고등학교,주간,공동실습소,20220901
R10,경상북도교육청,8750667,경북기계금속고등학교,주간,공업계,20220901
R10,경상북도교육청,8750667,경북기계금속고등학교,주간,기계금속자동차계,20220901
R10,경상북도교육청,8750758,경북기계명장고등학교,주간,공업계,20220901
R10,경상북도교육청,8750758,경북기계명장고등학교,주간,일반계,20220901
R10,경상북도교육청,8750731,경북드론고등학교,주간,공업계,20220901
R10,경상북도교육청,8750731,경북드론고등학교,주간,전기전자통신계,20220901
R10,경상북도교육청,8750444,경북생활과학고등학교,주간,가사계,20220901
R10,경상북도교육청,8750730,경북세무고등학교,주간,상업계,20220901
R10,경상북도교육청,8750730,경북세무고등학교,주간,일반계,20220901
R10,경상북도교육청,8750730,경북세무고등학교,주간,전문계,20220901
R10,경상북도교육청,8750767,경북소프트웨어고등학교,주간,상업계,20220901
R10,경상북도교육청,8750767,경북소프트웨어고등학교,주간,전자미디어계,20220901
R10,경상북도교육청,8750725,경북식품과학마이스터고등학교,주간,농업계,20220901
R10,경상북도교육청,8750725,경북식품과학마이스터고등학교,주간,상업계,20220901
R10,경상북도교육청,8750079,경북외국어고등학교,주간,외국어계,20220901
R10,경상북도교육청,8750079,경북외국어고등학교,주간,일반계,20220901
R10,경상북도교육청,8750724,경북일고등학교,주간,일반계,20220901
R10,경상북도교육청,8750770,경북자연과학고등학교,주간,공업계,20220901
R10,경상북도교육청,8750770,경북자연과학고등학교,주간,농생명계,20220901
R10,경상북도교육청,8750770,경북자연과학고등학교,주간,일반계,20220901
R10,경상북도교육청,8750770,경북자연과학고등학교,주간,전문계,20220901
R10,경상북도교육청,8750726,경북조리과학고등학교,주간,가사계,20220901
R10,경상북도교육청,8750726,경북조리과학고등학교,주간,상업계,20220901
R10,경상북도교육청,8750479,경북차세대고등학교(교육용),야간,전문계,20220901
R10,경상북도교육청,8750479,경북차세대고등학교(교육용),주간,일반계,20220901
R10,경상북도교육청,8750080,경북체육고등학교,주간,일반계,20220901
R10,경상북도교육청,8750080,경북체육고등학교,주간,체육계,20220901
R10,경상북도교육청,8750644,경북하이텍고등학교,주간,건설계,20220901
R10,경상북도교육청,8750644,경북하이텍고등학교,주간,공업계,20220901
R10,경상북도교육청,8750644,경북하이텍고등학교,주간,상업계,20220901
R10,경상북도교육청,8750644,경북하이텍고등학교,주간,전기전자통신계,20220901
R10,경상북도교육청,8750644,경북하이텍고등학교,주간,화공계,20220901
R10,경상북도교육청,8750557,경북항공고등학교,주간,공업계,20220901
R10,경상북도교육청,8750557,경북항공고등학교,주간,공업계공통,20220901
R10,경상북도교육청,8750557,경북항공고등학교,주간,기계금속자동차계,20220901
R10,경상북도교육청,8750557,경북항공고등학교,주간,전기전자통신계,20220901
R10,경상북도교육청,8750557,경북항공고등학교,주간,항공계,20220901
R10,경상북도교육청,8750776,경북휴먼테크고등학교,주간,공업계,20220901
R10,경상북도교육청,8750776,경북휴먼테크고등학교,주간,기계금속자동차계,20220901
R10,경상북도교육청,8750081,경산고등학교,주간,일반계,20220901
R10,경상북도교육청,8750224,경산공업고등학교,주간,일반계,20220901
R10,경상북도교육청,8750555,경산과학고등학교,주간,과학계,20220901
R10,경상북도교육청,8750555,경산과학고등학교,주간,일반계,20220901
R10,경상북도교육청,8750144,경산여자고등학교,주간,일반계,20220901
R10,경상북도교육청,8750297,경산여자상업고등학교,주간,일반계,20220901
R10,경상북도교육청,8750646,경산자인학교,주간,일반계,20220901
R10,경상북도교육청,8750771,경산제일고등학교,주간,가사계,20220901
R10,경상북도교육청,8750771,경산제일고등학교,주간,상업계,20220901
R10,경상북도교육청,8750145,경안고등학교,주간,일반계,20220901
R10,경상북도교육청,8750588,경안여자고등학교,주간,상업계,20220901
R10,경상북도교육청,8750588,경안여자고등학교,주간,일반계,20220901
R10,경상북도교육청,8750298,경안여자상업고등학교,주간,일반계,20220901
R10,경상북도교육청,8750146,경일고등학교,주간,일반계,20220901
R10,경상북도교육청,8750147,경주고등학교,주간,일반계,20220901
R10,경상북도교육청,8750225,경주공업고등학교,주간,건설계,20220901
R10,경상북도교육청,8750225,경주공업고등학교,주간,공동실습소,20220901
R10,경상북도교육청,8750225,경주공업고등학교,주간,공업계,20220901
R10,경상북도교육청,8750225,경주공업고등학교,주간,기계금속자동차계,20220901
R10,경상북도교육청,8750225,경주공업고등학교,주간,전기전자통신계,20220901
R10,경상북도교육청,8750225,경주공업고등학교,주간,화공계,20220901
R10,경상북도교육청,8750446,경주디자인고등학교,주간,공업계,20220901
R10,경상북도교육청,8750446,경주디자인고등학교,주간,디자인계,20220901
R10,경상북도교육청,8750583,경주마케팅고등학교,주간,상업계,20220901
R10,경상북도교육청,8750583,경주마케팅고등학교,주간,전문계,20220901
R10,경상북도교육청,8750299,경주상업고등학교,주간,일반계,20220901
R10,경상북도교육청,8750082,경주여자고등학교,주간,일반계,20220901
R10,경상북도교육청,8750300,경주여자상업고등학교,주간,일반계,20220901
R10,경상북도교육청,8750457,경주여자정보고등학교,주간,가사계,20220901
R10,경상북도교육청,8750457,경주여자정보고등학교,주간,상업계,20220901
R10,경상북도교육청,8750772,경주예일고등학교,주간,일반계,20220901
R10,경상북도교육청,8750433,경주정보고등학교,주간,상업계,20220901
R10,경상북도교육청,8750148,경주화랑고등학교,주간,대안,20220901
R10,경상북도교육청,8750148,경주화랑고등학교,주간,일반계,20220901
R10,경상북도교육청,8750356,경희학교,주간,일반계,20220901
R10,경상북도교육청,8750083,계림고등학교,주간,일반계,20220901
R10,경상북도교육청,8750586,고령고등학교,주간,가사계,20220901
R10,경상북도교육청,8750586,고령고등학교,주간,공업계,20220901
R10,경상북도교육청,8750586,고령고등학교,주간,공업계공통,20220901
R10,경상북도교육청,8750586,고령고등학교,주간,기계금속자동차계,20220901
R10,경상북도교육청,8750586,고령고등학교,주간,농업계,20220901
R10,경상북도교육청,8750586,고령고등학교,주간,상업계,20220901
R10,경상북도교육청,8750586,고령고등학교,주간,일반계,20220901
R10,경상북도교육청,8750586,고령고등학교,주간,전문계,20220901
R10,경상북도교육청,8750228,고령여자종합고등학교,주간,상업계,20220901
R10,경상북도교육청,8750228,고령여자종합고등학교,주간,일반계,20220901
R10,경상북도교육청,8750471,구룡포여자종합고등학교,주간,상업계,20220901
R10,경상북도교육청,8750471,구룡포여자종합고등학교,주간,일반계,20220901
R10,경상북도교육청,8750084,구미고등학교,주간,일반계,20220901
R10,경상북도교육청,8750613,구미고등학교부설방송통신고등학교,주간,일반계,20220901
R10,경상북도교육청,8750613,구미고등학교부설방송통신고등학교,주야간,일반계,20220901
R10,경상북도교육청,8750754,구미산동고등학교,주간,일반계,20220901
R10,경상북도교육청,8750231,구미상업고등학교,주간,일반계,20220901
R10,경상북도교육청,8750085,구미여자고등학교,주간,일반계,20220901
R10,경상북도교육청,8750611,구미여자상업고등학교,주간,상업계,20220901
R10,경상북도교육청,8750611,구미여자상업고등학교,주야간,상업계,20220901
R10,경상북도교육청,8750232,구미여자상업고등학교(미사용),주간,일반계,20220901
R10,경상북도교육청,1421116,구미전자공업고등학교,주간,공업계,20220901
R10,경상북도교육청,1421116,구미전자공업고등학교,주간,기계금속자동차계,20220901
R10,경상북도교육청,1421116,구미전자공업고등학교,주간,전기전자통신계,20220901
R10,경상북도교육청,1421116,구미전자공업고등학교,주야간,공업계,20220901
R10,경상북도교육청,8750234,구미정보고등학교,주간,상업계,20220901
R10,경상북도교육청,8750086,군위고등학교,주간,일반계,20220901
R10,경상북도교육청,8750087,군위여자고등학교,주간,일반계,20220901
R10,경상북도교육청,8750520,군위정보고등학교,주간,상업계,20220901
R10,경상북도교육청,8750151,근화여자고등학교,주간,일반계,20220901
R10,경상북도교육청,8750642,글로벌선진학교문경캠퍼스,주간,일반계,20220901
R10,경상북도교육청,8750643,글로벌선진학교문경캠퍼스(중),주간,일반계,20220901
R10,경상북도교육청,8750088,금성고등학교,주간,일반계,20220901
R10,경상북도교육청,8750236,금성여자상업고등학교,주간,상업계,20220901
