시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
B10,서울특별시교육청,test003,(미사용)서울케이고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010057,가락고등학교,주간,일반계,20220901
B10,서울특별시교육청,7011169,가재울고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010117,강동고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010118,강서고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010270,강서공업고등학교,주간,공업계,20220901
B10,서울특별시교육청,7010958,강일고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010058,개포고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010119,건국대학교사범대학부속고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010059,경기고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010271,경기기계공업고등학교,주간,공업계,20220901
B10,서울특별시교육청,0000000,경기기계공업고등학교부설공동실습소,주간,기계공동실습소,20220901
B10,서울특별시교육청,7010272,경기상업고등학교,주간,특성화,20220901
B10,서울특별시교육청,7010060,경기여자고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010385,경기여자고등학교부설방송통신고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010061,경동고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010386,경동고등학교부설방송통신고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010120,경문고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010062,경복고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010387,경복고등학교부설방송통신고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010835,경복비즈니스고등학교,주간,특성화,20220901
B10,서울특별시교육청,7010122,경복여자고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010124,경성고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010125,경신고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010563,경인고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010698,경일고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010126,경희고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010127,경희여자고등학교,주간,일반계,20220901
B10,서울특별시교육청,7011312,계성고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010797,고려대학교사범대학부속고등학교,주간,일반계,20220901
B10,서울특별시교육청,7011487,고명외식고등학교,주간,상업계,20220901
B10,서울특별시교육청,7010063,고척고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010064,공항고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010065,관악고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010066,광남고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010131,광문고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010132,광성고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010133,광신고등학교,주간,일반계,20220901
B10,서울특별시교육청,7011488,광신방송예술고등학교,주간,상업계,20220901
B10,서울특별시교육청,7010067,광양고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010134,광영고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010135,광영여자고등학교,주간,일반계,20220901
B10,서울특별시교육청,7011505,광운인공지능고등학교,야간,공업계,20220901
B10,서울특별시교육청,7011505,광운인공지능고등학교,주간,공업계,20220901
B10,서울특별시교육청,7010068,구로고등학교,주간,일반계,20220901
B10,서울특별시교육청,7011111,구암고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010069,구일고등학교,주간,일반계,20220901
B10,서울특별시교육청,7010827,구현고등학교,주간,일반계,20220901
B10,서울특별시교육청,1371661,국립국악고등학교,주간,예술계,20220901
B10,서울특별시교육청,1371663,국립전통예술고등학교,주간,예술계,20220901
