시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
H10,울산광역시교육청,7480237,강동고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480124,남목고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480023,남창고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480126,다운고등학교,주간,일반계,20220901
H10,울산광역시교육청,7491101,다전초등학교,주간,일반계,20220901
H10,울산광역시교육청,7480135,달천고등학교,주간,일반계,20220901
H10,울산광역시교육청,7491153,달천중학교,주간,일반계,20220901
H10,울산광역시교육청,7480069,대송고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480093,대현고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480199,매곡고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480054,메아리학교,주간,일반계,20220901
H10,울산광역시교육청,7480107,무거고등학교,주간,일반계,20220901
H10,울산광역시교육청,7501011,무거중학교,주간,일반계,20220901
H10,울산광역시교육청,7480070,무룡고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480088,문수고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480108,문현고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480024,방어진고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480071,방어진여자고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480125,범서고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480096,삼산고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480031,삼일여자고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480032,상북고등학교,주간,일반계,20220901
H10,울산광역시교육청,7491159,상안중학교,주간,일반계,20220901
H10,울산광역시교육청,7480033,성광여자고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480034,성신고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480207,세인고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480095,신선여자고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480072,신정고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480189,약사고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480188,언양고등학교,주간,농업계,20220901
H10,울산광역시교육청,7480188,언양고등학교,주간,일반계,20220901
H10,울산광역시교육청,7480042,언양농업고등학교,주간,농업계,20220901
H10,울산광역시교육청,7480043,언양여자상업고등학교,주간,상업계,20220901
