시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
E10,인천광역시교육청,7310207,가림고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310035,가정고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310217,가좌고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310346,강남영상미디어고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310346,강남영상미디어고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310036,강화고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310201,강화여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7530222,강화여자종합고등학교,주간,상업계,20220901
E10,인천광역시교육청,7530222,강화여자종합고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310203,검단고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310037,계산고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310090,계산공업고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310038,계산여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310039,계양고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310067,광성고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310189,교동고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310143,남인여자상업고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310144,대경여자상업학교,주간,일반계,20220901
E10,인천광역시교육청,7310069,대인고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310041,대청고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310070,덕신고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310042,덕적고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310220,도림고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310071,동산고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310043,동인천고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310131,동일여자상업고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310072,명신여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310073,문일여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310192,문학정보고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310350,미추홀외국어고등학교,주간,외국어계,20220901
E10,인천광역시교육청,7310338,미추홀학교,주간,일반계,20220901
E10,인천광역시교육청,7310132,민혜고등기술학교,주간,가사실업계,20220901
E10,인천광역시교육청,7310132,민혜고등기술학교,주간,이용미용계,20220901
E10,인천광역시교육청,7310427,박문여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310403,백령고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310403,백령고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310044,백석고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310219,부개고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310045,부개여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310046,부광고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310047,부광여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310133,부평고등기술학교,주간,공업계,20220901
E10,인천광역시교육청,7310048,부평고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310093,부평공업고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310049,부평여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310118,부평여자상업고등학교(삭제),주간,상업계,20220901
E10,인천광역시교육청,7310145,북인천여자상업고등학교(삭제),주간,일반계,20220901
E10,인천광역시교육청,7310212,산마을고등학교,주간,대안,20220901
E10,인천광역시교육청,7310119,삼량종합고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310119,삼량종합고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310190,삼산고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310050,서도고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310204,서운고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310075,서인천고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310051,석정여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310052,선인고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310077,세일고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310078,송도고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310153,송원학교,주간,일반계,20220901
E10,인천광역시교육청,7310079,숭덕여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310080,신명여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310250,신송고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310214,안남고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310053,연수고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310054,연수여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310055,연평고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310261,영종국제물류고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310560,영화국제관광고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310123,영화여자상업고등학교(삭제),주간,상업계,20220901
E10,인천광역시교육청,7310146,예화여자상업고등학교(삭제),주간,일반계,20220901
E10,인천광역시교육청,7310147,예화여자정보산업고등학교(삭제),주간,일반계,20220901
E10,인천광역시교육청,7310216,옥련여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310082,인명여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310083,인성여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310056,인일여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310084,인제고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310134,인천고등기술학교,주간,일반계,20220901
E10,인천광역시교육청,7310057,인천고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310348,인천고잔고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310205,인천공항고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310058,인천과학고등학교,주간,과학계,20220901
E10,인천광역시교육청,7310449,인천과학예술영재학교,주간,일반계,20220901
E10,인천광역시교육청,7310334,인천국제고등학교,주간,국제계,20220901
E10,인천광역시교육청,7310475,인천금융고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310100,인천기계공업고등학교,주간,공동실습소,20220901
E10,인천광역시교육청,7310100,인천기계공업고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310100,인천기계공업고등학교,주야간,공업계,20220901
E10,인천광역시교육청,7310059,인천남고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310339,인천남동고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310256,인천논현고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310068,인천대건고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310563,인천대중예술고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310191,인천디자인고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310452,인천마전고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310332,인천만수고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310480,인천미래생활고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310593,인천바이오과학고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310455,인천보건고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310248,인천부흥고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310148,인천북공업고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310453,인천뷰티예술고등학교,주간,가사실업계,20220901
E10,인천광역시교육청,7310453,인천뷰티예술고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310345,인천비즈니스고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310257,인천산곡고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310245,인천산업정보학교,주간,직업,20220901
E10,인천광역시교육청,7310342,인천상정고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310193,인천생활과학고등학교,주간,가사계,20220901
E10,인천광역시교육청,7310193,인천생활과학고등학교,주간,가사실업계,20220901
E10,인천광역시교육청,7310347,인천세무고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310369,인천세원고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310592,인천소방고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310373,인천송천고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310333,인천신현고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310598,인천아라고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310060,인천여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310129,인천여자고등학교부설방송통신고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310103,인천여자공예고등학교(삭제),주간,공업계,20220901
E10,인천광역시교육청,7310103,인천여자공예고등학교(삭제),주간,상업계,20220901
E10,인천광역시교육청,7310104,인천여자상업고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310105,인천여자정보산업고등학교(삭제),주간,상업계,20220901
E10,인천광역시교육청,7310422,인천연송고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310150,인천연일학교,주간,일반계,20220901
E10,인천광역시교육청,7310259,인천영선고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310405,인천영종고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310383,인천영흥고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310061,인천예술고등학교,주간,예술계,20220901
E10,인천광역시교육청,7310253,인천예일고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310242,인천외국어고등학교,주간,외국어계,20220901
E10,인천광역시교육청,7310260,인천원당고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310151,인천인혜학교,주간,일반계,20220901
E10,인천광역시교육청,7310561,인천재능고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310370,인천전자마이스터고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310564,인천정보과학고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310126,인천제일상업고등학교(삭제),주간,상업계,20220901
E10,인천광역시교육청,7310562,인천중산고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310128,인천중앙여자상업고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310404,인천진산과학고등학교,주간,과학계,20220901
E10,인천광역시교육청,7310404,인천진산과학고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310446,인천청담고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310375,인천청라고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310062,인천체육고등학교,주간,체육계,20220901
E10,인천광역시교육청,7310374,인천초은고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310447,인천포스코고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310371,인천하늘고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310418,인천한누리학교,주간,일반계,20220901
E10,인천광역시교육청,7310108,인천항공정보산업고등학교(삭제),주간,공업계,20220901
E10,인천광역시교육청,7310384,인천해밀학교,주간,일반계,20220901
E10,인천광역시교육청,1192069,인천해사고등학교,주간,해양계,20220901
E10,인천광역시교육청,7310349,인천해송고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310109,인천해양과학고등학교,주간,수산해양계,20220901
E10,인천광역시교육청,7310109,인천해양과학고등학교,주간,수산해운계,20220901
E10,인천광역시교육청,7310423,인천해원고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310252,인천효성고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310479,인평자동차고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310479,인평자동차고등학교,주간,특성화,20220901
E10,인천광역시교육청,7310085,인하대학교사범대학부속고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310086,인항고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310063,인화여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310213,작전고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310241,작전여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310372,정석항공과학고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310064,제물포고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310130,제물포고등학교부설방송통신고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310246,제일고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310246,제일고등학교,주간,일반계,20220901
E10,인천광역시교육청,7361223,하늘유치원,주간,일반계,20220901
E10,인천광역시교육청,7310387,학력인정남인천고등학교,야간,상업계,20220901
E10,인천광역시교육청,7310387,학력인정남인천고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310394,학력인정남인천고등학교(2년제),야간,상업계,20220901
E10,인천광역시교육청,7310394,학력인정남인천고등학교(2년제),주간,상업계,20220901
E10,인천광역시교육청,7310389,학력인정예화여자고등학교,야간,상업계,20220901
E10,인천광역시교육청,7310389,학력인정예화여자고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310396,학력인정예화여자고등학교(2년제),야간,상업계,20220901
E10,인천광역시교육청,7310476,학력인정인천생활예술고등학교,야간,가사계,20220901
E10,인천광역시교육청,7310476,학력인정인천생활예술고등학교,야간,상업계,20220901
E10,인천광역시교육청,7310476,학력인정인천생활예술고등학교,주간,가사계,20220901
E10,인천광역시교육청,7310476,학력인정인천생활예술고등학교,주간,상업계,20220901
E10,인천광역시교육청,7310476,학력인정인천생활예술고등학교,주간,예술계,20220901
E10,인천광역시교육청,7310395,학력인정인천생활예술고등학교(2년제),야간,가사계,20220901
E10,인천광역시교육청,7310065,학익고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310066,학익여자고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310601,한국글로벌셰프고등학교,주간,가사실업계,20220901
E10,인천광역시교육청,7310601,한국글로벌셰프고등학교,주간,일반계,20220901
E10,인천광역시교육청,7310454,한국주얼리고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310454,한국주얼리고등학교,주간,특성화,20220901
E10,인천광역시교육청,7310135,한진고등기술학교,주간,가사실업계,20220901
E10,인천광역시교육청,7310135,한진고등기술학교,주간,이용미용계,20220901
E10,인천광역시교육청,7310176,한진실업고등학교,주간,공업계,20220901
E10,인천광역시교육청,7310176,한진실업고등학교,주간,상업계,20220901
E10,인천광역시교육청,7361226,해나라유치원,주간,일반계,20220901

