시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
T10,제주특별자치도교육청,9290076,남녕고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290076,남녕고등학교,주간,체육계,20220901
T10,제주특별자치도교육청,9290073,남주고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290075,대기고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290056,대정고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290057,대정여자고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290074,삼성여자고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290059,서귀포고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290060,서귀포산업과학고등학교,주간,공업계,20220901
T10,제주특별자치도교육청,9290060,서귀포산업과학고등학교,주간,농업계,20220901
T10,제주특별자치도교육청,9290061,서귀포여자고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290102,성산고등학교,주간,공업계,20220901
T10,제주특별자치도교육청,9290102,성산고등학교,주간,수산해양계,20220901
T10,제주특별자치도교육청,9290102,성산고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290102,성산고등학교,주간,종합계,20220901
T10,제주특별자치도교육청,9290064,세화고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290072,신성여자고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290086,애월고등학교,주간,상업계,20220901
T10,제주특별자치도교육청,9290086,애월고등학교,주간,예술계,20220901
T10,제주특별자치도교육청,9290086,애월고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290086,애월고등학교,주간,종합계,20220901
T10,제주특별자치도교육청,9290089,영주고등학교,주간,공업계,20220901
T10,제주특별자치도교육청,9290089,영주고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290089,영주고등학교,주간,종합계,20220901
T10,제주특별자치도교육청,9290069,오현고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290096,제주고등학교,주간,가사계,20220901
T10,제주특별자치도교육청,9290096,제주고등학교,주간,공업계,20220901
T10,제주특별자치도교육청,9290096,제주고등학교,주간,농업계,20220901
T10,제주특별자치도교육청,9290066,제주과학고등학교,주간,과학계,20220901
T10,제주특별자치도교육청,7003713,제주대학교사범대학부설고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290071,제주여자고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290051,제주여자상업고등학교,주간,상업계,20220901
T10,제주특별자치도교육청,9290068,제주외국어고등학교,주간,외국어계,20220901
T10,제주특별자치도교육청,9290049,제주제일고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290079,제주제일고등학교부설방송통신고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290088,제주중앙고등학교,주간,상업계,20220901
T10,제주특별자치도교육청,9290088,제주중앙고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290088,제주중앙고등학교,주간,종합계,20220901
T10,제주특별자치도교육청,9290050,제주중앙여자고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290128,중문고등학교,주간,가사계,20220901
T10,제주특별자치도교육청,9290128,중문고등학교,주간,상업계,20220901
T10,제주특별자치도교육청,9290087,표선고등학교,주간,가사계,20220901
T10,제주특별자치도교육청,9290087,표선고등학교,주간,가사실업계,20220901
T10,제주특별자치도교육청,9290087,표선고등학교,주간,상업계,20220901
T10,제주특별자치도교육청,9290087,표선고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290087,표선고등학교,주간,종합계,20220901
T10,제주특별자치도교육청,9290104,한국뷰티고등학교,주간,가사계,20220901
T10,제주특별자치도교육청,9290104,한국뷰티고등학교,주간,상업계,20220901
T10,제주특별자치도교육청,9290055,한림고등학교,주간,일반계,20220901
T10,제주특별자치도교육청,9290054,한림공업고등학교,주간,공업계,20220901
T10,제주특별자치도교육청,9290103,함덕고등학교,주간,상업계,20220901
T10,제주특별자치도교육청,9290103,함덕고등학교,주간,예술계,20220901
T10,제주특별자치도교육청,9290103,함덕고등학교,주간,일반계,20220901

