시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
N10,충청남도교육청,8222003,가야곡중학교,주간,일반계,20220901
N10,충청남도교육청,8140032,갈산고등학교,주간,일반계,20220901
N10,충청남도교육청,8261004,갈산중학교,주간,일반계,20220901
N10,충청남도교육청,8140034,강경고등학교,주간,일반계,20220901
N10,충청남도교육청,8140110,강경상업고등학교,주간,상업계,20220901
N10,충청남도교육청,8140378,강경상업고등학교,주간,상업계,20220901
N10,충청남도교육청,8140378,강경상업고등학교,주간,일반계,20220901
N10,충청남도교육청,8222004,강경여자중학교,주간,일반계,20220901
N10,충청남도교육청,8222005,강경중학교,주간,일반계,20220901
N10,충청남도교육청,8140360,건양대학교병설건양고등학교,주간,일반계,20220901
N10,충청남도교육청,8222115,건양대학교병설건양중학교,주간,일반계,20220901
N10,충청남도교육청,8261005,결성중학교,주간,일반계,20220901
N10,충청남도교육청,8161016,경천중학교,주간,일반계,20220901
N10,충청남도교육청,8140237,계룡고등학교,주간,일반계,20220901
N10,충청남도교육청,8291004,고대중학교,주간,일반계,20220901
N10,충청남도교육청,8271004,고덕중학교,주간,일반계,20220901
N10,충청남도교육청,8191006,고북중학교,주간,일반계,20220901
N10,충청남도교육청,8140222,공동체비전고등학교,주간,일반계,20220901
N10,충청남도교육청,8140036,공주고등학교,주간,일반계,20220901
N10,충청남도교육청,8140080,공주금성여자고등학교,주간,일반계,20220901
N10,충청남도교육청,7004629,공주대학교사범대학부설고등학교,주간,일반계,20220901
N10,충청남도교육청,7004628,공주대학교사범대학부설중학교,주간,일반계,20220901
N10,충청남도교육청,8140347,공주마이스터고등학교,주간,공업계,20220901
N10,충청남도교육청,8161017,공주북중학교,주간,일반계,20220901
N10,충청남도교육청,8140238,공주생명과학고등학교,주간,농업계,20220901
N10,충청남도교육청,8140037,공주여자고등학교,주간,일반계,20220901
N10,충청남도교육청,8140150,공주여자상업고등학교,주간,상업계,20220901
N10,충청남도교육청,8161005,공주여자중학교,주간,일반계,20220901
N10,충청남도교육청,8140082,공주영명고등학교,주간,일반계,20220901
N10,충청남도교육청,8161019,공주영명중학교,주간,일반계,20220901
N10,충청남도교육청,8140174,공주정명학교,주간,일반계,20220901
N10,충청남도교육청,8140196,공주정보고등학교,주간,상업계,20220901
N10,충청남도교육청,8222006,광석중학교,주간,일반계,20220901
N10,충청남도교육청,8140113,광천상업고등학교,주간,상업계,20220901
N10,충청남도교육청,8261006,광천여자중학교,주간,일반계,20220901
N10,충청남도교육청,8261007,광천중학교,주간,일반계,20220901
N10,충청남도교육청,8151025,광풍중학교,주간,일반계,20220901
N10,충청남도교육청,8261014,광흥중학교,주간,일반계,20220901
N10,충청남도교육청,8281004,근흥중학교,주간,일반계,20220901
N10,충청남도교육청,8261008,금마중학교,주간,일반계,20220901
N10,충청남도교육청,8140038,금산고등학교,주간,일반계,20220901
N10,충청남도교육청,8201004,금산동중학교,주간,일반계,20220901
N10,충청남도교육청,8140115,금산산업고등학교,주간,공업계,20220901
N10,충청남도교육청,8140115,금산산업고등학교,주간,농업계,20220901
N10,충청남도교육청,8140115,금산산업고등학교,주간,상업계,20220901
N10,충청남도교육청,8140039,금산여자고등학교,주간,상업계,20220901
N10,충청남도교육청,8140039,금산여자고등학교,주간,일반계,20220901
N10,충청남도교육청,8201005,금산여자중학교,주간,일반계,20220901
N10,충청남도교육청,8201006,금산중학교,주간,일반계,20220901
N10,충청남도교육청,8140343,금산하이텍고등학교,주간,공업계,20220901
N10,충청남도교육청,8211004,금호중학교,주간,일반계,20220901
N10,충청남도교육청,8222014,기민중학교,주간,일반계,20220901
N10,충청남도교육청,8140199,나사렛새꿈학교,주간,일반계,20220901
N10,충청남도교육청,8281011,남면중학교,주간,일반계,20220901
N10,충청남도교육청,8231004,남성중학교,주간,일반계,20220901
N10,충청남도교육청,8231048,남성중학교충화분교장,주간,일반계,20220901
N10,충청남도교육청,8201007,남일중학교,주간,일반계,20220901
N10,충청남도교육청,8171005,남포중학교,주간,일반계,20220901
N10,충청남도교육청,8222007,노성중학교,주간,일반계,20220901
N10,충청남도교육청,8140040,논산고등학교,주간,일반계,20220901
N10,충청남도교육청,8140116,논산공업고등학교,주간,공업계,20220901
N10,충청남도교육청,8140085,논산대건고등학교,주간,일반계,20220901
N10,충청남도교육청,8222015,논산대건중학교,주간,일반계,20220901
N10,충청남도교육청,8140041,논산여자고등학교,주간,일반계,20220901
N10,충청남도교육청,8140152,논산여자상업고등학교,주간,가사실업계,20220901
N10,충청남도교육청,8140152,논산여자상업고등학교,주간,상업계,20220901
N10,충청남도교육청,8222008,논산여자중학교,주간,일반계,20220901
N10,충청남도교육청,8222009,논산중학교,주간,일반계,20220901
N10,충청남도교육청,8140042,당진고등학교,주간,일반계,20220901
N10,충청남도교육청,8140042,당진고등학교,주간,직업,20220901
N10,충청남도교육청,8140117,당진상업고등학교,주간,상업계,20220901
N10,충청남도교육청,8140043,당진여자고등학교,주간,일반계,20220901
N10,충청남도교육청,8140118,당진정보고등학교,주간,상업계,20220901
