시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
M10,충청북도교육청,8000032,광혜원고등학교,주간,공업계,20220901
M10,충청북도교육청,8000032,광혜원고등학교,주간,일반계,20220901
M10,충청북도교육청,8000033,괴산고등학교,주간,일반계,20220901
M10,충청북도교육청,8000033,괴산고등학교,주간,직업,20220901
M10,충청북도교육청,8000034,괴산여자고등학교,주간,일반계,20220901
M10,충청북도교육청,8000308,국원고등학교,주간,농업계,20220901
M10,충청북도교육청,8000308,국원고등학교,주간,일반계,20220901
M10,충청북도교육청,8000279,글로벌선진학교,주간,대안,20220901
M10,충청북도교육청,8000279,글로벌선진학교,주간,일반계,20220901
M10,충청북도교육청,8000037,금왕여자고등학교,주간,일반계,20220901
M10,충청북도교육청,8000038,금천고등학교,주간,일반계,20220901
M10,충청북도교육청,8000197,꽃동네학교,주간,일반계,20220901
M10,충청북도교육청,8000039,단산고등학교,주간,일반계,20220901
M10,충청북도교육청,8000040,단양고등학교,주간,일반계,20220901
M10,충청북도교육청,8000431,대금고등학교,주간,일반계,20220901
M10,충청북도교육청,8000135,대성여자상업고등학교,주간,상업계,20220901
M10,충청북도교육청,8000135,대성여자상업고등학교,주야간,상업계,20220901
M10,충청북도교육청,8000183,매괴고등학교,주간,상업계,20220901
M10,충청북도교육청,8000183,매괴고등학교,주간,일반계,20220901
M10,충청북도교육청,8000136,매괴여자상업고등학교,주간,일반계,20220901
M10,충청북도교육청,8000042,목도고등학교,주간,일반계,20220901
M10,충청북도교육청,8000085,보은고등학교,주간,일반계,20220901
M10,충청북도교육청,8000106,보은농공고등학교,주간,일반계,20220901
M10,충청북도교육청,8000107,보은농업고등학교,주간,농업계,20220901
M10,충청북도교육청,8000108,보은상업고등학교,주간,일반계,20220901
M10,충청북도교육청,8000046,보은여자고등학교,주간,일반계,20220901
M10,충청북도교육청,8000192,보은정보고등학교,주간,상업계,20220901
M10,충청북도교육청,8000192,보은정보고등학교,주간,전문계,20220901
M10,충청북도교육청,8000212,봉명고등학교,주간,일반계,20220901
M10,충청북도교육청,8000109,부강공업고등학교,주간,공업계,20220901
M10,충청북도교육청,8000213,산남고등학교,주간,일반계,20220901
M10,충청북도교육청,8000047,상당고등학교,주간,일반계,20220901
M10,충청북도교육청,8000199,서원고등학교,주간,일반계,20220901
M10,충청북도교육청,8000376,서전고등학교,주간,일반계,20220901
M10,충청북도교육청,8000148,석천여자상업고등학교,주야간,상업계,20220901
M10,충청북도교육청,8000086,세광고등학교,주간,일반계,20220901
M10,충청북도교육청,8000087,세명고등학교,주간,일반계,20220901
M10,충청북도교육청,8000155,숭덕학교,주간,일반계,20220901
M10,충청북도교육청,8000815,양백상업고등학교,주간,상업계,20220901
M10,충청북도교육청,8000149,양백여자상업고등학교,주간,일반계,20220901
M10,충청북도교육청,8000090,양업고등학교,주간,대안,20220901
M10,충청북도교육청,8000090,양업고등학교,주간,일반계,20220901
M10,충청북도교육청,8000268,양청고등학교,주간,일반계,20220901
M10,충청북도교육청,8000048,영동고등학교,주간,일반계,20220901
M10,충청북도교육청,8000508,영동미래고등학교,주간,가사실업계,20220901
M10,충청북도교육청,8000508,영동미래고등학교,주간,상업계,20220901
M10,충청북도교육청,8000211,영동산업과학고등학교,주간,공업계,20220901
M10,충청북도교육청,8000211,영동산업과학고등학교,주간,농업계,20220901
M10,충청북도교육청,8000137,영동상업고등학교,주간,일반계,20220901
M10,충청북도교육청,8000049,영동여자고등학교,주간,일반계,20220901
M10,충청북도교육청,8000283,오송고등학교,주간,일반계,20220901
M10,충청북도교육청,8000050,오창고등학교,주간,일반계,20220901
M10,충청북도교육청,8000051,옥천고등학교,주간,일반계,20220901
M10,충청북도교육청,8000112,옥천공업고등학교,주간,공업계,20220901
M10,충청북도교육청,8000091,운호고등학교,주간,일반계,20220901
M10,충청북도교육청,8000520,은여울고등학교,주간,대안,20220901
M10,충청북도교육청,8000053,음성고등학교,주간,일반계,20220901
M10,충청북도교육청,8000054,음성여자고등학교,주간,일반계,20220901
M10,충청북도교육청,8000093,일신여자고등학교,주간,일반계,20220901
M10,충청북도교육청,8000093,일신여자고등학교,주야간,일반계,20220901
M10,충청북도교육청,8000057,제천고등학교,주간,일반계,20220901
M10,충청북도교육청,8000207,제천디지털전자고등학교,주간,가사실업계,20220901
M10,충청북도교육청,8000207,제천디지털전자고등학교,주간,공업계,20220901
M10,충청북도교육청,8000210,제천산업고등학교,주간,가사실업계,20220901
M10,충청북도교육청,8000210,제천산업고등학교,주간,공업계,20220901
M10,충청북도교육청,8000210,제천산업고등학교,주간,상업계,20220901
M10,충청북도교육청,8000121,제천상업고등학교,주간,상업계,20220901
M10,충청북도교육청,8000058,제천여자고등학교,주간,일반계,20220901
M10,충청북도교육청,8000216,제천제일고등학교,주간,농업계,20220901
M10,충청북도교육청,8000216,제천제일고등학교,주간,일반계,20220901
M10,충청북도교육청,8000059,주덕고등학교,주간,일반계,20220901
M10,충청북도교육청,8000201,주성고등학교,주간,일반계,20220901
M10,충청북도교육청,8000117,증평공업고등학교,주간,공업계,20220901
M10,충청북도교육청,8000118,증평상업고등학교,주간,일반계,20220901
M10,충청북도교육청,8000062,진천고등학교,주간,일반계,20220901
M10,충청북도교육청,8000122,진천상업고등학교,주간,상업계,20220901
M10,충청북도교육청,8000064,청산고등학교,주간,일반계,20220901
M10,충청북도교육청,8000065,청산여자고등학교,주간,일반계,20220901
M10,충청북도교육청,8000096,청석고등학교,주간,일반계,20220901
M10,충청북도교육청,8000385,청암학교,주간,일반계,20220901
M10,충청북도교육청,8000214,청원고등학교,주간,일반계,20220901
M10,충청북도교육청,8000507,청주IT과학고등학교,주간,상업계,20220901
M10,충청북도교육청,8000066,청주고등학교,주간,일반계,20220901
M10,충청북도교육청,8000145,청주고등학교부설방송통신고등학교,주간,일반계,20220901
M10,충청북도교육청,8000280,청주공업고등학교,주간,공업계,20220901
M10,충청북도교육청,8000125,청주농업고등학교,주간,농업계,20220901
M10,충청북도교육청,8000240,청주농업고등학교공동실습소,주간,농업계,20220901
M10,충청북도교육청,8000195,청주대성고등학교,주간,상업계,20220901
M10,충청북도교육청,8000195,청주대성고등학교,주간,일반계,20220901
M10,충청북도교육청,8000157,청주맹학교,주간,일반계,20220901
M10,충청북도교육청,8000139,청주상업고등학교,주간,일반계,20220901
M10,충청북도교육청,8000158,청주성신학교,주간,일반계,20220901
M10,충청북도교육청,8000203,청주신흥고등학교,주간,일반계,20220901
M10,충청북도교육청,8000069,청주여자고등학교,주간,일반계,20220901
M10,충청북도교육청,8000146,청주여자고등학교부설방송통신고등학교,주간,일반계,20220901
M10,충청북도교육청,8000140,청주여자상업고등학교,주간,상업계,20220901
M10,충청북도교육청,8000070,청주외국어고등학교,주간,외국어계,20220901
M10,충청북도교육청,8000072,청주중앙여자고등학교,주간,일반계,20220901
M10,충청북도교육청,8000430,청주하이텍고등학교,주간,공업계,20220901
M10,충청북도교육청,8000430,청주하이텍고등학교,주간,일반계,20220901
M10,충청북도교육청,8000159,청주혜원학교,주간,일반계,20220901
M10,충청북도교육청,8000160,청주혜화학교,주간,일반계,20220901
M10,충청북도교육청,8000073,청풍고등학교,주간,일반계,20220901
M10,충청북도교육청,8000074,충북고등학교,주간,일반계,20220901
M10,충청북도교육청,8000127,충북공업고등학교,주간,공업계,20220901
M10,충청북도교육청,8000238,충북공업고등학교공동실습소,주간,공업계,20220901
M10,충청북도교육청,8000075,충북과학고등학교,주간,과학계,20220901
