시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
K10,강원도교육청,7800036,가곡고등학교,주간,일반계,20220901
K10,강원도교육청,7811127,가정중학교,주간,대안,20220901
K10,강원도교육청,7800037,간동고등학교,주간,일반계,20220901
K10,강원도교육청,7800038,갑천고등학교,주간,일반계,20220901
K10,강원도교육청,7800039,강릉고등학교,주간,일반계,20220901
K10,강원도교육청,7800106,강릉명륜고등학교,주간,일반계,20220901
K10,강원도교육청,7800224,강릉문성고등학교,주간,상업계,20220901
K10,강원도교육청,7800224,강릉문성고등학교,주간,일반계,20220901
K10,강원도교육청,7800040,강릉여자고등학교,주간,일반계,20220901
K10,강원도교육청,7800259,강릉오성학교,주간,일반계,20220901
K10,강원도교육청,7800291,강릉정보공업고등학교,주간,가사계,20220901
K10,강원도교육청,7800291,강릉정보공업고등학교,주간,공업계,20220901
K10,강원도교육청,7800291,강릉정보공업고등학교,주간,상업계,20220901
K10,강원도교육청,7800298,강릉제일고등학교,주간,일반계,20220901
K10,강원도교육청,7800309,강릉제일고등학교부설방송통신고등학교,주간,일반계,20220901
K10,강원도교육청,7800416,강릉중앙고등학교,주간,공동실습소,20220901
K10,강원도교육청,7800416,강릉중앙고등학교,주간,공업계,20220901
K10,강원도교육청,7800416,강릉중앙고등학교,주간,농업계,20220901
K10,강원도교육청,7800108,강원고등학교,주간,일반계,20220901
K10,강원도교육청,7800041,강원과학고등학교,주간,과학계,20220901
K10,강원도교육청,7004207,강원대학교사범대학부설고등학교,주간,일반계,20220901
K10,강원도교육청,7800263,강원명진학교,주간,일반계,20220901
K10,강원도교육청,7800419,강원생활과학고등학교,주간,가사계,20220901
K10,강원도교육청,7800419,강원생활과학고등학교,주간,상업계,20220901
K10,강원도교육청,7800394,강원애니고등학교,주간,공업계,20220901
K10,강원도교육청,7800287,강원예술고등학교,주간,예술계,20220901
K10,강원도교육청,7800393,강원외국어고등학교,주간,외국어계,20220901
K10,강원도교육청,7800042,강원체육고등학교,주간,체육계,20220901
K10,강원도교육청,7800109,강일여자고등학교,주간,일반계,20220901
K10,강원도교육청,7800466,거진정보공업고등학교,주간,공업계,20220901
K10,강원도교육청,7800466,거진정보공업고등학교,주간,상업계,20220901
K10,강원도교육청,7800466,거진정보공업고등학교,주간,일반계,20220901
K10,강원도교육청,7800131,경포고등학교,주간,공업계,20220901
K10,강원도교육청,7800131,경포고등학교,주간,일반계,20220901
K10,강원도교육청,7800044,고성고등학교,주간,일반계,20220901
K10,강원도교육청,7800372,고한고등학교,주간,상업계,20220901
K10,강원도교육청,7800372,고한고등학교,주간,일반계,20220901
K10,강원도교육청,7800132,고한여자종합고등학교,주간,상업계,20220901
K10,강원도교육청,7800132,고한여자종합고등학교,주간,일반계,20220901
K10,강원도교육청,7800046,기린고등학교,주간,일반계,20220901
K10,강원도교육청,7800047,김화고등학교,주간,일반계,20220901
K10,강원도교육청,7800136,김화공업고등학교,주간,공업계,20220901
K10,강원도교육청,7800049,내면고등학교,주간,일반계,20220901
K10,강원도교육청,7800110,대성고등학교,주간,일반계,20220901
K10,강원도교육청,7800050,대진고등학교,주간,일반계,20220901
K10,강원도교육청,7800139,대화고등학교,주간,공업계,20220901
K10,강원도교육청,7800139,대화고등학교,주간,일반계,20220901
K10,강원도교육청,7800141,도계고등학교,주간,공업계,20220901
K10,강원도교육청,7800141,도계고등학교,주간,일반계,20220901
K10,강원도교육청,7800301,도계전산정보고등학교,주간,상업계,20220901
K10,강원도교육청,7800417,동광산업과학고등학교,주간,가사계,20220901
K10,강원도교육청,7800417,동광산업과학고등학교,주간,공업계,20220901
K10,강원도교육청,7800417,동광산업과학고등학교,주간,농업계,20220901
K10,강원도교육청,7800228,동해광희고등학교,주간,상업계,20220901
K10,강원도교육청,7800228,동해광희고등학교,주간,일반계,20220901
K10,강원도교육청,7800112,동해삼육고등학교,주간,일반계,20220901
K10,강원도교육청,7800148,동해상업고등학교,주간,상업계,20220901
K10,강원도교육청,7800053,둔내고등학교,주간,일반계,20220901
K10,강원도교육청,7800054,마차고등학교,주간,일반계,20220901
K10,강원도교육청,7800055,묵호고등학교,주간,일반계,20220901
K10,강원도교육청,7800238,묵호고등학교부설방송통신고등학교,주간,일반계,20220901
K10,강원도교육청,7800392,문막고등학교,주간,일반계,20220901
K10,강원도교육청,7800113,민족사관고등학교,주간,일반계,20220901
K10,강원도교육청,7800157,봉의고등학교,주간,공업계,20220901
K10,강원도교육청,7800157,봉의고등학교,주간,일반계,20220901
K10,강원도교육청,7800057,봉평고등학교,주간,일반계,20220901
K10,강원도교육청,7800158,북원여자고등학교,주간,공업계,20220901
K10,강원도교육청,7800158,북원여자고등학교,주간,일반계,20220901
K10,강원도교육청,7800160,북평고등학교,주간,공업계,20220901
K10,강원도교육청,7800160,북평고등학교,주간,일반계,20220901
K10,강원도교육청,7800061,북평여자고등학교,주간,일반계,20220901
K10,강원도교육청,7800062,사내고등학교,주간,일반계,20220901
K10,강원도교육청,7800161,사북고등학교,주간,공업계,20220901
K10,강원도교육청,7800161,사북고등학교,주간,일반계,20220901
K10,강원도교육청,7800115,삼일고등학교,주간,일반계,20220901
K10,강원도교육청,7800064,삼척고등학교,주간,일반계,20220901
K10,강원도교육청,7800465,삼척마이스터고등학교,주간,공업계,20220901
K10,강원도교육청,7800162,삼척여자고등학교,주간,상업계,20220901
K10,강원도교육청,7800162,삼척여자고등학교,주간,일반계,20220901
K10,강원도교육청,7800066,상동고등학교,주간,일반계,20220901
K10,강원도교육청,7800357,상지대관령고등학교,주간,상업계,20220901
K10,강원도교육청,7800357,상지대관령고등학교,주간,일반계,20220901
K10,강원도교육청,7800300,상지여자고등학교,주간,상업계,20220901
K10,강원도교육청,7800300,상지여자고등학교,주간,일반계,20220901
K10,강원도교육청,7800067,서석고등학교,주간,일반계,20220901
K10,강원도교육청,7800359,석정여자고등학교,주간,상업계,20220901
K10,강원도교육청,7800359,석정여자고등학교,주간,일반계,20220901
K10,강원도교육청,7800371,설악고등학교,주간,상업계,20220901
K10,강원도교육청,7800371,설악고등학교,주간,일반계,20220901
K10,강원도교육청,7800377,설악고등학교부설방송통신고등학교,주간,일반계,20220901
K10,강원도교육청,7800117,성수고등학교,주간,일반계,20220901
K10,강원도교육청,7800356,성수여자고등학교,주간,상업계,20220901
K10,강원도교육청,7800356,성수여자고등학교,주간,일반계,20220901
K10,강원도교육청,7800473,소양고등학교,주간,공업계,20220901
K10,강원도교육청,7800473,소양고등학교,주간,농업계,20220901
K10,강원도교육청,7800068,속초고등학교,주간,일반계,20220901
K10,강원도교육청,7800069,속초여자고등학교,주간,일반계,20220901
K10,강원도교육청,7800358,속초청해학교,주간,일반계,20220901
K10,강원도교육청,7800070,신남고등학교,주간,일반계,20220901
K10,강원도교육청,7800302,신철원고등학교,주간,농업계,20220901
K10,강원도교육청,7800302,신철원고등학교,주간,상업계,20220901
K10,강원도교육청,7800302,신철원고등학교,주간,일반계,20220901
K10,강원도교육청,7800071,안흥고등학교,주간,일반계,20220901
K10,강원도교육청,7800344,양구고등학교,주간,농업계,20220901
K10,강원도교육청,7800344,양구고등학교,주간,일반계,20220901
K10,강원도교육청,7800169,양구여자고등학교,주간,상업계,20220901
