시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
F10,광주광역시교육청,7380041,고려고등학교,주간,일반계,20220901
F10,광주광역시교육청,7401459,고실중학교,주간,일반계,20220901
F10,광주광역시교육청,7380042,광덕고등학교,주간,일반계,20220901
F10,광주광역시교육청,7380047,광일고등학교,주간,일반계,20220901
F10,광주광역시교육청,7380048,광주경신여자고등학교,주간,일반계,20220901
F10,광주광역시교육청,7380030,광주고등학교,주간,일반계,20220901
F10,광주광역시교육청,7380098,광주고등학교부설방송통신고등학교,주간,일반계,20220901
F10,광주광역시교육청,7380146,광주공업고등학교,주간,공업계,20220901
F10,광주광역시교육청,7380146,광주공업고등학교,주야간,공업계,20220901
F10,광주광역시교육청,7380031,광주과학고등학교,주간,과학계,20220901
F10,광주광역시교육청,7380049,광주대동고등학교,주간,일반계,20220901
F10,광주광역시교육청,7380176,광주대신고등학교,주간,일반계,20220901
F10,광주광역시교육청,7380127,광주동성고등학교,주간,일반계,20220901
F10,광주광역시교육청,7380050,광주동신고등학교,주간,일반계,20220901
F10,광주광역시교육청,7380051,광주동신여자고등학교,주간,일반계,20220901
F10,광주광역시교육청,7401265,광주명문중학교,주간,일반계,20220901
F10,광주광역시교육청,7391237,광주북성중학교부설방송통신중학교,주간,일반계,20220901
F10,광주광역시교육청,7380053,광주서석고등학교,주간,일반계,20220901
F10,광주광역시교육청,7380054,광주석산고등학교,주간,일반계,20220901
F10,광주광역시교육청,7380107,광주선광학교,주간,일반계,20220901
F10,광주광역시교육청,7380108,광주선명학교,주간,일반계,20220901
F10,광주광역시교육청,7380271,광주선우학교,주간,일반계,20220901
F10,광주광역시교육청,7380110,광주세광학교,주간,일반계,20220901
F10,광주광역시교육청,7380292,광주소프트웨어마이스터고등학교,주간,공업계,20220901
F10,광주광역시교육청,7380292,광주소프트웨어마이스터고등학교,주간,상업계,20220901
F10,광주광역시교육청,7380055,광주수피아여자고등학교,주간,일반계,20220901
