시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
D10,대구광역시교육청,7240223,강동고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240068,강북고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240053,경덕여자고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240069,경명여자고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240054,경북고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240123,경북공업고등학교,주간,공업계,20220901
D10,대구광역시교육청,7240123,경북공업고등학교,주간,공업계열,20220901
D10,대구광역시교육청,7240107,경북기계공업고등학교,주간,공업계,20220901
D10,대구광역시교육청,7240445,경북기계공업고등학교부설대구문화예술산업학교,주간,가사계,20220901
D10,대구광역시교육청,7240445,경북기계공업고등학교부설대구문화예술산업학교,주간,가사실업계열,20220901
D10,대구광역시교육청,7240445,경북기계공업고등학교부설대구문화예술산업학교,주간,공업계,20220901
D10,대구광역시교육청,7240445,경북기계공업고등학교부설대구문화예술산업학교,주간,농업계,20220901
D10,대구광역시교육청,7240445,경북기계공업고등학교부설대구문화예술산업학교,주간,상업계,20220901
D10,대구광역시교육청,7240445,경북기계공업고등학교부설대구문화예술산업학교,주간,상업정보계열,20220901
D10,대구광역시교육청,7004180,경북대학교사범대학부설고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240055,경북여자고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240296,경북여자상업고등학교,야간,상업계,20220901
D10,대구광역시교육청,7240296,경북여자상업고등학교,야간,상업정보계열,20220901
D10,대구광역시교육청,7240296,경북여자상업고등학교,주간,상업계,20220901
D10,대구광역시교육청,7240296,경북여자상업고등학교,주간,상업정보계열,20220901
D10,대구광역시교육청,7240070,경북예술고등학교,주간,예술계,20220901
D10,대구광역시교육청,7240071,경상고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240126,경상공업고등학교,주간,공업계,20220901
D10,대구광역시교육청,7240072,경상여자고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240073,경신고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240275,경신정보과학고등학교,주간,상업계,20220901
D10,대구광역시교육청,7240074,경원고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240075,경일여자고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240076,경화여자고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240078,계성고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240056,구암고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240080,능인고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240057,다사고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240224,달구벌고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240081,달서고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240058,달성고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240082,대건고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240205,대곡고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240059,대구고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240151,대구고등학교부설방송통신고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240111,대구공업고등학교,주간,공업계,20220901
D10,대구광역시교육청,7240453,대구공업고등학교 테크노폴리스 캠퍼스,주간,공업계,20220901
D10,대구광역시교육청,7240060,대구과학고등학교,주간,과학계,20220901
D10,대구광역시교육청,7240452,대구과학기술고등학교,주간,공업계,20220901
D10,대구광역시교육청,7240219,대구관광고등학교,주간,가사실업계,20220901
D10,대구광역시교육청,7240219,대구관광고등학교,주간,가사실업계열,20220901
D10,대구광역시교육청,7240219,대구관광고등학교,주간,상업계,20220901
D10,대구광역시교육청,7240197,대구광명학교,주간,일반계,20220901
D10,대구광역시교육청,7240450,대구국제고등학교,주간,국제계,20220901
D10,대구광역시교육청,7240213,대구남산고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240172,대구남양학교,주간,일반계,20220901
D10,대구광역시교육청,7240400,대구농업마이스터고등학교,주간,농생명산업계열,20220901
D10,대구광역시교육청,7240400,대구농업마이스터고등학교,주간,농업계,20220901
D10,대구광역시교육청,7240400,대구농업마이스터고등학교,주간,도시형첨단농업경영계열,20220901
D10,대구광역시교육청,7240400,대구농업마이스터고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240113,대구달서공업고등학교,주간,공업계,20220901
D10,대구광역시교육청,7240198,대구덕희학교,주간,예술계,20220901
D10,대구광역시교육청,7240217,대구동부고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240401,대구보건고등학교,야간,상업계,20220901
D10,대구광역시교육청,7240401,대구보건고등학교,주간,가사실업계,20220901
D10,대구광역시교육청,7240401,대구보건고등학교,주간,가사실업계열,20220901
D10,대구광역시교육청,7240401,대구보건고등학교,주간,경영·금융,20220901
D10,대구광역시교육청,7240401,대구보건고등학교,주간,농림·수산해양,20220901
D10,대구광역시교육청,7240401,대구보건고등학교,주간,농생명산업계열,20220901
D10,대구광역시교육청,7240401,대구보건고등학교,주간,보건·복지,20220901
D10,대구광역시교육청,7240401,대구보건고등학교,주간,상업계,20220901
D10,대구광역시교육청,7240401,대구보건고등학교,주간,상업정보계열,20220901
D10,대구광역시교육청,7240199,대구보건학교,주간,일반계,20220901
D10,대구광역시교육청,7240200,대구보명학교,주간,일반계,20220901
D10,대구광역시교육청,7240215,대구상원고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240061,대구서부고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240201,대구선명학교,주간,일반계,20220901
D10,대구광역시교육청,7240173,대구성보학교,주간,일반계,20220901
D10,대구광역시교육청,7240361,대구세명학교,주간,일반계,20220901
D10,대구광역시교육청,7240454,대구소프트웨어마이스터고등학교,주간,공업계열,20220901
D10,대구광역시교육청,7240454,대구소프트웨어마이스터고등학교,주간,상업계,20220901
D10,대구광역시교육청,7240454,대구소프트웨어마이스터고등학교,주간,상업정보계열,20220901
D10,대구광역시교육청,7240062,대구여자고등학교,주간,일반계,20220901
D10,대구광역시교육청,7240295,대구여자상업고등학교,야간,상업계,20220901
D10,대구광역시교육청,7240295,대구여자상업고등학교,야간,상업정보계열,20220901
D10,대구광역시교육청,7240295,대구여자상업고등학교,주간,상업계,20220901
D10,대구광역시교육청,7240295,대구여자상업고등학교,주간,상업정보계열,20220901
D10,대구광역시교육청,7240202,대구영화학교,주간,일반계,20220901
D10,대구광역시교육청,7240395,대구예담학교,주간,예술계,20220901
D10,대구광역시교육청,7240395,대구예담학교,주야간,예술계,20220901
D10,대구광역시교육청,7240395,대구예담학교,주야간,체육계,20220901
D10,대구광역시교육청,7240063,대구외국어고등학교,주간,외국어계,20220901
D10,대구광역시교육청,7271250,대구용천초등학교,주간,일반계,20220901
D10,대구광역시교육청,7240331,대구일과학고등학교,주간,과학계,20220901
D10,대구광역시교육청,7240372,대구일마이스터고등학교,주간,공업계,20220901
D10,대구광역시교육청,7240119,대구전자공업고등학교,주간,공업계,20220901
