시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
G10,대전광역시교육청,7430324,계룡디지텍고등학교,주간,공업계,20220901
G10,대전광역시교육청,7430324,계룡디지텍고등학교,주야간,공업계,20220901
G10,대전광역시교육청,7440028,계룡중학교,주간,일반계,20220901
G10,대전광역시교육청,7430046,남대전고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430030,대덕고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430310,대덕소프트웨어마이스터고등학교,주간,공업계,20220901
G10,대전광역시교육청,7430091,대덕여자고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430078,대성여자상업고등학교,주간,상업계,20220901
G10,대전광역시교육청,7430241,대전가오고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430031,대전고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430089,대전고등학교부설방송통신고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430098,대전공업고등기술학교,주간,공업계,20220901
G10,대전광역시교육청,7430032,대전과학고등학교,주간,과학계,20220901
G10,대전광역시교육청,7430033,대전관저고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430237,대전괴정고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430150,대전구봉고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430252,대전국제통상고등학교,주간,상업계,20220901
G10,대전광역시교육청,7430143,대전노은고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430325,대전대성고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430326,대전대성여자고등학교,주간,상업계,20220901
G10,대전광역시교육청,7430048,대전대신고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430351,대전도시과학고등학교,주간,공업계,20220901
G10,대전광역시교육청,7430290,대전도안고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430049,대전동산고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430295,대전동신과학고등학교,주간,과학계,20220901
G10,대전광역시교육청,7430295,대전동신과학고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430034,대전둔산여자고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430142,대전둔원고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430035,대전만년고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430238,대전반석고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430253,대전복수고등학교,주간,일반계,20220901
G10,대전광역시교육청,7451304,대전봉명중학교부설방송통신중학교,주간,일반계,20220901
G10,대전광역시교육청,7430322,대전산업정보고등학교,주간,직업,20220901
G10,대전광역시교육청,7430082,대전상업정보고등학교,주간,상업계,20220901
G10,대전광역시교육청,7430329,대전생활과학고등학교,주간,공업계,20220901
G10,대전광역시교육청,7430051,대전성모여자고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430132,대전송촌고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430133,대전신일여자고등학교,주간,상업계,20220901
G10,대전광역시교육청,7430036,대전여자고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430090,대전여자고등학교부설방송통신고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430083,대전여자상업고등학교,주간,상업계,20220901
G10,대전광역시교육청,7430053,대전예술고등학교,주간,예술계,20220901
G10,대전광역시교육청,7430280,대전예지고등학교,야간,일반계,20220901
G10,대전광역시교육청,7430280,대전예지고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430037,대전외국어고등학교,주간,외국어계,20220901
G10,대전광역시교육청,7430239,대전용산고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430240,대전이문고등학교,주간,상업계,20220901
G10,대전광역시교육청,7430240,대전이문고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430148,대전전민고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430311,대전전자디자인고등학교,주간,공업계,20220901
G10,대전광역시교육청,7430242,대전제일고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430052,대전중앙고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430149,대전지족고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430038,대전체육고등학교,주간,체육계,20220901
G10,대전광역시교육청,7430138,대전한빛고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430039,동대전고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430244,동방고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430256,동아마이스터고등학교,주간,공업계,20220901
G10,대전광역시교육청,7430056,명석고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430057,보문고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430330,새소리음악고등학교,주간,대안,20220901
G10,대전광역시교육청,7430059,서대전고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430060,서대전여자고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430061,서일고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430062,서일여자고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430041,신탄진고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430140,우송고등학교,주간,상업계,20220901
G10,대전광역시교육청,7430140,우송고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430042,유성고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430135,유성생명과학고등학교,주간,농업계,20220901
G10,대전광역시교육청,7430064,유성여자고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430092,정풍고등학교,주간,공업계,20220901
G10,대전광역시교육청,7430065,중일고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430066,청란여자고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430043,충남고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430073,충남기계공업고등학교,주간,공업계,20220901
G10,대전광역시교육청,7430044,충남여자고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430093,충일여자고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430341,학력인정 대전시립중고등학교,야간,일반계,20220901
G10,대전광역시교육청,7430341,학력인정 대전시립중고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430045,한밭고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430100,한성고등기술학교,주간,일반계,20220901
G10,대전광역시교육청,7430096,혜천여자고등학교,주간,일반계,20220901
G10,대전광역시교육청,7430067,호수돈여자고등학교,주간,일반계,20220901

