시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
C10,부산광역시교육청,7150119,가야고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150084,개금고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150396,개성고등학교,주간,상업계,20220901
C10,부산광역시교육청,7150396,개성고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150120,건국고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150085,경남고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150166,경남공업고등학교,주간,공업계,20220901
C10,부산광역시교육청,7150086,경남여자고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150223,경남여자고등학교부설방송통신고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150429,경성전자고등학교,야간,공업계,20220901
C10,부산광역시교육청,7150429,경성전자고등학교,주간,공업계,20220901
C10,부산광역시교육청,7150121,경원고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150423,경일고등학교,주간,상업계,20220901
C10,부산광역시교육청,7150423,경일고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150122,경혜여자고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150623,계성여자고등학교,주간,상업계,20220901
C10,부산광역시교육청,7150123,광명고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150087,구덕고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150372,금곡고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150424,금명여자고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150124,금성고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150090,금정고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150091,금정여자고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150630,금정전자고등학교,주간,공업계,20220901
C10,부산광역시교육청,7150089,기장고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150092,낙동고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150093,남산고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150125,남성여자고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150094,내성고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150095,다대고등학교,주간,일반계,20220901
C10,부산광역시교육청,7150624,대광고등학교,야간,공업계,20220901
C10,부산광역시교육청,7150624,대광고등학교,주간,공업계,20220901
C10,부산광역시교육청,7150126,대덕여자고등학교,주간,일반계,20220901
