시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
I10,세종특별자치시교육청,9300178,고운고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300174,고운중학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300049,금호중학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300235,다정고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300107,도담고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300177,두루고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300265,반곡고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300238,반곡중학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300191,보람고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300219,새롬고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300123,새롬중학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300054,세종고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300181,세종과학예술영재학교,주간,과학계,20220901
I10,세종특별자치시교육청,9300108,세종국제고등학교,주간,국제계,20220901
I10,세종특별자치시교육청,9300188,세종누리학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300278,세종대성고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300185,세종여자고등학교,주간,상업계,20220901
I10,세종특별자치시교육청,9300185,세종여자고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300233,세종예술고등학교,주간,예술계,20220901
I10,세종특별자치시교육청,9300266,세종장영실고등학교,주간,가사실업계열,20220901
I10,세종특별자치시교육청,9300305,세종중학교 ,주간,일반계,20220901
I10,세종특별자치시교육청,9300110,세종하이텍고등학교,주간,공업계,20220901
I10,세종특별자치시교육청,9300220,소담고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300117,아름고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300179,양지고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300201,어진중학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300047,연동중학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300048,연서중학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300051,장기중학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300050,전의중학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300045,조치원중학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300180,종촌고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300058,한솔고등학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300053,한솔중학교,주간,일반계,20220901
I10,세종특별자치시교육청,9300270,해밀고등학교,주간,일반계,20220901

