시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
Q10,전라남도교육청,8490032,강진고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490245,고금고등학교,주간,상업계,20220901
Q10,전라남도교육청,8490245,고금고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490033,고흥고등학교,주간,상업계,20220901
Q10,전라남도교육청,8490033,고흥고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490222,고흥도화고등학교,주간,공업계,20220901
Q10,전라남도교육청,8490222,고흥도화고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490114,고흥도화종합고등학교,주간,공업계,20220901
Q10,전라남도교육청,8490114,고흥도화종합고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490323,고흥산업과학고등학교,주간,공업계,20220901
Q10,전라남도교육청,8490323,고흥산업과학고등학교,주간,농업계,20220901
Q10,전라남도교육청,8490323,고흥산업과학고등학교,주간,상업계,20220901
Q10,전라남도교육청,8490322,고흥영주고등학교,주간,공업계,20220901
Q10,전라남도교육청,8490322,고흥영주고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490035,곡성고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490036,공산고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490077,광남고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490037,광양고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490243,광양백운고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490038,광양여자고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490078,광양제철고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490433,광양하이텍고등학교,주간,공업계,20220901
Q10,전라남도교육청,8490433,광양하이텍고등학교,주간,농업계,20220901
Q10,전라남도교육청,8490517,광양햇살학교,주간,일반계,20220901
Q10,전라남도교육청,8490299,광영고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490039,구례고등학교,주간,일반계,20220901
Q10,전라남도교육청,8490120,구림공업고등학교,주간,공업계,20220901
Q10,전라남도교육청,8490121,금산종합고등학교,주간,농업계,20220901
Q10,전라남도교육청,8490121,금산종합고등학교,주간,상업계,20220901
Q10,전라남도교육청,8490121,금산종합고등학교,주간,일반계,20220901
