시도교육청코드,시도교육청명,표준학교코드,학교명,주야과정명,계열명,수정일
P10,전라북도교육청,8320338,강호항공고등학교,주간,공업계,20220901
P10,전라북도교육청,8320338,강호항공고등학교,주간,상업계,20220901
P10,전라북도교육청,8320131,고산고등학교,주간,대안,20220901
P10,전라북도교육청,8320131,고산고등학교,주간,상업계,20220901
P10,전라북도교육청,8320131,고산고등학교,주간,일반계,20220901
P10,전라북도교육청,8320131,고산고등학교,주간,특성화,20220901
P10,전라북도교육청,8320075,고창고등학교,주간,일반계,20220901
P10,전라북도교육청,8320132,고창대성고등학교,주간,상업계,20220901
P10,전라북도교육청,8320132,고창대성고등학교,주간,일반계,20220901
P10,전라북도교육청,8320175,고창북고등학교,주간,상업계,20220901
P10,전라북도교육청,8320175,고창북고등학교,주간,일반계,20220901
P10,전라북도교육청,8320176,고창여자고등학교,주간,가사계,20220901
P10,전라북도교육청,8320176,고창여자고등학교,주간,상업계,20220901
P10,전라북도교육청,8320176,고창여자고등학교,주간,일반계,20220901
P10,전라북도교육청,8320076,군산고등학교,주간,일반계,20220901
P10,전라북도교육청,8320133,군산기계공업고등학교,주간,공업계,20220901
P10,전라북도교육청,8320077,군산동고등학교,주간,일반계,20220901
P10,전라북도교육청,8320210,군산명화학교,주간,일반계,20220901
P10,전라북도교육청,8320135,군산상업고등학교,주간,상업계,20220901
P10,전라북도교육청,8320135,군산상업고등학교,주간,일반계,20220901
P10,전라북도교육청,8320078,군산여자고등학교,주간,일반계,20220901
P10,전라북도교육청,8320136,군산여자상업고등학교,주간,상업계,20220901
P10,전라북도교육청,8320110,군산영광여자고등학교,야간,상업계,20220901
P10,전라북도교육청,8320110,군산영광여자고등학교,주간,상업계,20220901
P10,전라북도교육청,8320110,군산영광여자고등학교,주간,일반계,20220901
P10,전라북도교육청,8320093,군산제일고등학교,주간,일반계,20220901
P10,전라북도교육청,8320125,군산중앙고등학교,주간,일반계,20220901
P10,전라북도교육청,8320177,군산중앙여자고등학교,주간,상업계,20220901
P10,전라북도교육청,8320177,군산중앙여자고등학교,주간,일반계,20220901
P10,전라북도교육청,8320299,군산평화고등학교,야간,일반계,20220901
P10,전라북도교육청,8320299,군산평화고등학교,주간,일반계,20220901
P10,전라북도교육청,8341005,군산평화중학교,야간,일반계,20220901
P10,전라북도교육청,8341005,군산평화중학교,주간,일반계,20220901
P10,전라북도교육청,8320137,김제고등학교,주간,공업계,20220901
P10,전라북도교육청,8320137,김제고등학교,주간,일반계,20220901
P10,전라북도교육청,8320436,김제농생명마이스터고등학교,주간,공동실습소,20220901
P10,전라북도교육청,8320436,김제농생명마이스터고등학교,주간,농업계,20220901
P10,전라북도교육청,8320139,김제농업고등학교,주간,농업계,20220901
P10,전라북도교육청,8320099,김제북고등학교,주간,일반계,20220901
P10,전라북도교육청,8320259,김제상업고등학교,주간,상업계,20220901
P10,전라북도교육청,8320096,김제서고등학교,주간,일반계,20220901
P10,전라북도교육청,8320138,김제여자고등학교,주간,상업계,20220901
P10,전라북도교육청,8320138,김제여자고등학교,주간,일반계,20220901
P10,전라북도교육청,8320097,남성고등학교,주간,일반계,20220901
