,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
경포고등학교,강원도 강릉시 강릉대로547번길 14,37.7817051667907,128.916057575672,033-820-1015,522명,225명,297명,http://gyeongpo.gwe.hs.kr/,공업계  | 일반계 
춘천고등학교부설방송통신고등학교,강원도 춘천시 중앙로68번길 37,37.8819738125079,127.722992162362,033-240-2105,149명,50명,99명,http://www.cyber.hs.kr/achs/chunchon,일반계 
팔렬고등학교,강원도 홍천군 내촌면 동창로 207,37.7837257609616,128.151704977159,033-435-6327,43명,24명,19명,http://pallyeol.gwe.hs.kr,대안 
춘천고등학교,강원도 춘천시 중앙로68번길 37,37.8819738125079,127.722992162362,033-240-2100,769명,769명,0명,http://chunchon.gwe.hs.kr,일반계 
주문진고등학교,강원도 강릉시 주문진읍 학교길 28,37.881348396547,128.829957488517,033-660-7000,210명,120명,90명,http://jugo.gwe.hs.kr,일반계 
유봉여자고등학교,강원도 춘천시 봉의산길22번길 28,37.8846837558985,127.734310030706,033-255-6011,700명,0명,700명,http://yubong.gwe.hs.kr,일반계 
북원여자고등학교,강원도 원주시 원문로137번길 32,37.3549268633256,127.932425402802,033-737-7302,992명,0명,992명,http://bukwon.gwe.hs.kr,공업계  | 일반계 
강일여자고등학교,강원도 강릉시 화부산로 89,37.7643319974201,128.887035295117,033-650-0701,667명,0명,667명,http://gangil.gwe.hs.kr,일반계 
상지여자고등학교,강원도 원주시 개운4길 25,37.3400434127712,127.961604811282,033-761-7979,888명,0명,888명,http://sangjigo.gwe.hs.kr,상업계  | 일반계 
갑천고등학교,강원도 횡성군 갑천면 갑천로 17,37.5606906185229,128.114374597157,033-342-9143,26명,18명,8명,http://kach.gwe.hs.kr,일반계 
횡성고등학교,강원도 횡성군 횡성읍 교항로 33,37.4862202782797,127.978913177803,033-340-8807,324명,324명,0명,http://hshigh.gwe.hs.kr,일반계 
원주금융회계고등학교,강원도 원주시 부론면 부귀로 35,37.2078269480285,127.751658468402,033-769-1700,99명,18명,81명,http://wjfa.gwe.hs.kr,상업계  | 일반계  | 특성화 
삼척마이스터고등학교,강원도 삼척시 근덕면 삼척로 3700,37.3849286671606,129.224301728116,033-570-1212,183명,158명,25명,http://set.gwe.hs.kr/main.do,공업계 
삼일고등학교,강원도 삼척시 사직로 22,37.4324760044121,129.165202841099,033-570-8831,216명,159명,57명,http://samilgo.gwe.hs.kr,일반계 
치악고등학교,강원도 원주시 치악고교길 16,37.3157646821683,127.958592412968,033-737-6000,852명,431명,421명,http://chiak.gwe.hs.kr,일반계 
강릉제일고등학교,강원도 강릉시 화부산로8번길 37,37.7601326156221,128.889705724856,033-650-0100,446명,446명,0명,http://gnilgo.gwe.hs.kr,일반계 
강원도인제고등학교,강원도 인제군 인제읍 인제로249번길 22,38.0742276559489,128.177337484504,033-460-0300,164명,89명,75명,http://injego.gwe.hs.kr,상업계  | 일반계 
