,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
광탄고등학교,경기도 파주시 광탄면 혜음로1128번길 16,37.7834372345562,126.848918975742,031-956-0000,278명,166명,112명,http://www.gtan.hs.kr,상업계  | 일반계 
화성반월고등학교,경기도 화성시 효행로 1281-66,37.2247941818117,127.055094283781,031-8019-2520,871명,430명,441명,http://www.hsbanwol.hs.kr,일반계 
고촌고등학교,경기도 김포시 고촌읍 태리로47번길 20,37.6046055120949,126.74996142559,031-8048-5100,970명,534명,436명,http://gochon.hs.kr/,일반계 
계원예술중학교,경기도 성남시 분당구 불정로 100,37.3583619161056,127.115506089721,031-786-5900,419명,62명,357명,http://kaywon.goesn.kr/,예술계 
삼괴고등학교,경기도 화성시 우정읍 장안로 35,37.0898206373606,126.822292420559,031-831-0600,621명,311명,310명,http://www.samgoe.hs.kr,상업계  | 일반계 
낙생고등학교,경기도 성남시 분당구 대왕판교로 477,37.3861046866025,127.100374788286,031-780-6314,791명,459명,332명,https://naksaeng-h.goesn.kr,일반계 
수원하이텍고등학교,경기도 수원시 영통구 청명북로 56(영통동),37.2562938852089,127.081292466588,031-201-9000,443명,346명,97명,https://sht-h.goesw.kr,공업계  | 특성화 
용호고등학교,경기도 군포시 용호2로 10,37.3418258048346,126.939334827718,031-390-4464,1081명,569명,512명,http://www.yongho.hs.kr,일반계 
수원외국어고등학교,경기도 수원시 영통구 창룡대로 263,37.2959932620852,127.035115819124,031-258-9341,611명,123명,488명,http://www.sawl.hs.kr,외국어계 
의정부여자고등학교,경기도 의정부시 신흥로365번길 10,37.7500360473296,127.041150234253,031-876-4201,676명,0명,676명,http://www.ugh.hs.kr,일반계 
한봄고등학교,경기도 수원시 권선구 호매실로 46-93,37.2594590398051,126.969345263636,031-293-3090,705명,251명,454명,http://www.hanbom.hs.kr,공업계 
동두천중앙고등학교,경기도 동두천시 평화로 2280,37.8916510420522,127.058102442745,031-860-1200,435명,258명,177명,http://ddcja-h.goedy.kr,공업계  | 일반계 
부명고등학교,경기도 부천시 석천로 127,37.4991225432904,126.761267164547,032-324-0163,692명,370명,322명,http://www.bmh.hs.kr,일반계 
판곡고등학교,경기도 남양주시 늘을1로 127,37.6628762741531,127.243047035973,031-594-7161,952명,456명,496명,http://www.pangok.hs.kr,일반계 
경기창조고등학교,경기도 안성시 공도읍 공도5로 37,37.0019397285891,127.1723585569,031-646-2200,892명,364명,528명,http://ggcj.hs.kr,일반계 
금곡고등학교,경기도 남양주시 경춘로992번길 10,37.6330915887098,127.212948673507,031-592-7081,810명,509명,301명,http://www.kumgok.hs.kr,가사계  | 상업계  | 일반계 
한겨레고등학교,경기도 안성시 죽산면 칠장로 107-9,37.0306410077506,127.42268960231,031-8046-0118,74명,36명,38명,http://www.han.hs.kr,일반계 
평촌공업고등학교,경기도 안양시 동안구 갈산로 16,37.3736039804229,126.962614203251,031-390-4884,378명,334명,44명,http://www.pct.hs.kr,공업계 
고색고등학교,경기도 수원시 권선구 서둔로17번길 32,37.2538522471805,126.982346593413,031-8012-6887,721명,721명,0명,http://gosaek-h.goesw.kr,일반계 
신일비즈니스고등학교,경기도 고양시 일산서구 킨텍스로 452,37.682855203799,126.762267820731,031-929-2106,460명,253명,207명,http://www.i-shinil.or.kr,상업계 
장안고등학교,경기도 수원시 장안구 대평로52번길 12,37.2931253532818,126.995933745241,031-269-8575,790명,442명,348명,http://www.jangan.hs.kr,일반계 
율곡고등학교,경기도 파주시 법원읍 사임당로 905,37.8479916799647,126.881304298938,031-958-0832,382명,253명,129명,http://yulgok.hs.kr,일반계 
한국선진학교,경기도 안산시 상록구 이호로 113,37.2871317266419,126.869131706554,031-409-1224,197명,0명,0명,http://seonjin.sc.kr/,일반계 
진건고등학교,경기도 남양주시 진건읍 진건오남로 369-1,37.6745275351785,127.197781390823,031-570-3060,1008명,539명,469명,http://www.jingeon.hs.kr,일반계 
효성고등학교,경기도 성남시 수정구 심곡로 16,37.4502210998583,127.104074828162,031-723-6240,563명,292명,271명,https://hyosung-h.goesn.kr,일반계 
수원고등학교,경기도 수원시 팔달구 정조로 666-10,37.2671336518696,127.017414678289,031-300-3220,929명,929명,0명,http://suwon-h.goesw.kr,일반계 
경기북과학고등학교,경기도 의정부시 체육로135번길 32,37.7588519687848,127.019659712323,031-870-2706,266명,211명,55명,http://gbs.hs.kr,과학계 
여주고등학교,경기도 여주시 세종로 254-58,37.2719100528925,127.632684809815,031-883-5111,462명,243명,219명,http://yeoju-h.goeyj.kr,일반계 
경은학교,경기도 남양주시 별내면 송산로 679,37.6994989137381,127.123500632058,031-575-3668,203명,0명,0명,http://ge-s.sc.kr/,일반계 
수주고등학교,경기도 부천시 역곡로 531,37.5324198011956,126.815191988429,0326772321,510명,263명,247명,http://www.suju.hs.kr,일반계 
능곡고등학교,경기도 고양시 덕양구 지도로 76,37.6239611550745,126.825501719987,031-972-1939,776명,425명,351명,http://nunggok.hs.kr,일반계 
구리여자고등학교,경기도 구리시 벌말로 168,37.5915219906067,127.152003739041,031-563-7202,587명,0명,587명,http://kuri-gh.hs.kr,일반계 
대부고등학교,경기도 안산시 단원구 대부중앙로 3,37.2477622725709,126.579061819864,032-886-4272,65명,39명,26명,http://daebu.hs.kr,상업계  | 일반계 
운정고등학교,경기도 파주시 와석순환로 267,37.7220442530715,126.736319937058,031-9507-334,1147명,497명,650명,http://www.unjeong.hs.kr,일반계 
점동고등학교,경기도 여주시 점동면 청안로 152,37.2059364183246,127.663264416864,031-884-1478,169명,78명,91명,https://jeomdong-h.goeyj.kr,상업계  | 일반계 
수원농생명과학고등학교,경기도 수원시 장안구 광교산로 13,37.2951535923333,127.019450200714,031-259-4300,718명,398명,320명,http://sunong-h.goesw.kr,농업계 
성일고등학교,경기도 성남시 중원구 시민로77번길 10,37.4348858854339,127.145576726447,031-750-1800,732명,732명,0명,https://sungil-h.goesn.kr/sungil-h/main.do,일반계 
경기도중산고등학교,경기도 고양시 일산동구 중산로 290,37.6969484687399,126.782593072353,031-910-6500,870명,461명,409명,http://www.ijungsan.hs.kr,일반계 
경기폴리텍고등학교,경기도 군포시 고산로 524,37.3601904085564,126.924350424031,031-390-4514,185명,130명,55명,http://www.g-polytech.hs.kr,공업계 
