,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
거창승강기고등학교,경상남도 거창군 가조면 마상3길 33-20,35.7137373403741,128.015743674428,055-943-4521,78명,68명,10명,http://geochang-elev-h.gne.go.kr/geochang-tech-h/main.do,공업계  | 상업계  | 일반계 
진해용원고등학교,경상남도 창원시 진해구 용재로77번길 8,35.1014406602207,128.819449842833,055-541-1171,638명,303명,335명,http://yongwon-h.gne.go.kr,일반계 
안의고등학교,경상남도 함양군 안의면 안의배움길 30,35.6310841440155,127.819862703751,055-962-0559,114명,49명,65명,http://anui-h.gne.go.kr,상업계  | 일반계 
김해고등학교,경상남도 김해시 활천로24번길 29,35.2313933541974,128.896080879658,055-335-3306,618명,618명,0명,http://gimhae-h.gne.go.kr/,일반계 
김해율하고등학교,경상남도 김해시 율하1로 21,35.17410570015,128.806980454276,055-323-1909,1058명,554명,504명,http://gimhaeyulha-h.gne.go.kr,일반계 
밀성제일고등학교,경상남도 밀양시 밀양대로 2078,35.5021831770898,128.750144973574,055-353-5204,203명,0명,203명,http://msji-h.gne.go.kr/,가사실업계  | 상업계  | 예술계  | 일반계 
진주여자고등학교,경상남도 진주시 창렬로 185,35.2011484686855,128.076771617458,055-749-3410,617명,0명,617명,http://ilsin-h.gne.go.kr,일반계 
한국과학기술고등학교,경상남도 창녕군 고암면 창밀로 286,35.5676311637415,128.508578614898,055-533-1889,136명,121명,15명,http://ksths-h.gne.go.kr,공업계 
효암고등학교,경상남도 양산시 서창로 144,35.4123956405804,129.16998747429,055-366-0021,758명,367명,391명,http://www.hyoam.hs.kr,상업계  | 일반계 
밀양여자고등학교,경상남도 밀양시 내일중앙길 10,35.4952119282651,128.75593452466,055-354-2106,290명,0명,290명,http://milyeogo-h.gne.go.kr/,일반계 
간디고등학교,경상남도 산청군 신안면 둔철산로 210,35.3584995592257,127.944591875878,055-973-8124,98명,49명,49명,http://gandhi-h.gne.go.kr,대안  | 일반계 
삼랑진고등학교,경상남도 밀양시 삼랑진읍 만어로 16,35.4010686823669,128.842859941817,055-353-9701,205명,117명,88명,http://samgo-h.gne.go.kr,일반계 
마산구암고등학교,경상남도 창원시 마산회원구 팔용로 220,35.2470659533563,128.596987424283,055-297-1393,412명,172명,240명,http://masanguam-h.gne.go.kr/,일반계 
삼천포공업고등학교,경상남도 사천시 신항로 63,34.9342819724257,128.083973409746,055-834-8602,274명,270명,4명,http://samgong-h.gne.go.kr,공업계 
거제여자상업고등학교,경상남도 거제시 거제면 동상3길 21,34.8512195450984,128.594694836378,055-633-0982,139명,0명,139명,http://www.ggch.hs.kr/,상업계 
창원공업고등학교,경상남도 창원시 의창구 사화로 410,35.2363112378544,128.643708560102,055-288-2864,428명,428명,0명,http://www.changwon-t.hs.kr,공업계 
구산고등학교,경상남도 김해시 가야로 311,35.2504435908382,128.875669406317,055-310-7600,622명,315명,307명,http://gusan-h.gne.go.kr/,일반계 
창원중앙고등학교,경상남도 창원시 성산구 용호로 16,35.2318634188245,128.677999454169,055-239-3100,637명,637명,0명,http://cwjungang-h.gne.go.kr,일반계 
신반정보고등학교,경상남도 의령군 부림면 한지28길 8,35.4642612349672,128.319688846585,055-574-6414,35명,28명,7명,http://sinban-h.gne.go.kr,상업계 
밀양고등학교,경상남도 밀양시 약산로 15,35.4937858569008,128.746783406621,055-353-6743,492명,492명,0명,http://milgo-h.gne.go.kr,일반계 
삼가고등학교,경상남도 합천군 삼가면 봉두길 5,35.4131367653631,128.131377427692,055-932-4695,65명,32명,33명,http://samga-h.gne.go.kr/samga-h/main.do,일반계 
창원남고등학교,경상남도 창원시 성산구 창원대로 813,35.2139715595235,128.679749626138,055-289-6955,598명,598명,0명,http://cwnam-h.gne.go.kr,일반계 
거제공업고등학교,경상남도 거제시 계룡로11길 63,34.8820978317154,128.613894102984,055-630-9000,392명,392명,0명,http://geoje-th-h.gne.go.kr/,공업계 
진주중앙고등학교,경상남도 진주시 하대로 59,35.1940098560428,128.119014158396,055-754-0378,566명,312명,254명,http://jjja-h.gne.go.kr,일반계 
경상남도용남고등학교,경상남도 사천시 용현면 선진길 24,35.0441944724665,128.064380332779,055-854-4283,354명,155명,199명,http://yongnam-h.gne.go.kr/,일반계 
마산제일고등학교,경상남도 창원시 마산회원구 내서읍 함마대로 2610,35.2617842731966,128.505456829439,055-232-3210,678명,678명,0명,http://masanjeil-h.gne.go.kr,일반계 
통영고등학교,경상남도 통영시 도남로 116,34.8295473421071,128.416198016185,055-646-3301,794명,794명,0명,http://tongyeong-h.gne.go.kr,일반계 
마산고등학교,경상남도 창원시 마산합포구 심온길 33,35.2005528781468,128.56165406265,055-240-3500,519명,519명,0명,http://masan-h.gne.go.kr,일반계 
거제상문고등학교,경상남도 거제시 수양로 29,34.8633930399088,128.646715350706,055-634-2684,1024명,499명,525명,http://gj-sangmoon-h.gne.go.kr,일반계 
창원경일고등학교,경상남도 창원시 성산구 두대로 165,35.2265865699855,128.661213359055,055-285-0450,550명,550명,0명,http://gyeongil-h.gne.go.kr/,일반계 
연초고등학교,경상남도 거제시 연초면 연사1길 40,34.9141619755733,128.646381185422,055-636-9804,917명,456명,461명,http://yeoncho-h.gne.go.kr,일반계 
김해임호고등학교,경상남도 김해시 분성로3번길 77,35.2382686393143,128.852720108492,055-310-6300,490명,490명,0명,http://khimho-h.gne.go.kr/,일반계 
진교고등학교,경상남도 하동군 진교면 민다리길 179,35.0375299290297,127.897878656638,055-882-3164,89명,55명,34명,http://jingyo-h.gne.go.kr/,일반계 
김해경원고등학교,경상남도 김해시 우암로 18,35.2318563706783,128.861817165997,055-310-3200,655명,333명,322명,http://gwon-h.gne.go.kr/,일반계 
경남고성음악고등학교,경상남도 고성군 하일면 공룡로 987,34.9442269926026,128.193293874659,055-672-4455,70명,31명,39명,http://gngseumak-h.gne.go.kr,대안  | 일반계 
의령고등학교,경상남도 의령군 의령읍 백산로3길 4,35.3227017364893,128.265590219129,055-573-2383,151명,151명,0명,http://uiryeong-h.gne.go.kr,공업계  | 농업계  | 일반계 
창원대암고등학교,경상남도 창원시 성산구 대암로 203,35.2074806828858,128.711602507773,055-213-0500,547명,300명,247명,http://daeam-h.gne.go.kr,일반계 
진서고등학교,경상남도 진주시 수곡면 옥수로 625,35.1981312504391,127.927502886143,055-754-5039,13명,4명,9명,http://jinseo-m.gne.go.kr,일반계 
마산중앙고등학교,경상남도 창원시 마산합포구 고운로 103,35.1919284909519,128.55842659206,055-246-9350,394명,394명,0명,http://msja-h.gne.go.kr,일반계 
진영제일고등학교,경상남도 김해시 진영읍 진영로265번길 9-4,35.3037314839644,128.743245330565,055-343-5411,208명,81명,127명,http://jyjeil-h.gne.go.kr,가사계  | 공업계  | 농업계  | 상업계 
장유고등학교,경상남도 김해시 월산로 77,35.2020104293439,128.803920376232,055-310-7914,1076명,510명,566명,http://jangyu-h.gne.go.kr,일반계 
