,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
인동고등학교,경상북도 구미시 인동36길 45,36.08995097016,128.432209465465,054-476-7181,767명,379명,388명,http://indong.hs.kr,일반계 
경상북도 청암고등학교,전라남도 순천시 녹색로 1641,34.9277292399507,127.48957287172,061-740-6767,586명,0명,586명,http://sca.hs.jne.kr,일반계 
봉황초등학교,경상북도 경산시 진량읍 봉황길 50,35.8830284370573,128.823864910871,053-856-8293,612명,302명,310명,http://school.gyo6.net/bonghwang-ks/,일반계 
후포고등학교,경상북도 울진군 후포면 후포로 41,36.6803118733126,129.445937486418,054-787-0486,186명,99명,87명,http://hupohs.school.gyo6.net,일반계 
강구정보고등학교,경상북도 영덕군 강구면 신강구1길 45-5,36.3536105320531,129.380359065552,054-733-3944,34명,20명,14명,http://school.gyo6.net/ganggu-ch/,상업계 
경주디자인고등학교,경상북도 경주시 현곡면 용담로 694,35.9003471479326,129.163269595263,054-745-3713,143명,54명,89명,http://school.gyo6.net/godesign,공업계  | 디자인계 
글로벌선진학교문경캠퍼스(중),경상북도 문경시 영순면 영순로 366,36.5756176540457,128.242683591255,054-559-7000,79명,63명,16명,http://www.gvcs-mg.org,일반계 
대창고등학교,경상북도 예천군 예천읍 대창학교길 33,36.6600498960297,128.455245299884,054-654-3340,228명,228명,0명,http://daechanghs.school.gyo6.net/,일반계 
꿈빛유치원,경상북도 안동시 풍요5길 19,36.575521071339,128.499311640556,054-855-0086,08:00~18:30,0명,0명,http://school.gyo6.net/dreamkid,일반계 
경상북도 유성여자고등학교,대전광역시 유성구 은구비로138번길 70,36.3845895614866,127.328925402346,042-820-1194,572명,0명,572명,http://yuseongghs.djsch.kr,일반계 
한일여자고등학교,경상북도 김천시 한일길 11-30,36.1377403479595,128.095843776917,054-431-7008,377명,0명,377명,http://school.gyo6.net/hanilhs,일반계 
상희학교,경상북도 상주시 상서문1길 99,36.4122632104571,128.157209615497,054-534-8791,116명,0명,0명,http://school.gyo6.net/sangheesc,일반계 
예천여자고등학교,경상북도 예천군 예천읍 효자로 205,36.6651270590795,128.460432338502,054-700-5502,303명,0명,303명,http://school.gyo6.net/yecheonhs,일반계 
우석여자고등학교,경상북도 상주시 북천로 117,36.428097930424,128.163509216536,054-531-3681,346명,0명,346명,http://school.gyo6.net/wsg,일반계 
북삼고등학교,경상북도 칠곡군 북삼읍 북삼로2길 130,36.0716971465926,128.334728131246,054-970-0003,589명,281명,308명,http://school.gyo6.net/buksam,일반계 
경안여자고등학교,경상북도 안동시 경동로 205-34,36.5765080303277,128.683386582662,054-843-3965,338명,0명,338명,http://school.gyo6.net/gagi,상업계  | 일반계 
삼성생활예술고등학교,경상북도 경주시 내남면 이조중앙길 27,35.7524715400547,129.199352678513,054-748-2047,190명,28명,162명,http://school.gyo6.net/beauty-samseong,가사계  | 일반계 
경주정보고등학교,경상북도 경주시 충효7길 19,35.8418232789733,129.176299969048,054-742-8965,549명,549명,0명,http://www.internet.hs.kr,상업계 
영남삼육중학교,경상북도 경산시 남산면 서원길 58-31,35.7874750801421,128.828679712718,053-852-3662,308명,149명,159명,http://school.gyo6.net/yn36ms,일반계 
계림고등학교,경상북도 경주시 용담로 122,35.8663445989482,129.208724465289,054-742-3398,327명,327명,0명,http://school.gyo6.net/gyerim,일반계 
울진고등학교,경상북도 울진군 울진읍 연지길 7,36.9973562855669,129.405873612753,054-783-2376,391명,203명,188명,http://school.gyo6.net/uljinhs,일반계 
글로벌선진학교문경캠퍼스,경상북도 문경시 영순면 영순로 366,36.5756176540457,128.242683591255,054-559-7000,168명,123명,45명,http://www.gvcs-mg.org,일반계 
