,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
광주광역시성덕고등학교,광주광역시 광산구 장덕로 75,35.1958501457946,126.817489097422,062-714-8900,928명,435명,493명,http://seongdeok.gen.hs.kr,일반계 
전남고등학교,광주광역시 서구 상무공원로 32,35.1474756132162,126.843732699207,062-370-8500,645명,645명,0명,http://jeonnam.gen.hs.kr,일반계 일반계 
명진고등학교,광주광역시 광산구 수완로12번길 21,35.1874184229783,126.830119656915,062-960-2800,391명,0명,391명,http://gmj.gen.hs.kr,일반계 
국제고등학교,광주광역시 북구 설죽로 433,35.1991144593752,126.895612324385,062-570-9900,721명,350명,371명,http://kukje.gen.hs.kr/,일반계 
광주광역시보문고등학교,광주광역시 광산구 어등대로529번길 37,35.1538630655337,126.776870489042,062-940-8800,926명,446명,480명,http://bomun.gen.hs.kr,일반계 
광주선광학교,광주광역시 광산구 목련로394번길 60-3,35.1818375235835,126.836418742535,062-950-9107,372명,0명,0명,http://sunkwang.gen.sc.kr,일반계 
금호미용예술학교,광주광역시 북구 동운로 167-5,35.1741610728774,126.868241005999,062-523-8237,25명,1명,24명,http://www.kumho-art.com,이용미용계 
전남여자고등학교,광주광역시 동구 제봉로158번길 8,35.1505483499716,126.920831349833,062-220-0307,564명,0명,564명,http://chonnam-g.gen.hs.kr,일반계 
광주광역시동명고등학교,광주광역시 광산구 사이동길 16,35.15572544466,126.74077744598,062-943-2855,211명,121명,90명,http://kdm.gen.hs.kr,대안 
조선대학교여자고등학교,광주광역시 동구 지산로 36,35.1464460489164,126.932720282964,062-220-7500,590명,0명,590명,http://chosun-g.gen.hs.kr/,일반계 
광주대동고등학교,광주광역시 서구 전평길 50,35.1193702099954,126.84955883148,062-600-3625,592명,592명,0명,http://k-dd.gen.hs.kr,일반계 
광주광역시성덕중학교,광주광역시 광산구 장덕로 65,35.1956195882396,126.816421320303,062-950-9800,1027명,509명,518명,http://seongdeok.gen.ms.kr,일반계 
광주경신여자고등학교,광주광역시 북구 금호로40번길 40,35.1747383939757,126.892624404685,062-605-4811,650명,0명,650명,http://gshin.gen.hs.kr,일반계 
금호중앙여자고등학교,광주광역시 북구 금호로 100,35.1785968979255,126.885512578982,062-607-1007,701명,0명,701명,http://k-ja.gen.hs.kr,일반계 
광주광역시상일여자고등학교,광주광역시 서구 내방로 217,35.1588022802963,126.864629793352,062-385-6024,489명,0명,489명,http://sangil.gen.hs.kr,일반계 
서강고등학교,광주광역시 북구 서강로 1,35.1751796540254,126.868036822922,062-520-7800,830명,443명,387명,http://seokang.gen.hs.kr/,일반계 
광일고등학교,광주광역시 광산구 고봉로 812,35.2206283826609,126.741950812541,062-952-8502,105명,76명,29명,http://kwangil.gen.hs.kr,일반계 
대광여자고등학교,광주광역시 남구 서문대로 742번길 13,35.1252442102441,126.899102425069,062-672-1217,539명,0명,539명,http://daegwang.gen.hs.kr,일반계 
숭덕고등학교,광주광역시 광산구 월계로 117-8,35.2145064376122,126.839325135641,062-970-0700,910명,402명,508명,http://sdok.gen.hs.kr,일반계 
호남삼육고등학교,광주광역시 남구 회서로 30,35.1289421003815,126.893465945771,062-720-3600,262명,140명,122명,http://samyook.gen.hs.kr,일반계 
광주제일고등학교,광주광역시 북구 독립로237번길 33,35.1523460583173,126.907047693296,062-510-8805,644명,644명,0명,http://ilgo.gen.hs.kr,일반계 
광주인성고등학교,광주광역시 남구 서문대로 390,35.1028150204428,126.881330128591,062-670-9200,648명,648명,0명,http://inseong.gen.hs.kr,일반계 
광주체육고등학교,광주광역시 북구 하서로 55,35.1825030471667,126.879416202916,062-520-7100,251명,163명,88명,http://gwangju-p.gen.hs.kr/,체육계 
살레시오여자고등학교,광주광역시 동구 필문대로273번길 21,35.1469869206497,126.929642733996,062-220-1400,546명,0명,546명,http://salesio-g.gen.hs.kr/main/,일반계 
전남여자상업고등학교,광주광역시 북구 설죽로 433,35.1991144593752,126.895612324385,062-570-8708,450명,0명,450명,http://cgch.gen.hs.kr,가사실업계  | 상업계 
광주북성중학교부설방송통신중학교,광주광역시 북구 금남로 61,35.1596849198884,126.903235613037,062-607-7000,234명,27명,207명,http://buksung.gen.ms.kr,일반계 
광주자연과학고등학교,광주광역시 북구 능안로 30,35.1908427373082,126.915495922118,062-260-3601,494명,220명,274명,http://kns.gen.hs.kr,가사계  | 농업계 
숭의과학기술고등학교,광주광역시 남구 오방로 34-13,35.1274347602546,126.923147176312,062-606-5810,432명,335명,97명,http://sst.gen.hs.kr,가사계  | 공업계  | 일반계  | 특성화 
운남고등학교,광주광역시 광산구 임방울대로165번길 17,35.1754538646834,126.816305730701,062-960-3150,881명,399명,482명,http://unnam.gen.hs.kr,일반계 
금파공업고등학교,광주광역시 북구 금호로 80,35.1766316038616,126.887170590844,062-605-6100,450명,357명,93명,http://kumpa.gen.hs.kr,공업계 
설월여자고등학교,광주광역시 남구 천변좌로604번길 12,35.1261203872134,126.928594285005,062-650-7800,652명,0명,652명,http://seolwol.gen.hs.kr,일반계 
송원여자상업고등학교,광주광역시 남구 송암로 73,35.1081845052901,126.873266442573,062-360-5976,449명,0명,449명,http://songwon-gc.gen.hs.kr,상업계 
살레시오고등학교,광주광역시 북구 모룡대길 67,35.2168875377596,126.892060067509,062-608-9100,673명,673명,0명,http://salesio.gen.hs.kr/,일반계 
광주광역시광덕고등학교,광주광역시 서구 화정로 202,35.1446868977126,126.878496666282,062-380-6600,743명,743명,0명,http://gwangdeok.gen.hs.kr,일반계 
전남대학교사범대학부설고등학교,광주광역시 북구 용봉로 45,35.1729465031535,126.901101801289,062-530-3840,595명,296명,299명,http://bugo.gen.hs.kr,일반계 
서진여자고등학교,광주광역시 남구 서문대로742번길 20,35.1255597557698,126.899945603913,062-672-1213,216명,0명,216명,http://seojin.gen.hs.kr,상업계  | 일반계 
광주여자고등학교,광주광역시 서구 상무대로1014번길 43,35.148187748175,126.873183932493,062-231-7500,732명,0명,732명,http://kwangju-g.gen.hs.kr,일반계 
문정여자고등학교,광주광역시 북구 능안로30번길 33,35.1891975754915,126.919451068222,062-269-2303,757명,0명,757명,http://munjeong.gen.hs.kr,일반계 
광주서석고등학교,광주광역시 서구 화정로253번길 27,35.1492506672679,126.881314991256,062-360-3800,588명,588명,0명,http://seoseok.gen.hs.kr/,일반계 
동일미래과학고등학교,광주광역시 남구 천변좌로 604,35.1288698625964,126.927303715615,062-650-6200,624명,256명,368명,http://k-dongil.gen.hs.kr,가사계  | 공업계  | 상업계 
비아고등학교,광주광역시 광산구 첨단중앙로181번길 42-26,35.2227424585731,126.836385141286,062-970-2000,700명,323명,377명,http://bia.gen.hs.kr,일반계 
첨단고등학교,광주광역시 광산구 산월로 12-17,35.2067250781726,126.837907094827,062-970-4360,993명,468명,525명,http://cheomdan.gen.hs.kr,일반계 
고려고등학교,광주광역시 북구 설죽로 369,35.1925390144904,126.898285385921,062-570-9300,587명,587명,0명,http://korea.gen.hs.kr/,일반계 
상무고등학교,광주광역시 서구 상무민주로32번길 28,35.1547928455718,126.859631935906,062-600-1334,683명,363명,320명,http://sangmu.gen.hs.kr,일반계 
광주수피아여자고등학교,광주광역시 남구 백서로 13,35.1371931710119,126.911613966574,062-670-3011,651명,0명,651명,http://speer.gen.hs.kr,일반계 
광주선우학교,광주광역시 북구 모룡대길 61,35.2165504622821,126.894032241135,062-712-6900,260명,0명,0명,http://seonu.gen.sc.kr,일반계 
광주세광학교,광주광역시 서구 유덕로 177,35.1684483440624,126.836029977144,062-606-0401,98명,0명,0명,http://sekwang.gen.sc.kr,일반계 
문성고등학교,광주광역시 남구 제석로 73,35.1204593851319,126.904988359537,062-670-7575,611명,611명,0명,http://munseong.gen.hs.kr,일반계 
대성여자고등학교,광주광역시 남구 서문대로663번길 37,35.1182454473143,126.8940030376,062-671-0213,658명,0명,658명,http://daesung.gen.hs.kr,일반계 
광주동성고등학교,광주광역시 남구 서문대로627번길 20,35.1153621264246,126.893451593707,062-670-4600,591명,591명,0명,http://Gwangjudongsung.gen.hs.kr,일반계 
광주전자공업고등학교,광주광역시 광산구 첨단중앙로 7,35.204856045971,126.84076814963,062-970-0500,896명,759명,137명,http://get.gen.hs.kr,공업계 
조선대학교부속고등학교,광주광역시 동구 의재로33번길 33,35.1350581534093,126.930809705681,062-230-0200,606명,606명,0명,http://chosun.gen.hs.kr,일반계 
은혜학교,광주광역시 북구 앰코로 127,35.2324919908203,126.848870549342,062-970-9900,153명,0명,0명,http://eunhae.gen.sc.kr/,일반계 
빛고을고등학교,광주광역시 북구 첨단연신로133번길 16,35.2107122151396,126.8623851771,062-712-8800,765명,343명,422명,http://bitgoeul.gen.hs.kr,일반계 
진남중학교,광주광역시 남구 노대실로41번길 21,35.1066991896579,126.90882271114,062-717-3410,362명,234명,128명,http://jinnam-g.gen.ms.kr/,일반계 
광주공업고등학교,광주광역시 북구 설죽로315번길 14,35.1891320023514,126.895135840227,062-570-2800,766명,721명,45명,http://gt.gen.hs.kr,공업계 공업계 
장덕고등학교,광주광역시 광산구 수등로 45,35.1859242523047,126.815342682223,062-956-9394,1006명,472명,534명,http://jangdeok.gen.hs.kr,일반계 
광주동신고등학교,광주광역시 북구 동문대로 50,35.1694378564351,126.92234609245,062-520-2151,607명,607명,0명,http://kds.gen.hs.kr,일반계 
광주과학고등학교,광주광역시 북구 첨단과기로 215,35.228159267962,126.848196092892,062-670-3252,293명,242명,51명,http://www.gsa.hs.kr/,과학계 
광주소프트웨어마이스터고등학교,광주광역시 광산구 상무대로 312,35.1427689679488,126.800771954215,062-949-6800,221명,180명,41명,http://gsm.gen.hs.kr/,공업계  | 상업계 
전남공업고등학교,광주광역시 광산구 왕버들로322번길 26,35.1935638071041,126.843113822031,062-603-1201,699명,621명,78명,http://kiram.gen.hs.kr,공업계 
광주숭일고등학교,광주광역시 북구 모룡대길 40,35.2178117816288,126.896814150293,062-608-0500,786명,454명,332명,http://soongil.gen.hs.kr/,일반계 
광주예술고등학교,광주광역시 북구 서하로 72,35.1869599702639,126.887461981217,062-520-8840,353명,68명,285명,http://kj-art.gen.hs.kr,예술계 
정광고등학교,광주광역시 광산구 소촌로 90-36,35.1551428697056,126.796028556336,062-720-8600,992명,430명,562명,http://jg.gen.hs.kr,일반계 
광주선명학교,광주광역시 남구 서문대로749번마길 2,35.1260594682398,126.892874952615,062-650-9750,207명,0명,0명,http://sunmyong.gen.sc.kr/,일반계 
광주동신여자고등학교,광주광역시 북구 동문대로 50,35.1694378564351,126.92234609245,062-520-2162,695명,0명,695명,http://kdsg.gen.hs.kr,일반계 
광주여자상업고등학교,광주광역시 남구 서문대로627번길 20,35.1153621264246,126.893451593707,062-670-4700,398명,0명,398명,http://ggc.gen.hs.kr,상업계 
광주진흥고등학교,광주광역시 광산구 왕버들로 307,35.196436007411,126.841688616317,062-960-2140,720명,720명,0명,http://jinheung.gen.hs.kr,일반계 
풍암고등학교,광주광역시 서구 풍암신흥로39번길 20,35.1229509810012,126.867401541994,062-650-0500,728명,393명,335명,http://pungam.hs.kr,일반계 
광주광역시광주고등학교,광주광역시 동구 중앙로 302,35.1594424552441,126.921007234057,062-239-8850,629명,629명,0명,http://gwangju.gen.hs.kr/,일반계 
고실중학교,광주광역시 광산구 풍영로229번길 30,35.192981968334,126.812835319304,062-960-5600,686명,343명,343명,http://gosil.gen.ms.kr,일반계 
송원고등학교,광주광역시 남구 송암로 73,35.1081845052901,126.873266442573,062-360-5503,579명,579명,0명,http://songwon.gen.hs.kr,일반계 
송원여자고등학교,광주광역시 남구 송암로 73,35.1081845052901,126.873266442573,062-360-5553,566명,0명,566명,http://songwon-g.gen.hs.kr,일반계 
동아여자고등학교,광주광역시 남구 오방로 16-10,35.1258474908771,126.922069874951,062-650-1999,631명,0명,631명,http://donga.gen.hs.kr,일반계 
수완고등학교,광주광역시 광산구 장덕로 155,35.1980692770292,126.825938604239,062-961-5746,951명,477명,474명,http://suwan.gen.hs.kr,일반계 
수완중학교,광주광역시 광산구 수완로 19,35.1868603458152,126.827724141865,062-975-2206,777명,386명,391명,http://suwan.gen.ms.kr,일반계 
광주석산고등학교,광주광역시 남구 백운로26번길 20,35.1395772061223,126.90836623976,062-676-1476,605명,605명,0명,http://seoksan.gen.hs.kr,일반계 
광주광역시금호고등학교,광주광역시 북구 금호로 100,35.1785968979255,126.885512578982,062-608-1000,625명,625명,0명,http://kumho.gen.hs.kr,일반계 
