,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
대구고등학교,대구광역시 남구 중앙대로 171,35.8491092264343,128.588735371503,053-231-4145,606명,606명,0명,http://www.daegu.hs.kr,일반계 
경북공업고등학교,대구광역시 중구 남산로 20,35.8585136780021,128.583500812098,053-235-8500,716명,600명,116명,http://www.gyeongbuk.hs.kr,공업계  | 공업계열 
경상여자고등학교,대구광역시 북구 침산남로9길 164,35.9005419608088,128.587843862453,053-235-8163,635명,0명,635명,http://www.gyeongsang-g.hs.kr/,일반계 
대구농업마이스터고등학교,대구광역시 수성구 달구벌대로 3170,35.8357803012495,128.700709109364,053-231-8014,340명,265명,75명,http://www.dma.hs.kr,농생명산업계열  | 농업계  | 도시형첨단농업경영계열  | 일반계 
매천고등학교,대구광역시 북구 매전로 70,35.9115943313387,128.547237077477,053-231-6700,656명,265명,391명,http://www.maecheon.hs.kr/,일반계 
경북기계공업고등학교부설대구문화예술산업학교,대구광역시 달서구 월배로 275,35.8221415096407,128.542624404503,053-231-3832,25명,9명,16명,http://www.dgsanup.hs.kr,가사계  | 가사실업계열  | 공업계  | 농업계  | 상업계  | 상업정보계열 
대구광역시 운암고등학교,경기도 오산시 운천로 12,37.1438348423566,127.075076201091,031-370-5304,687명,345명,342명,http://www.unam.hs.kr,일반계 
대구외국어고등학교,대구광역시 달서구 선원로11길 21,35.860408651379,128.49806122559,053-231-7800,335명,106명,229명,http://www.taegu-fh.hs.kr,외국어계 
대구보건학교,대구광역시 남구 성당로50길 33,35.8559450266089,128.575071760135,053-231-3541,141명,0명,0명,http://www.bogun.sc.kr,일반계 
경원고등학교,대구광역시 달서구 새방로 77,35.8654793232008,128.525679042467,053-235-5600,843명,843명,0명,http://www.kwh.hs.kr,일반계 
청구고등학교,대구광역시 동구 국채보상로 827,35.8686548800844,128.620572150082,053-235-5000,698명,698명,0명,http://www.cg.hs.kr,일반계 
경북예술고등학교,대구광역시 남구 중앙대로47길 30,35.8544336483202,128.588783170047,053-235-8299,1224명,295명,929명,http://www.gahs.or.kr,예술계 
성광고등학교,대구광역시 북구 검단로 150,35.9076995289669,128.624838201828,053-235-4785,553명,553명,0명,http://www.seonggwang.hs.kr/,일반계 
대구혜화여자고등학교,대구광역시 수성구 교학로12길 62,35.8496425147684,128.647240283138,053-235-8000,751명,0명,751명,http://www.hyehwa.hs.kr,일반계 
덕원고등학교,대구광역시 수성구 욱수길 37,35.8257275864869,128.706146383542,053-235-5346,960명,620명,340명,http://www.dukwon.hs.kr,일반계 
성서고등학교,대구광역시 달서구 선원로 221,35.8598709023989,128.516192020913,053-231-4800,652명,235명,417명,http://www.sshigh.hs.kr/,일반계 
대구소프트웨어마이스터고등학교,대구광역시 달성군 구지면 창리로11길 93,35.6632508239323,128.413618885714,053-231-9226,188명,164명,24명,http://www.dgsw.hs.kr,공업계열  | 상업계  | 상업정보계열 
대구광명학교,대구광역시 남구 성당로50길 33,35.8559450266089,128.575071760135,053-231-3300,58명,0명,0명,http://www.kwangmyung.sc.kr/,일반계 
포산고등학교,대구광역시 달성군 현풍읍 비슬로 556-13,35.6908147912274,128.447955972602,053-231-5310,350명,157명,193명,http://www.posan.hs.kr,일반계 
경일여자고등학교,대구광역시 남구 효성로 37,35.8364087338241,128.596817104602,053-235-7500,495명,0명,495명,http://www.g-il.hs.kr,일반계 
경북여자상업고등학교,대구광역시 남구 명덕로38길 36,35.8549416193944,128.588749472631,053-235-9398,497명,0명,497명,http://www.gbgc.kr,상업계  | 상업정보계열 상업계  | 상업정보계열 
대구동부고등학교,대구광역시 동구 반야월북로 199,35.8742902325569,128.719072223198,"053-235-6701,6702",730명,165명,565명,http://www.dgdongbu.hs.kr/,일반계 
함지고등학교,대구광역시 북구 학정로48길 46,35.9278251757795,128.560254365433,053-231-6840,582명,231명,351명,http://www.hamji.hs.kr,일반계 
강북고등학교,대구광역시 북구 태전로 100,35.9297281710843,128.541222800076,053-235-5951,746명,746명,0명,http://www.gangbuk.hs.kr,일반계 
