,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
유성생명과학고등학교,대전광역시 유성구 월드컵대로 270,36.3482395683882,127.328421641242,042-539-5815,572명,251명,321명,http://ysbsths.djsch.kr/,농업계 
대전봉명중학교부설방송통신중학교,대전광역시 유성구 계룡로132번길 71,36.3496479142334,127.344930968398,0428266872,167명,21명,146명,http://cyber.ms.kr,일반계 
보문고등학교,대전광역시 동구 우암로 57,36.3369769623328,127.424125673155,042-620-6600,615명,615명,0명,http://bomoonhs.djsch.kr,일반계 
새소리음악고등학교,대전광역시 서구 변동중로 24-2,36.3271850276638,127.372797984801,042-533-6478,48명,18명,30명,http://sesory.djsch.kr,대안 
대전상업정보고등학교,대전광역시 서구 괴정로 191,36.3332013057389,127.39258005912,042-250-0099,29명,10명,19명,http://dpsc.djsch.kr,상업계 
충남기계공업고등학교,대전광역시 중구 산성로 154,36.3119942087967,127.40357307303,042-580-2114,775명,775명,0명,http://chungnam-mhhs.djsch.kr/,공업계 
대전신일여자고등학교,대전광역시 중구 부사로 48,36.3086694104356,127.433405822322,042-221-1771,479명,0명,479명,http://shinilhs.djsch.kr,상업계 
대전광역시서일고등학교,대전광역시 서구 계백로828번길 30,36.2933263592364,127.323636237314,042-540-5567,573명,573명,0명,http://seoilhs.djsch.kr,일반계 
청란여자고등학교,대전광역시 중구 보문로95번길 40,36.3107379158267,127.429527700482,042-253-8842,376명,0명,376명,http://chranhs.djsch.kr,일반계 
대전여자고등학교부설방송통신고등학교,대전광역시 동구 용운로1번길 28-37,36.3300002486217,127.446273615021,042-630-5901,299명,0명,299명,http://www.cyber.hs.kr/achs/daejeon-g,일반계 
한밭고등학교,대전광역시 서구 신갈마로141번길 58,36.3464968491078,127.364398593111,042-601-6152,765명,317명,448명,http://hanbaths.djsch.kr,일반계 
대전괴정고등학교,대전광역시 서구 가장로 15,36.3404030561824,127.378843134591,042-520-8413,779명,277명,502명,http://goejeonghs.djsch.kr,일반계 
대전산업정보고등학교,대전광역시 서구 괴정로 191,36.3332013057389,127.39258005912,042-250-0099,29명,10명,19명,http://dpsc.djsch.kr,직업 
유성고등학교,대전광역시 유성구 유성대로654번길 130,36.3492173781649,127.334774996888,042-710-6199,946명,946명,0명,http://yshs.djsch.kr,일반계 
대전여자상업고등학교,대전광역시 중구 대종로550번길 31,36.3338798995481,127.42167846413,042-253-4191,516명,0명,516명,http://aramhs.djsch.kr,상업계 
서대전고등학교,대전광역시 서구 월평동로 60,36.3601335311867,127.369500564916,042-479-2004,633명,633명,0명,http://sdjhs.djsch.kr,일반계 
대전동신과학고등학교,대전광역시 동구 옥천로 423,36.3328583682761,127.474364250124,042-717-9400,221명,143명,78명,http://ddsciencehs.djsch.kr,과학계  | 일반계 
대전가오고등학교,대전광역시 동구 신기로 71,36.3106601970593,127.454472396733,042-280-3700,611명,287명,324명,http://gaohs.djsch.kr,일반계 
대전이문고등학교,대전광역시 대덕구 석봉로 15,36.4473121403739,127.423477878465,042-930-0800,446명,233명,213명,http://imunhs.djsch.kr,상업계  | 일반계 
대전한빛고등학교,대전광역시 중구 대둔산로 119-37,36.2812445454741,127.373352854763,042-581-0403,558명,235명,323명,http://hanviths.djsch.kr,일반계 
대전구봉고등학교,대전광역시 서구 관저서로 36,36.2955749269676,127.331002598608,042-540-3700,662명,273명,389명,http://gubonghs.djsch.kr/,일반계 
유성여자고등학교,대전광역시 유성구 은구비로138번길 70,36.3845895614866,127.328925402346,042-820-1194,572명,0명,572명,http://yuseongghs.djsch.kr,일반계 
대전예술고등학교,대전광역시 유성구 월드컵대로308번길 33,36.3469540461616,127.333559972522,042-825-2203,486명,117명,369명,http://daejeonartshs.djsch.kr/,예술계 
계룡디지텍고등학교,대전광역시 동구 소랑길 64,36.337625491447,127.434474866587,042-630-6000,444명,444명,0명,http://krdhs.djsch.kr,공업계 공업계 
대전노은고등학교,대전광역시 유성구 노은동로 99,36.3693966879773,127.323215682417,042-717-3600,632명,314명,318명,http://noeunhs.djsch.kr,일반계 
충남여자고등학교,대전광역시 중구 선화로43번길 77,36.3297463634695,127.411287714097,042-229-3100,995명,0명,995명,http://cnghs.djsch.kr,일반계 
대전지족고등학교,대전광역시 유성구 노은서로 202,36.3779840347806,127.316083858007,042-717-1508,904명,389명,515명,http://jijokhs.djsch.kr,일반계 
