,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
삼성여자고등학교,부산광역시 사하구 감천로43번길 45,35.09422497078,128.998232841977,051-291-0808,734명,0명,734명,http://www.samsung-g.hs.kr,일반계 
부산서여자고등학교,부산광역시 서구 보수대로 202-6,35.1134582155898,129.021315700799,051-248-1561,521명,0명,521명,http://www.seo-gh.hs.kr,일반계 
부산일과학고등학교,부산광역시 사하구 제석로 242,35.1172099498415,128.98889345308,051-290-6800,266명,204명,62명,http://bsis.hs.kr,과학계 
해동고등학교,부산광역시 사하구 사하로141번나길 11-15,35.0928545362236,128.990423076467,051-204-4443,426명,426명,0명,http://www.haedong.hs.kr,일반계 
부일외국어고등학교,부산광역시 사하구 감천로73번길 36,35.0907360856604,129.002560444682,051-208-7405,541명,219명,322명,http://www.puilschool.hs.kr,외국어계 
부산광역시 영산고등학교,전라남도 나주시 영강길 32,35.0089409279041,126.713941866406,061-332-4812,222명,122명,100명,http://yeongsan.hs.jne.kr,가사실업계  | 상업계 
부산광역시 금성고등학교,경상북도 의성군 금성면 금성현서로 41-66,36.2544164467016,128.690146982158,054-834-0183,44명,24명,20명,http://school.gyo6.net/kbgsms,일반계 
부산여자고등학교,부산광역시 사하구 낙동대로520번길 36,35.111500678131,128.967486378456,051-200-0301,771명,0명,771명,http://busan-gh.hs.kr,일반계 
동명공업고등학교,부산광역시 남구 신선로 410,35.1208330965154,129.101318490793,051-610-2527,292명,280명,12명,http://tm.hs.kr/,공업계 
부산강서고등학교,부산광역시 강서구 공항로1309번길 96-7,35.2164266117646,128.982474209172,051-974-9800,420명,223명,197명,http://www.pusangangseo.hs.kr,일반계 
낙동고등학교,부산광역시 북구 의성로47번길 23,35.2170901353195,129.009602280235,051-366-2600,650명,349명,301명,http://www.nakdong.hs.kr,일반계 
동아공업고등학교,부산광역시 사하구 괴정로260번길 79,35.0932200793315,128.988428636061,051-200-3800,383명,359명,24명,http://donga-tec.hs.kr,공업계 
동의공업고등학교,부산광역시 부산진구 양지로 50,35.1660659899309,129.071738456807,051-811-7510,366명,366명,0명,http://school.busanedu.net/dongeui-tech-h,공업계 공업계 
영도여자고등학교,부산광역시 영도구 중리북로21번길 42,35.0735280615254,129.065994203813,051-403-7705,403명,0명,403명,http://www.yeongdo.hs.kr,일반계 
센텀고등학교,부산광역시 해운대구 해운대로 246,35.1771034302477,129.12698062567,051-730-8800,566명,566명,0명,http://www.centum.hs.kr,일반계 
데레사여자고등학교,부산광역시 동구 정공단로47번길 14,35.1373528261247,129.054703048223,051-640-1222,506명,0명,506명,http://www.trs.hs.kr,일반계 
부산광역시 경원고등학교,대구광역시 달서구 새방로 77,35.8654793232008,128.525679042467,053-235-5600,843명,843명,0명,http://www.kwh.hs.kr,일반계 
부산해사고등학교,부산광역시 영도구 해양로 425,35.0741904987322,129.077017514963,051-410-2000,408명,364명,44명,http://www.maritime.hs.kr,수산해양계 
