,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
기장고등학교,부산광역시 기장군 기장읍 차성서로 77,35.2401514766295,129.209025582923,051-750-8200,891명,445명,446명,http://www.Gijang.hs.kr,일반계 
동래고등학교,부산광역시 동래구 충렬대로285번길 22,35.2009008282394,129.092702460617,051-555-0151,687명,687명,0명,http://dongnae.hs.kr/,일반계 
부산센텀여자고등학교,부산광역시 해운대구 해운대로469번길 50-1,35.1659188356084,129.144357825848,051-731-3508,513명,0명,513명,http://school.busanedu.net/busan-cg-h/main.do,외국어계  | 일반계 
부산정보고등학교,부산광역시 부산진구 화지로 24,35.177523598521,129.064520463276,051-853-0871,547명,352명,195명,http://psinfo.hs.kr,상업계 
부산광역시대동고등학교,부산광역시 사하구 을숙도대로709번길 27,35.0873647967419,128.984239087976,051-292-1697,589명,589명,0명,http://www.ddhs.hs.kr,일반계 
화명고등학교,부산광역시 북구 화명신도시로 169,35.2395467603932,129.010691451468,051-330-5700,678명,349명,329명,http://www.hwamyeong.hs.kr/,일반계 
사상고등학교,부산광역시 사상구 강선로 24,35.1688803289896,128.985537202884,051-366-9700,421명,421명,0명,http://www.sasang.hs.kr,일반계 
해운대고등학교,부산광역시 해운대구 우동3로11번길 43,35.1714876011605,129.162473755162,051-742-0312,417명,417명,0명,http://www.haeundae.hs.kr,일반계 
개금고등학교,부산광역시 부산진구 백양대로208번길 71,35.1608770202722,129.025639631061,051-890-5600,430명,430명,0명,http://kaekeum.hs.kr,일반계 
데레사여자고등학교,부산광역시 동구 정공단로47번길 14,35.1373528261247,129.054703048223,051-640-1222,506명,0명,506명,http://www.trs.hs.kr,일반계 
한얼고등학교,부산광역시 남구 고동골로69번가길 54,35.1461610209521,129.071146233927,051-637-5983,295명,185명,110명,http://haneol.hs.kr,상업계  | 일반계 
부산공업고등학교,부산광역시 남구 수영로196번길 80,35.1301674053981,129.087687218828,051-607-3800,615명,591명,24명,http://pusan-th.hs.kr,공업계 
대명여자고등학교,부산광역시 동래구 시실로 135,35.2121100102298,129.09621410633,051-526-3451,606명,0명,606명,http://www.daemyung.hs.kr,일반계 
부산배화학교,부산광역시 수영구 연수로310번길 73,35.169114000725,129.102951173197,051-760-2500,112명,0명,0명,http://baehwa.sc.kr,일반계 
금정고등학교,부산광역시 동래구 명장로63번길 60-14,35.207713415485,129.107079827219,051-795-7105,580명,580명,0명,http://www.keumjeong.hs.kr,일반계 
동주여자고등학교,부산광역시 중구 광복중앙로 18,35.1009588637352,129.03135389875,051-240-3006,420명,0명,420명,http://www.dongju.hs.kr,상업계  | 일반계 
부산혜성학교,부산광역시 남구 진남로166번길 10-9,35.1418311178709,129.08014427295,051-640-6700,220명,0명,0명,http://hyeseong-s.sc.kr,일반계 
이사벨고등학교,부산광역시 연제구 중앙대로 1197,35.1935341410497,129.077938035705,051-590-2150,642명,314명,328명,http://www.isabelle.hs.kr,일반계 
세정고등학교,부산광역시 부산진구 양정로 88-12,35.1699702577491,129.079361619356,051-860-1500,455명,210명,245명,http://www.sejeong.hs.kr,가사실업계  | 상업계 
부산중앙고등학교,부산광역시 남구 진남로127번길 50,35.1398659972405,129.078651080715,051-209-7600,466명,466명,0명,http://www.bjungang.hs.kr,일반계 
부산맹학교,부산광역시 동래구 충렬사로67번길 56,35.2068611185893,129.097055225093,051-523-0057,73명,0명,0명,http://www.busanmaeng.sc.kr,일반계 
부산광역시금곡고등학교,부산광역시 북구 화명신도시로 236,35.2442795913249,129.011806512138,051-330-2104,659명,349명,310명,http://www.geumgok.hs.kr/,일반계 
