,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
신도림고등학교,서울특별시 구로구 경인로67길 159,37.5140629233737,126.88208378322,02-2068-7979,555명,292명,263명,https://shindorim.sen.hs.kr/,일반계 
광운인공지능고등학교,서울특별시 노원구 광운로1길 24,37.6192397716155,127.056545166873,02-918-7761,474명,474명,0명,http://kwangwoon.sen.hs.kr,공업계 공업계 
홍익대학교사범대학부속여자고등학교,서울특별시 마포구 성미산로 51,37.559665162458,126.912928685692,02-331-7584,712명,0명,712명,http://hongik68.sen.hs.kr,일반계 
대경생활과학고등학교,서울특별시 중구 매봉18길 111,37.5563732600255,127.016979156363,02-2235-5155,400명,260명,140명,http://daekyeong.sen.hs.kr,상업계 
혜성여자고등학교,서울특별시 노원구 노원로16길 2,37.6405502075269,127.073619657657,02-972-4040,860명,0명,860명,http://hyesung.sen.hs.kr,일반계 
성수공업고등학교,서울특별시 성동구 뚝섬로 365,37.5405694282104,127.050960207026,02-3409-0944,54명,54명,0명,http://sungsu.sen.hs.kr,공업계 
종로산업정보학교,서울특별시 종로구 종로58길 28,37.5725712502565,127.017188742529,02-2237-0465,312명,215명,97명,http://jongno.sen.hs.kr,가사계  | 공업계  | 상업계  | 외국어계  | 통합계 
용산철도고등학교,서울특별시 용산구 서빙고로 24,37.5243415841733,126.967358069735,02-6905-7777,448명,425명,23명,http://yongsan-th.sen.hs.kr,공업계 
당곡고등학교,서울특별시 관악구 봉천로21길 108,37.4917603442825,126.934246405052,02-6717-5200,714명,314명,400명,http://danggok.sen.hs.kr,일반계 
선린인터넷고등학교,서울특별시 용산구 원효로97길 33-4,37.5427698351486,126.966038693159,02-713-6211,771명,578명,193명,http://sunrint.sen.hs.kr,특성화 
반포고등학교,서울특별시 서초구 고무래로 71,37.5027027335348,127.016510661972,"02-2258-4300,4100",722명,345명,377명,http://banpo.sen.hs.kr,일반계 
성보고등학교,서울특별시 관악구 남부순환로156길 39,37.4807283676946,126.920957326353,02-862-8409,611명,611명,0명,http://sungbo.sen.hs.kr,일반계 
공항고등학교,서울특별시 강서구 방화대로34길 43,37.5704610944881,126.81851983357,02-2664-6874,640명,317명,323명,http://konghang.sen.hs.kr,일반계 
선유고등학교,서울특별시 영등포구 선유로 227,37.5339016190568,126.894850696134,02-2069-0036,557명,322명,235명,http://seonyoo.sen.hs.kr,일반계 
휘봉고등학교,서울특별시 동대문구 한천로 290,37.5863723553049,127.068940658438,02-2116-7211,447명,259명,188명,http://hwibong.sen.hs.kr,일반계 
단국대학교사범대학부속고등학교,서울특별시 강남구 도곡로64길 21,37.4956174948977,127.057768228297,02-2191-2600,1086명,1086명,0명,http://dan-kook.sen.hs.kr,일반계 
