,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
세종여자고등학교,세종특별자치시 조치원읍 봉산로 16,36.6079087062266,127.287907560703,044-862-1083,515명,0명,515명,http://sjghs.sjeduhs.kr,상업계  | 일반계 
세종과학예술영재학교,세종특별자치시 달빛1로 265,36.5228984394094,127.249130805954,044-903-1000,260명,198명,62명,http://sasa.sjeduhs.kr/,과학계 
조치원중학교,세종특별자치시 조치원읍 대첩로 90,36.5957787829409,127.286354906342,044-863-0772,725명,466명,259명,http://jochiwon.sjedums.kr,일반계 
해밀고등학교,세종특별자치시 해밀2로 36,36.5265847260795,127.270542628947,044-902-8500,168명,77명,91명,http://haemil.sjeduhs.kr,일반계 
세종하이텍고등학교,세종특별자치시 부강면 문곡달미길 6,36.5267881565509,127.381892559845,044-275-4092,112명,98명,14명,http://sejonghi-tech.sjeduhs.kr/,공업계 
한솔중학교,세종특별자치시 나리로 43,36.4761693545439,127.254980231186,044-868-1731,859명,428명,431명,http://sjhansol.sjedums.kr,일반계 
세종장영실고등학교,세종특별자치시 금남면 금남구즉로 196,36.4775850770721,127.299545051452,044-902-2800,458명,180명,278명,http://sejongjys.sjeduhs.kr,가사실업계열 
반곡고등학교,세종특별자치시 시청대로 566,36.4967581503489,127.316620119188,044-902-7700,353명,181명,172명,http://bangok.sjeduhs.kr/,일반계 
세종특별자치시 세종중학교 ,경기도 여주시 세종로 204-17,37.2795078705086,127.633104375529,031-884-6175,771명,451명,320명,http://yjsejong-m.goeyj.kr,일반계 
어진중학교,세종특별자치시 다솜로 10,36.4982469178248,127.254847445305,0444100750,372명,201명,171명,http://eojin.sjedums.kr,일반계 
전의중학교,세종특별자치시 전의면 운주산로 1260-6,36.681656191745,127.197587133786,044-863-3201,100명,58명,42명,http://jeonui.sjedums.kr,일반계 
금호중학교,세종특별자치시 대평로 27,36.4704597306078,127.280166770201,044-850-0400,501명,263명,238명,http://geumho.sjedums.kr,일반계 
연동중학교,세종특별자치시 연동면 내판로 10-13,36.5541020306532,127.330246289414,044-864-7021,19명,7명,12명,http://yeondong.sjedums.kr,일반계 
아름고등학교,세종특별자치시 달빛1로 151,36.5130098376947,127.245250101924,044-902-6400,848명,460명,388명,http://areum.sjeduhs.kr,일반계 
새롬중학교,세종특별자치시 어울로 41,36.4814796076902,127.249870788382,044-998-2650,791명,382명,409명,http://saerom.sjedums.kr,일반계 
도담고등학교,세종특별자치시 보듬4로 41,36.5142071562906,127.263444559783,044-410-0303,615명,323명,292명,http://dodam.sjeduhs.kr,일반계 
세종특별자치시 장기중학교,경기도 김포시 청송로 5,37.6478799480208,126.66483546403,031-986-7301,1145명,615명,530명,http://www.janggi.ms.kr,일반계 
두루고등학교,세종특별자치시 마음안1로 53,36.5162699908084,127.227394206755,044-903-2200,663명,358명,305명,http://duru.sjeduhs.kr,일반계 
종촌고등학교,세종특별자치시 달빛1로 60,36.5046306845716,127.245837828462,044-903-2100,822명,400명,422명,http://jongchon.sjeduhs.kr,일반계 
세종특별자치시 연서중학교,서울특별시 은평구 증산서길 125-6,37.5870193121654,126.909276587676,02-6715-8000,318명,164명,154명,http://yeonseo.sen.ms.kr,일반계 
세종예술고등학교,세종특별자치시 연기면 중앙공원서로 60,36.4905276705171,127.269103710319,044-902-3000,231명,45명,186명,http://sjarts.sjeduhs.kr,예술계 
다정고등학교,세종특별자치시 다정남로 15,36.4934915056656,127.242042190907,044-410-3400,795명,399명,396명,http://dajeong.sjeduhs.kr,일반계 
고운중학교,세종특별자치시 만남로 65,36.5053393099703,127.237721873938,044-903-3300,868명,440명,428명,http://gowoon.sjedums.kr/,일반계 
세종누리학교,세종특별자치시 만남로 326-14,36.525404246034,127.243028887936,044-410-2100,186명,0명,0명,http://sjnuri.sjeduhs.kr,일반계 
세종특별자치시 세종고등학교,경기도 여주시 청심로 221,37.2954934476973,127.646279063047,031-883-1120,513명,236명,277명,https://se-jong-h.goeyj.kr,일반계 
세종특별자치시 양지고등학교,경기도 안산시 단원구 화정천동로 50,37.3091875469614,126.822084716848,031-439-8301,739명,371명,368명,http://www.yj.hs.kr,일반계 
세종특별자치시 반곡중학교,강원도 원주시 동부순환로 225,37.3364686512378,127.973147983943,033-730-9502,883명,428명,455명,http://bangok.gwe.ms.kr/main.do,일반계 
세종특별자치시 한솔고등학교,경기도 성남시 분당구 내정로 70,37.366776155373,127.11568843387,031-714-4381,765명,428명,337명,http://www.hansol.hs.kr,일반계 
세종대성고등학교,세종특별자치시 다솜로 22,36.4971313709124,127.254681391885,044-860-3700,571명,263명,308명,http://daeseong.sjeduhs.kr,일반계 
소담고등학교,세종특별자치시,36.4800649113762,127.289195324698,044-902-2200,635명,288명,347명,http://sodam.sjeduhs.kr/index.do?sso=ok,일반계 
새롬고등학교,세종특별자치시 새롬서로 68,36.4865929854467,127.249125659458,044-999-6300,840명,397명,443명,http://saerom.sjeduhs.kr,일반계 
세종국제고등학교,세종특별자치시 달빛1로 251,36.5217937137029,127.247139573034,044-410-0505,288명,64명,224명,http://sjgl.sjeduhs.kr,국제계 
고운고등학교,세종특별자치시 마음안로 93,36.5102290381123,127.233077949258,044-903-2310,649명,305명,344명,http://gowoon.sjeduhs.kr/,일반계 
보람고등학교,세종특별자치시 한누리대로 2176,36.4776410737343,127.284089974194,044-999-7100,672명,352명,320명,http://boram.sjeduhs.kr,일반계 
