,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
울산스포츠과학고등학교,울산광역시 북구 산음3길 16,35.6237505884655,129.431301377001,052-716-5010,192명,124명,68명,http://www.ussmh.hs.kr,체육계 
달천고등학교,울산광역시 북구 달천철장길 23,35.6318782968714,129.32875472954,052-707-7011,755명,385명,370명,http://dalcheon.hs.kr,일반계 
온산고등학교,울산광역시 울주군 온산읍 명봉거남로 76,35.4390149028479,129.317936220991,052-716-4050,284명,155명,129명,http://onsan.hs.kr,일반계 
울산여자고등학교,울산광역시 남구 삼산로9번길 16,35.5355867023923,129.309595821797,052-258-4231,694명,0명,694명,http://ulsan-gh.hs.kr,일반계 
범서고등학교,울산광역시 울주군 범서읍 대리로 69,35.5697909247159,129.249324677913,052-711-2500,975명,483명,492명,http://school.use.go.kr/beomseo-h,일반계 
울산광역시 세인고등학교,전라북도 완주군 화산면 화산로 1486,36.0686384070986,127.153993996045,063-261-0077,162명,98명,64명,http://www.seine.hs.kr,일반계 
문수고등학교,울산광역시 남구 울밀로 2905,35.5556501240198,129.265401028062,052-277-0041,493명,225명,268명,http://munsu.hs.kr,일반계 
울산제일고등학교,울산광역시 남구 남부순환도로 107,35.5425894389968,129.268156812102,052-277-3176,423명,423명,0명,http://www.ulsanjeil.hs.kr,일반계 
약사고등학교,울산광역시 중구 종가로 560,35.5735453599089,129.335998411313,052-290-5800,599명,340명,259명,http://www.yaksa.hs.kr,일반계 
무룡고등학교,울산광역시 북구 사청1길 30,35.5866509285564,129.361612671257,052-920-3300,484명,226명,258명,http://muryong.hs.kr,일반계 
울산미용예술고등학교,울산광역시 울주군 웅촌면 학교길 26,35.4655247258188,129.204700800626,052-225-0005,282명,94명,188명,http://uba.hs.kr,가사실업계  | 상업계 
울산경의고등학교,울산광역시 울주군 상북면 상북로 248,35.5885203178571,129.093274779935,052-226-6113,432명,221명,211명,http://gyeongui.hs.kr,일반계 
화봉고등학교,울산광역시 북구 화동로 47,35.5952995328702,129.370021405871,052-283-3511,592명,286명,306명,http://www.hwabong.hs.kr,일반계 
현대청운고등학교,울산광역시 동구 방어진순환도로 1077,35.5365585370624,129.428097414253,052-230-7700,533명,262명,271명,https://school.use.go.kr/hcu-h,일반계 
울산동천고등학교,울산광역시 북구 고래로 54,35.6327798821215,129.338851290874,052-286-3191,727명,344명,383명,http://www.usdc.hs.kr,일반계 
신선여자고등학교,울산광역시 남구 수암로178번길 14,35.5250618516762,129.325945722297,052-256-9893,593명,0명,593명,http://shinsun.hs.kr,일반계 
태연학교,울산광역시 북구 대안4길 60,35.6580522436525,129.419502533818,052-298-3703,135명,0명,0명,http://www.taeyoun.sc.kr,일반계 
다운고등학교,울산광역시 중구 다운로 180,35.5664888229178,129.27060962803,052-710-5400,411명,137명,274명,http://www.daun.hs.kr/,일반계 
울산강남고등학교,울산광역시 남구 팔등로 115,35.5469980885806,129.318734685227,052-279-2508,565명,263명,302명,http://ugn.hs.kr,일반계 
울산상업고등학교,울산광역시 울주군 범서읍 장검길 11,35.5569348384041,129.256036318275,052-277-1812,439명,439명,0명,http://www.ulsan.hs.kr/,상업계 
성광여자고등학교,울산광역시 남구 남부순환도로 97,35.5431457378798,129.265848882847,052-277-3171,478명,0명,478명,http://sungkwang.hs.kr/,일반계 
울산공업고등학교,울산광역시 남구 중앙로204번길 49,35.5418292500329,129.315973881492,052-261-4051,1006명,964명,42명,http://ust.hs.kr,공동실습소  | 공업계 
메아리학교,울산광역시 북구 갓안1길 8,35.6659346141477,129.340380009015,052-295-2696,98명,0명,0명,http://www.meary.sc.kr,일반계 
울산산업고등학교,울산광역시 울주군 삼남면 반구대로 675,35.5533400362632,129.115435376813,052-262-0171,446명,212명,234명,http://www.usup.hs.kr,가사실업계  | 농생명계  | 농생명산업계열  | 상업계  | 상업정보계열 
상안중학교,울산광역시 북구 양지길 5,35.6278361742472,129.329924829964,052-291-0797,536명,276명,260명,http://www.sangan.ms.kr,일반계 
울산광역시 삼산고등학교,인천광역시 부평구 영성중로 54,37.5216109335519,126.745892731117,032-512-9514,584명,325명,259명,http://samsan.icehs.kr,일반계 
학성여자고등학교,울산광역시 중구 화합로 466,35.5666323527702,129.334944631328,052-293-4828,457명,0명,457명,http://www.hakseong-g.hs.kr,일반계 
울산기술공업고등학교,울산광역시 울주군 온산읍 덕망로 54,35.4388907889997,129.308023112149,052-237-4000,496명,435명,61명,http://www.ue.hs.kr,공업계  | 상업계 
달천중학교,울산광역시 북구 가재길 51,35.6310362217405,129.330540657799,052-710-4900,698명,346명,352명,http://dalchun.ms.kr,일반계 
울산외국어고등학교,울산광역시 북구 중산동로 32-46,35.6588158203046,129.354504376611,052-711-7101,406명,114명,292명,http://www.ufl.hs.kr,외국어계 
울산고운중학교,울산광역시 울주군 두서면 구량차리로 16,35.6176178085562,129.147411066504,2632190,34명,16명,18명,http://ulsangoun.sc.kr,일반계 
학성고등학교부설방송통신고등학교,울산광역시 남구 문수로 436,35.5316043971898,129.300352883488,052-257-2077,226명,36명,190명,http://www.cyber.hs.kr,일반계 
대현고등학교,울산광역시 남구 수암로 164,35.5261401471467,129.324338927099,052-271-8954,586명,586명,0명,http://daehyun.hs.kr,일반계 
남목고등학교,울산광역시 동구 방어진순환도로 1200,35.5380104249407,129.41875170715,052-965-7009,543명,258명,285명,http://nammok.hs.kr,일반계 
울산고등학교,울산광역시 중구 도화골15길 15,35.5631311399989,129.330918013307,052-297-7701,565명,565명,0명,http://www.ulsan-hs.hs.kr,일반계 
울산광역시 화봉초등학교,경기도 남양주시 진접읍 해밀예당2로 21,37.7158663717295,127.19187072773,031-573-2044,774명,395명,379명,http://hwabong.es.kr/,일반계 
울산광역시 현대고등학교,서울특별시 강남구 압구정로 127,37.5254804993365,127.022377298509,02-546-6323,1042명,396명,646명,http://www.hyundai.hs.kr,일반계 
방어진고등학교,울산광역시 동구 학문로 50,35.5046206933814,129.422991399889,052-230-3100,494명,243명,251명,http://www.bangeojin.hs.kr,일반계 
울산광역시 강동고등학교,서울특별시 강동구 구천면로 572,37.5499166487971,127.160668324892,02-427-0231,615명,358명,257명,http://kangdong.sen.hs.kr,일반계 
효정고등학교,울산광역시 북구 율동2길 41,35.5636664968435,129.374996625386,052-288-6922,431명,220명,211명,http://www.hyojung.hs.kr,일반계 
남창고등학교,울산광역시 울주군 온양읍 태화7길 43-16,35.4147781182275,129.277212613147,052-238-3412,862명,438명,424명,http://namchang.hs.kr,일반계 
울산광역시 우신고등학교,서울특별시 구로구 부일로 917,37.4949023087281,126.826353599765,02-2610-1518,708명,708명,0명,http://wooshin.sen.hs.kr,일반계 
함월고등학교,울산광역시 중구 종가3길 25,35.5614464511021,129.297090725078,052-210-6610,572명,276명,296명,http://hamwol.hs.kr,일반계 
