,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
인천공항고등학교,인천광역시 중구 신도시북로 20,37.4976310219629,126.485926987914,032-746-2363,680명,356명,324명,http://gonghang-h.icehs.kr,일반계 
검단고등학교,인천광역시 서구 검단로540번길 7,37.6038622513597,126.664741443978,032-567-7831,785명,0명,785명,http://geomdan.icehs.kr,일반계 
인천광역시계양고등학교,인천 계양구 계양문화로 177,37.5419311320668,126.743876538689,032-553-4903,553명,553명,0명,http://gy.icehs.kr,일반계 
백령고등학교,인천광역시 옹진군 백령면 백령로 708,37.9644469694023,124.676047750383,032-836-0091,65명,33명,32명,http://brmh.icehs.kr,상업계  | 일반계 
인천부흥고등학교,인천광역시 부평구 수변로57번길 61,37.4912114136485,126.736656345761,032-505-9052,564명,281명,283명,http://buheung.icehs.kr,일반계 
덕적고등학교,인천광역시 옹진군 덕적면 덕적남로 15,37.2253805824012,126.1481953087,032-832-9303,41명,31명,10명,http://deokjeok.icehs.kr/main.do,일반계 
문학정보고등학교,인천광역시 미추홀구 소성로350번길 29,37.4357479370594,126.686966420411,032-627-0777,283명,0명,283명,http://munhak.icehs.kr,상업계 
부평공업고등학교,인천광역시 부평구 주부토로 194,37.5125337805686,126.726792837058,032-526-0731,535명,535명,0명,http://pth.icehs.kr,공업계 
인천효성고등학교,인천광역시 계양구 새벌로171번길 21,37.5314673601179,126.714997163624,032-556-8181,600명,307명,293명,http://in-hyoseong.icehs.kr,일반계 
부광고등학교,인천광역시 부평구 화랑로 28,37.4884197536492,126.703071381365,032-500-9100,586명,586명,0명,http://bg.icehs.kr,일반계 
인천광역시가좌고등학교,인천광역시 서구 장고개로287번길 24,37.4896461778657,126.680909645296,032-720-0690,894명,438명,456명,http://gajwa.icehs.kr,일반계 
인천체육고등학교,인천광역시 서구 로봇랜드로 473,37.5459250388863,126.609451187508,032-874-0242,270명,174명,96명,http://phed.icehs.kr,체육계 
인천중앙여자상업고등학교,인천광역시 중구 샛골로 31,37.4654165429327,126.641809614024,032-883-8748,432명,0명,432명,http://ija.icehs.kr,상업계 
계산공업고등학교,인천광역시 계양구 도두리로 47,37.5342172434634,126.739839576739,032-552-2032,565명,565명,0명,http://iks.icehs.kr,공업계 
부개고등학교,인천광역시 부평구 수변로57번길 36,37.4922189447159,126.738046602648,032-7225-777,598명,321명,277명,http://bugae.icehs.kr,일반계 
부평여자고등학교,인천광역시 부평구 부흥로243번길 44,37.5011518439188,126.71970618732,032-526-6432,577명,0명,577명,http://bgh.icehs.kr,일반계 
인천원당고등학교,인천광역시 서구 고산로40번길 30,37.5968927669711,126.704822583562,032-569-0720,889명,447명,442명,http://wondang.icehs.kr,일반계 
인하대학교사범대학부속고등학교,인천광역시 미추홀구 재넘이길123번길 29,37.4459657058776,126.662866196854,032-453-9400,643명,643명,0명,http://inha.icehs.kr,일반계 
인제고등학교,인천광역시 남동구 석산로197번길 19,37.4613970126173,126.712465355027,032-422-6681,720명,720명,0명,http://inje.icehs.kr,일반계 
인천해송고등학교,인천광역시 연수구 해송로 20,37.3825401579274,126.645868764869,032-831-0321,855명,0명,855명,http://ihs.icehs.kr/,일반계 
작전여자고등학교,인천광역시 계양구 주부토로426번길 15,37.5321355616862,126.730077470934,032-555-6217,560명,0명,560명,http://jj.icehs.kr,일반계 
