,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
문태고등학교,전라남도 목포시 용당로 138,34.800575575612,126.403050685094,061-803-3111,483명,257명,226명,http://moontae.hs.jne.kr,일반계 
송강고등학교,전라남도 담양군 봉산면 송강정로 170,35.2540537992947,126.948592234352,061-380-5921,41명,21명,20명,http://songgang.hs.jne.kr,일반계 
백제고등학교,전라남도 무안군 무안읍 무안로 422,34.9824863551109,126.473497850231,061-450-8200,359명,178명,181명,http://baekje.hs.jne.kr,일반계 
은광학교,전라남도 영암군 삼호읍 신호정길 43-17,34.7571398540724,126.479088956673,061-462-5602,87명,0명,0명,http://eungwang21.sc.jne.kr,일반계 
임자고등학교,전라남도 신안군 임자면 임자로 230-9,35.0904602386424,126.099736769046,061-275-3144,34명,14명,20명,http://imja.hs.jne.kr,상업계  | 일반계 
삼호고등학교,전라남도 영암군 삼호읍 방아제로 84,34.7511733045522,126.46914193311,061-462-0583,378명,187명,191명,http://samho.hs.jne.kr,일반계 
영산성지고등학교,전라남도 영광군 백수읍 성지로 1218-6,35.3225159586975,126.436180145074,061-352-6351,58명,45명,13명,http://yssj.hs.jne.kr,일반계  | 특성화 
담양공업고등학교,전라남도 담양군 담양읍 죽향대로 1072,35.3024116694057,126.982236596342,061-380-5870,143명,110명,33명,http://damyang-t.hs.jne.kr,공업계 
순천여자고등학교,전라남도 순천시 저전길 54,34.9477769246807,127.483140864965,061-740-0546,716명,0명,716명,http://suncheon-g.hs.jne.kr,일반계 
고흥도화고등학교,전라남도 고흥군 도화면 도화로 476,34.5140821596851,127.320450785743,061-830-9101,60명,44명,16명,http://ghdohwa.hs.jne.kr/,공업계  | 일반계 
봉황고등학교,전라남도 나주시 월정5길 22,35.0074041998197,126.786035868156,061-820-6800,339명,150명,189명,http://bonghwang.hs.jne.kr,일반계 
영암고등학교,전라남도 영암군 영암읍 영암초중고길 40,34.799097529437,126.686740999418,061-473-2030,158명,158명,0명,http://yeongam.hs.jne.kr,일반계 
전남체육고등학교,전라남도 무안군 일로읍 일로로 126,34.8451441394054,126.497598241213,061-801-0104,119명,79명,40명,http://jnpschool.hs.jne.kr,체육계 
함평영화학교,전라남도 함평군 함평읍 한나리길 10-25,35.1042957810568,126.494312716387,061-323-9889,111명,0명,0명,http://yh.sc.jne.kr,일반계 
고흥산업과학고등학교,전라남도 고흥군 고흥읍 고흥로 1637-13,34.6024954028077,127.275377538374,061-830-3000,191명,120명,71명,http://goheungv.hs.jne.kr,공업계  | 농업계  | 상업계 
광양여자고등학교,전라남도 광양시 광양읍 인덕로 1039,34.976496906873,127.580412565054,061-815-2295,489명,0명,489명,http://gwangyangg.hs.jne.kr/,일반계 
송지고등학교,전라남도 해남군 송지면 미야길 158-16,34.3844902687939,126.515737329255,061-533-2295,77명,39명,38명,http://songji.hs.jne.kr,상업계  | 일반계 
여수충무고등학교,전라남도 여수시 미평7길 16,34.7714283233845,127.711023281997,061-650-3001,574명,319명,255명,http://yschungmu.hs.jne.kr,일반계 
순천왕의중학교,전라남도 순천시 해룡면 지봉로 420,34.9510011164037,127.534022892451,061-804-4000,588명,295명,293명,http://wangui.ms.jne.kr,일반계 
중마고등학교,전라남도 광양시 등논4길 40,34.9532114533797,127.697671366117,061-815-7700,547명,255명,292명,http://jungma.hs.jne.kr,일반계 
옥과고등학교,전라남도 곡성군 옥과면 대학로 99,35.2742455394454,127.129844649121,061-360-5600,230명,114명,116명,http://okgwa.hs.jne.kr,공업계  | 일반계 
목포정명여자고등학교,전라남도 목포시 삼일로 45,34.7964048199001,126.383113750727,061-240-5903,530명,0명,530명,http://mpjm.hs.jne.kr,일반계 
호남원예고등학교,전라남도 나주시 금천면 영산로 5691,35.0382230744898,126.75108804267,061-331-7665,212명,133명,79명,http://honamh.hs.jne.kr,농업계 
전남에너지고등학교,전라남도 영암군 신북면 황금동로 16-13,34.8832206072677,126.69074424552,061-472-9158,70명,52명,18명,https://jnenergy.hs.jne.kr,공업계  | 일반계 
완도고등학교,전라남도 완도군 완도읍 개포로135번길 55,34.3234950089791,126.74021880632,061-550-0313,378명,195명,183명,http://wando.hs.jne.kr,일반계 
화순고등학교,전라남도 화순군 화순읍 진각로 31-9,35.0537608248428,126.983519390635,061-370-1501,640명,301명,339명,http://hwasun.hs.jne.kr,일반계 
여수정보과학고등학교,전라남도 여수시 여문2로 148,34.7524935878104,127.698398934778,061-650-6211,690명,258명,432명,http://yosuis.hs.jne.kr,상업계 일반계  | 가사계  | 공업계  | 상업계 상업계 
전남외국어고등학교,전라남도 나주시 영나로 2434,34.9943705267071,126.722737758476,061-333-1056,331명,104명,227명,http://jeonnam-fh.hs.jne.kr/,외국어계 
능주고등학교,전라남도 화순군 능주면 죽수길 31-2,34.9851641211649,126.95904271949,061-372-1193,470명,225명,245명,http://neungju.hs.jne.kr/,일반계 
목포제일여자고등학교,전라남도 목포시 삼향천로 85,34.8076486799586,126.43065245813,061-260-7500,484명,0명,484명,http://jeil-g.hs.jne.kr,일반계 
전남예술고등학교,전라남도 무안군 삼향읍 삼향중앙로 31,34.8469903341477,126.431610371605,061-281-6448,435명,124명,311명,http://jeonnamarts.hs.jne.kr/,예술계 
나주공업고등학교,전라남도 나주시 건재로 43,35.0398049237499,126.712751090808,061-332-3911,373명,346명,27명,http://naju-tech.hs.jne.kr,공업계 
목포혜인여자고등학교,전라남도 목포시 죽선로 39-2,34.799538904926,126.37232953738,061-240-6603,453명,0명,453명,http://hyein.hs.jne.kr,일반계 
다향고등학교,전라남도 보성군 보성읍 녹차로 1364,34.7638290155337,127.092075235423,061-852-2395,102명,43명,59명,http://dahyangv.hs.jne.kr,공업계  | 농업계 
전남미용고등학교,전라남도 나주시 영산포로 182-9,34.9985772969468,126.71202482321,061-332-1181,232명,33명,199명,http://jn-beauty.hs.jne.kr,가사계  | 상업계 
나주고등학교,전라남도 나주시 나주천2길 26,35.0308003501608,126.710843184066,061-339-6894,356명,134명,222명,http://naju.hs.jne.kr,일반계 
전라남도예당고등학교,전라남도 보성군 득량면 예당길 155-12,34.7805811261319,127.199380756328,061-853-7885,168명,90명,78명,http://yedang.hs.jne.kr,일반계 
순천강남여자고등학교,전라남도 순천시 조례1길 43,34.9631396420414,127.524245886437,061-721-2104,604명,0명,604명,http://gangnam.hs.jne.kr,일반계 
전라남도화원고등학교,전라남도 해남군 화원면 신평리길 25-19,34.6709284485734,126.322960872224,061-532-0295,124명,49명,75명,http://hn-hwawon.hs.jne.kr,일반계 
순천선혜학교,전라남도 순천시 비봉길 100,34.9650958515683,127.519010133737,061-721-2001,184명,0명,0명,http://seonhye.sc.jne.kr,일반계 
법성고등학교,전라남도 영광군 법성면 용덕로 66,35.3595459527842,126.457460549561,061-357-5640,110명,56명,54명,http://bubsung.hs.jne.kr,상업계 
성요셉상호문화고등학교,전라남도 강진군 강진읍 금릉2길 24,34.6324015019044,126.767554436464,061-432-9240,28명,12명,16명,http://stjoseph.hs.jne.kr/,대안 
전라남도광양고등학교,전라남도 광양시 봉강면 매천로 667,34.9836075015558,127.572658384177,061-762-3339,481명,481명,0명,http://gwangyang.hs.jne.kr,일반계 
전남기술과학고등학교,전라남도 화순군 화순읍 만연로 160-25,35.0719849351247,126.991909166087,061-370-7500,310명,201명,109명,http://jts.hs.jne.kr,가사계  | 공업계  | 상업계 
벌교여자고등학교,전라남도 보성군 벌교읍 채동선로 133,34.8350904106611,127.341137365539,061-857-7102,24명,0명,24명,http://beolgyogirls.hs.jne.kr,일반계 
전라남도광영고등학교,전라남도 광양시 가야로 322,34.9618719210701,127.71450039338,061-795-8442,538명,259명,279명,http://g-yeong.hs.jne.kr,일반계 
영산고등학교,전라남도 나주시 영강길 32,35.0089409279041,126.713941866406,061-332-4812,222명,122명,100명,http://yeongsan.hs.jne.kr,상업계  | 일반계 
조도고등학교,전라남도 진도군 조도면 명지길 64,34.3115521357103,126.043245870318,061-542-5242,16명,10명,6명,http://jodo.hs.jne.kr,일반계 
순천효천고등학교,전라남도 순천시 녹색로 1360,34.9050545899222,127.484412139383,061-741-2145,663명,306명,357명,http://hyocheon.hs.jne.kr,일반계 
여수해양과학고등학교,전라남도 여수시 돌산읍 돌산로 1201-18,34.614136889086,127.727000019548,061-644-0207,75명,58명,17명,http://ym-s.hs.jne.kr,가사실업계  | 공업계  | 상업계  | 수산계 
순천금당고등학교,전라남도 순천시 기적의도서관1길 34,34.9508678767014,127.523340325551,061-729-6600,673명,673명,0명,http://geumdang.hs.jne.kr,일반계 
완도수산고등학교,전라남도 완도군 완도읍 장보고대로 141,34.3235253629301,126.744189444538,061-552-3372,219명,158명,61명,http://wandosugo.hs.jne.kr,수산계  | 특성화 
영흥고등학교,전라남도 목포시 삼각로43번길 9,34.8053649750266,126.416829093662,061-283-6012,456명,217명,239명,http://yeongheung.hs.jne.kr/,일반계 
무안고등학교,전라남도 무안군 무안읍 성남1길 61-1,34.9816621130617,126.467148282862,061-455-1000,497명,226명,271명,http://muan.hs.jne.kr/,공업계  | 일반계 
