,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
고창북고등학교,전라북도 고창군 흥덕면 선운대로 3714-32,35.5150464053469,126.697936361254,063-562-6978,275명,149명,126명,http://gochangbuk.hs.kr,상업계  | 일반계 
전주성심여자고등학교,전라북도 전주시 완산구 경기전길 130,35.8119513174478,127.150660967259,063-232-2517,772명,0명,772명,http://www.sungsim.hs.kr,일반계 
군산영광여자고등학교,전라북도 군산시 둔배미길 21,35.9826586546319,126.714824899698,063-440-8500,714명,0명,714명,https://school.jbedu.kr/higlory/,상업계  | 상업계  | 일반계 
군산동고등학교,전라북도 군산시 달여길 50,35.9705649929505,126.767975987039,063-450-1154,580명,580명,0명,http://kunsan-donggo.hs.kr,일반계 
무풍고등학교,전라북도 무주군 무풍면 대덕산로 914,35.966763718418,127.846451067435,063-324-4417,12명,4명,8명,http://mupung.ms.kr,일반계 
남원국악예술고등학교,전라북도 남원시 용성로 323,35.4259513538898,127.405555453514,063-632-7702,212명,55명,157명,http://www.nwit.hs.kr,상업계  | 예술계 
전주제일고등학교,전라북도 전주시 완산구 관선5길 15,35.8209588309879,127.158063855166,063-284-3161,816명,417명,399명,http://jeonjuilgo.hs.kr,상업계  | 일반계 
이리고등학교,전라북도 익산시 익산대로36길 35,35.9492508120312,126.955774140355,063-859-7100,800명,800명,0명,http://iri.hs.kr,일반계 
백화여자고등학교,전라북도 장수군 장계면 백화로 4-31,35.7277841847344,127.586180826654,063-351-0106,55명,0명,55명,http://baekhwa.hs.kr,상업계  | 일반계 
군산기계공업고등학교,전라북도 군산시 군중길 28,35.9772800377406,126.700342183897,063-730-5500,334명,334명,0명,http://www.gunsan-mh.hs.kr,공업계 
이리여자고등학교,전라북도 익산시 익산대로24길 8-5,35.9448681514681,126.95131735615,063-850-1550,602명,0명,602명,http://irigh.hs.kr,일반계 일반계 
전주여자고등학교,전라북도 전주시 덕진구 모래내6길 14,35.8366272883568,127.145884995471,063-710-5500,708명,0명,708명,http://jjg.hs.kr,일반계 
부안제일고등학교,전라북도 부안군 행안면 춘헌길 1,35.7286420751748,126.722506186153,063-583-7337,61명,44명,17명,http://www.buanat.hs.kr,공업계  | 농업계 
무주고등학교,전라북도 무주군 무주읍 한수로 32,36.0137570102057,127.663049291956,063-322-2016,260명,120명,140명,http://muju.hs.kr,상업계  | 일반계 
전주근영여자고등학교,전라북도 전주시 완산구 영경1길 11,35.8203022708688,127.124641608602,063-223-8984,795명,0명,795명,http://www.geunyoung.hs.kr,일반계 
군산고등학교,전라북도 군산시 팔마로 177,35.9739444102909,126.719589394597,063-445-4255,609명,609명,0명,http://kunsan.hs.kr,일반계 
진경여자고등학교,전라북도 익산시 황등서로 40-92,36.0050435687452,126.940832395588,063-856-6032,223명,0명,223명,http://www.jingyeong.hs.kr,가사계  | 상업계 
정읍여자고등학교,전라북도 정읍시 충정로 56-11,35.5591602891626,126.871103754459,063-535-4546,341명,0명,341명,http://www.chongup-gh.hs.kr/,일반계 
전주고등학교,전라북도 전주시 완산구 권삼득로 2,35.82470798222,127.152551545419,063-285-0212,982명,982명,0명,http://www.jeonjugo.hs.kr,일반계 
전주공업고등학교,전라북도 전주시 덕진구 여산로 101,35.8623518622203,127.075369695633,063-210-9334,739명,702명,37명,http://www.jt.hs.kr,공동실습소  | 공업계 
전주은화학교,전라북도 전주시 완산구 효자로 28-20,35.8196248346076,127.086778177247,063-220-0902,146명,0명,0명,https://school.jbedu.kr/eunhwa,일반계 
전주영생고등학교,전라북도 전주시 완산구 천잠로 333,35.8160998252333,127.091987426291,063-220-3500,747명,747명,0명,http://www.youngsaeng.hs.kr,일반계 
남원서진여자고등학교,전라북도 남원시 낙현길 17-14,35.4257343092601,127.406576569462,063-631-1333,302명,0명,302명,http://seojin.hs.kr,일반계 
오수고등학교,전라북도 임실군 오수면 충효로 2099-23,35.5475328558574,127.328142689025,063-642-5081,15명,7명,8명,http://osu.hs.kr,공업계  | 상업계 
이리공업고등학교,전라북도 익산시 동서로14길 30-2,35.9542133020483,126.953358714634,063-858-3712,484명,452명,32명,http://school.jbedu.kr/jb-it,공동실습소  | 공업계 
영선고등학교,전라북도 고창군 무장면 왕제산로 713,35.4142237787419,126.55800606642,063-562-9703,110명,73명,37명,http://youngsun.hs.kr,공업계  | 농업계  | 상업계  | 일반계 
설천고등학교,전라북도 무주군 설천면 하평지길 19,36.0125270224413,127.788123066654,063-324-7507,56명,29명,27명,http://www.seolcheonmhs.kr,상업계  | 일반계 
동국대학교사범대학부속금산고등학교,전라북도 김제시 금산면 모악로 47,35.7177325960008,126.999448078584,063-544-0722,59명,39명,20명,http://www.ksch.hs.kr,상업계  | 일반계 
인상고등학교,전라북도 정읍시 신태인읍 벽골제로 34,35.7178777127101,126.839202765502,063-571-6016,111명,91명,20명,http://www.insang.hs.kr,일반계 
한들고등학교,전라북도 군산시 대야면 만자로 60,35.943166743643,126.805080311175,063-451-2915,190명,130명,60명,http://handeul.hs.kr,상업계  | 일반계 
함열여자고등학교,전라북도 익산시 익산대로 1852,36.082957240512,126.969084868987,063-861-1080,254명,0명,254명,http://hygchs.hs.kr,가사계  | 상업계  | 일반계  | 통합계 
왕신여자고등학교,전라북도 정읍시 신태인읍 정신로 1094,35.6828796362932,126.889400628583,063-571-2184,21명,0명,21명,http://www.wsh.hs.kr,상업계  | 일반계 
고산고등학교,전라북도 완주군 고산면 고산천로 551-23,35.9798988050825,127.201659954076,063-262-4370,131명,76명,55명,http://jb-gosan.hs.kr,대안  | 상업계  | 일반계  | 특성화 
군산명화학교,전라북도 군산시 상나운1길 37,35.9660368522425,126.689905498852,063-462-2159,183명,0명,0명,http://myounghwa.sc.kr,일반계 
마령고등학교,전라북도 진안군 마령면 임진로 2076,35.7322462951527,127.372132197964,063-432-2518,58명,24명,34명,http://mrhs.hs.kr,상업계  | 일반계 
태인고등학교,전라북도 정읍시 태인면 석지로 1469,35.6526188487422,126.938943182742,063-534-4994,109명,71명,38명,http://www.taein.hs.kr,상업계  | 일반계 
완산고등학교,전라북도 전주시 완산구 능안자구길 55,35.8024091811144,127.0838849559,063-220-9202,552명,552명,0명,http://wansango.hs.kr,일반계 
배영고등학교,전라북도 정읍시 동학로 243,35.6012602616824,126.811653612323,063-533-4123,308명,308명,0명,http://www.baeyoung.hs.kr,일반계 
원광여자고등학교,전라북도 익산시 선화로13길 72,35.9543299805154,126.943432209441,063-850-1100,568명,0명,568명,http://www.wonkwang-gh.hs.kr/,일반계 
해리고등학교,전라북도 고창군 해리면 해리중앙로 146,35.4658241092471,126.538107483179,063-563-6044,16명,11명,5명,http://www.haeri.hs.kr/,일반계 
순창고등학교,전라북도 순창군 순창읍 옥천로 67-14,35.3799016241575,127.140550842785,063-653-2792,319명,182명,137명,http://sunchang.hs.kr,일반계 
전주중앙여자고등학교,전라북도 전주시 덕진구 석소로 25,35.8282830147596,127.167827614608,0632401822,694명,0명,694명,http://jungang.hs.kr,일반계 
원광고등학교,전라북도 익산시 무왕로31길 139,35.9732297489552,127.002282742267,063-832-6612,756명,756명,0명,http://www.wonkwang.hs.kr,일반계 
다솜학교,전라북도 정읍시 정읍남로 1146,35.5487820196195,126.833320365898,063-530-4551,84명,0명,0명,http://dasom.sc.kr,일반계 
군산중앙고등학교,전라북도 군산시 성산면 군장대길 13,36.0019765486563,126.784980294553,063-453-9163,574명,574명,0명,http://군산중앙고.한국,일반계 
전주여자고등학교부설방송통신고등학교,전라북도 전주시 덕진구 모래내6길 14,35.8366272883568,127.145884995471,063-710-5500,278명,0명,278명,http://www.jjg.hs.kr,일반계 
군산제일고등학교,전라북도 군산시 경기장로 142,35.9727314651808,126.749029566398,063-440-0240,714명,714명,0명,http://ksjeil.hs.kr,일반계 
강호항공고등학교,전라북도 고창군 고창읍 중거리당산로 78-22,35.4251123748773,126.699978621798,063-560-5000,476명,367명,109명,http://kangho.hs.kr,공업계  | 상업계 
한국치즈과학고등학교,전라북도 임실군 강진면 갈담3길 48,35.5332737828247,127.164772525361,063-643-1308,107명,77명,30명,http://www.kcs.hs.kr,농업계  | 상업계  | 일반계 
고창여자고등학교,전라북도 고창군 고창읍 모양성로 95,35.4393865980342,126.699076753501,063-560-3600,287명,0명,287명,http://www.gochanggirl.hs.kr,가사계  | 상업계  | 일반계 
동계고등학교,전라북도 순창군 동계면 강동로 74,35.45004831623,127.240649026793,063-652-4305,25명,14명,11명,http://www.donkhi.hs.kr,일반계 
만경고등학교,전라북도 김제시 만경읍 능제로 29,35.8485517415671,126.817222437691,063-542-5722,94명,94명,0명,http://mankyung.hs.kr,일반계 
호남고등학교,전라북도 정읍시 정읍남로 1364-13,35.5570963731923,126.851197551772,063-570-7815,363명,363명,0명,http://www.honam.hs.kr,일반계 
전라북도성일고등학교,전라북도 익산시 황등면 화강암로 229,36.0084551070698,126.94662181983,063-720-3500,178명,178명,0명,http://www.seongil.hs.kr,일반계 
전북기계공업고등학교,전라북도 익산시 인북로32길 41,35.9479521067314,126.96176059472,063-720-5300,702명,664명,38명,http://cmt.or.kr,공업계 공업계 
호남제일고등학교,전라북도 전주시 완산구 서원로 53,35.8139064090178,127.099259799851,063-220-9000,764명,351명,413명,http://www.no1.or.kr/,일반계 
전주상업정보고등학교,전라북도 전주시 완산구 따박골2길 21,35.8106763551036,127.124988043642,063-220-6401,445명,160명,285명,http://jgch.hs.kr/,상업계 상업계 상업계 
전주대학교사범대학부설고등학교,전라북도 전주시 완산구 천잠로 313,35.8153118811094,127.093816478905,063-220-9500,654명,0명,654명,http://www.jjbugo.hs.kr,상업계  | 일반계 
완주고등학교,전라북도 완주군 봉동읍 봉동로 172,35.9407673564038,127.166296535474,063-261-2619,432명,259명,173명,http://wanju.hs.kr,일반계 
고창고등학교,전라북도 고창군 고창읍 모양성로 50,35.4374082028384,126.700958782201,063-561-2441,342명,342명,0명,http://gochang.hs.kr,일반계 
진안공업고등학교,전라북도 진안군 진안읍 상역로 96,35.8005972222364,127.416703769873,063-433-2606,187명,187명,0명,http://jinan.hs.kr,공업계 
전주한일고등학교,전라북도 전주시 완산구 백제대로 442,35.8312392576414,127.123657885007,063-274-2161,772명,362명,410명,http://www.hanilgo.hs.kr/,일반계 
전주기전여자고등학교,전라북도 전주시 완산구 유연로 133,35.8262390877158,127.100654950668,063-236-8930,677명,0명,677명,http://kijun.hs.kr,일반계 
이리남성여자고등학교,전라북도 익산시 동서로35길 41,35.9563594359871,126.965996713832,063-841-3821,576명,0명,576명,http://namsungg.hs.kr/,일반계 
한국전통문화고등학교,전라북도 전주시 완산구 중인1길 68-13,35.7723743661857,127.097686853883,063-711-7704,226명,51명,175명,http://www.khch.hs.kr,가사계  | 예술계 
남원고등학교,전라북도 남원시 만인로 43,35.4210249622747,127.380232260664,063-630-7900,344명,344명,0명,http://www.namwon.hs.kr,일반계 
한별고등학교,전라북도 완주군 삼례읍 충혼안길 20,35.9078017125659,127.072372288991,82-63-291-2737,283명,0명,283명,http://www.hanbyeol.hs.kr,상업계  | 일반계 
전북체육고등학교,전라북도 완주군 소양면 원암로 46,35.8655498025607,127.250648786593,063-249-2222,190명,137명,53명,http://jbsports.hs.kr/,체육계 
동암고등학교,전라북도 전주시 완산구 소태정4길 1,35.806521358788,127.101229512282,063-223-5553,714명,714명,0명,http://www.dongam.hs.kr,일반계 
함열고등학교,전라북도 익산시 함열읍 와리3길 19-3,36.0826077774166,126.958976819044,063-861-0887,31명,31명,0명,http://hamyol.hs.kr,상업계  | 일반계 
한국경마축산고등학교,전라북도 남원시 운봉읍 황산로 952,35.4408014010888,127.516191310056,063-634-2031,88명,60명,28명,http://www.horseman.hs.kr,농업계 
지평선고등학교,전라북도 김제시 성덕면 성동길 183-4,35.8282123297901,126.831252426153,063-544-3155,89명,50명,39명,https://school.jbedu.kr/jipyeongseon-h,대안  | 일반계  | 특성화 
정주고등학교,전라북도 정읍시 정주1길 42,35.5428712544416,126.890218339836,063-530-5300,344명,101명,243명,http://jb-chongju.hs.kr,일반계 
유일여자고등학교,전라북도 전주시 덕진구 안덕원로 301,35.8390482272009,127.159992663148,063-245-3314,686명,0명,686명,http://www.yuil.hs.kr,일반계 
이일여자고등학교,전라북도 익산시 평동로7길 30,35.934587426833,126.948982520649,063-720-5140,568명,0명,568명,http://www.21.hs.kr,일반계 
임실고등학교,전라북도 임실군 임실읍 봉황로 257,35.6219295185811,127.286702610929,063-644-7512,190명,85명,105명,http://imsil.hs.kr,농업계  | 상업계  | 일반계 
전일고등학교,전라북도 전주시 완산구 우전로 249,35.8156759316143,127.099711914996,063-239-3005,707명,707명,0명,http://www.jeonil.hs.kr,일반계 
한국게임과학고등학교,전라북도 완주군 운주면 대둔산로 1336,36.0827843380548,127.28540490601,063-261-0700,118명,114명,4명,http://www.game.hs.kr,공업계  | 특성화 
전주신흥고등학교,전라북도 전주시 완산구 서원로 399,35.8154101294445,127.136276656272,063-232-7070,803명,803명,0명,http://jsh.hs.kr,일반계 
원광정보예술고등학교,전라북도 익산시 선화로13길 72,35.9543299805154,126.943432209441,063-850-0002,357명,25명,332명,http://wia.hs.kr,상업계 예술계  | 일반계  | 상업계 
인월고등학교,전라북도 남원시 인월면 인월장터로 48,35.4649563368536,127.602724712586,063-636-5763,50명,31명,19명,http://inwol.hs.kr,상업계  | 일반계 
위도고등학교,전라북도 부안군 위도면 위도로 245,35.604906988842,126.296184927395,063-582-9822,4명,0명,4명,http://www.wido.ms.kr,일반계 
김제고등학교,전라북도 김제시 남북2길 25,35.791077681293,126.897089320714,063-546-8392,121명,105명,16명,http://www.gimje.hs.kr,공업계  | 일반계 
군산여자상업고등학교,전라북도 군산시 신지길 42-8,35.9574539068912,126.707557566414,063-468-6502,378명,0명,378명,http://www.gunsan-gch.hs.kr,상업계 
전북과학고등학교,전라북도 익산시 금마면 용순신기길 48-69,36.0145716623971,127.034784480176,063-830-2301,151명,113명,38명,https://school.jbedu.kr/ejbs,과학계 
전북유니텍고등학교,전라북도 장수군 장계면 장계7길 3,35.7329098154775,127.581949816214,063-351-1518,118명,87명,31명,http://www.jbut.hs.kr,가사계  | 공업계 
진안제일고등학교,전라북도 진안군 진안읍 대광3길 25-5,35.7869700960317,127.420800698676,063-432-3041,131명,69명,62명,http://jajeil.hs.kr,상업계  | 일반계 
부안고등학교,전라북도 부안군 부안읍 문정로 32,35.716042573416,126.728917810177,063-584-2951,311명,311명,0명,http://buan.hs.kr,일반계 
전북맹아학교,전라북도 익산시 서동로46길 41,35.9413716099167,127.005595343984,063-833-2621,93명,0명,0명,http://jbb.sc.kr,일반계 
전주문학초등학교,전라북도 전주시 완산구 문학로 30,35.8282506108273,127.102676551756,063-715-1034,743명,370명,373명,http://jj-munhak.es.kr,일반계 
순창제일고등학교,전라북도 순창군 순창읍 담순로 1411,35.3789309165065,127.151425573223,063-653-1992,260명,116명,144명,http://www.scje.hs.kr,공업계  | 상업계  | 일반계  | 통합계 
푸른꿈고등학교,전라북도 무주군 안성면 진성로 2312-9,35.8643117892888,127.618634550286,063-323-2058,64명,38명,26명,http://www.purunkum.hs.kr,대안  | 일반계  | 특성화 
안천고등학교,전라북도 진안군 안천면 진무로 3071-9,35.9002972810363,127.560169389352,063-432-4072,23명,11명,12명,http://www.ancheon.hs.kr,일반계 
군산여자고등학교,전라북도 군산시 월명1길 16,35.9851423083447,126.703318303147,063-440-1100,981명,0명,981명,http://www.kunsan-gh.hs.kr/,일반계 
신태인고등학교,전라북도 정읍시 신태인읍 서태길 108,35.6919809649645,126.893726113703,063-571-2124,79명,79명,0명,http://www.sintaein.hs.kr,상업계  | 일반계 
전주솔내고등학교,전라북도 전주시 덕진구 송천중앙로 170,35.8630132302849,127.122506371647,063-270-8209,836명,0명,836명,http://www.solnae.hs.kr,일반계 
전북제일고등학교,전라북도 익산시 학곤로 19,35.9342429766998,126.941857622957,063-840-9720,601명,317명,284명,http://jbjeil.hs.kr,상업계  | 일반계 
