,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
한국뷰티고등학교,제주특별자치도 제주시 한경면 용고로 70,33.3000775772714,126.181867967975,064-795-8200,187명,29명,158명,http://kbeauty.jje.hs.kr,가사계  | 상업계 
제주특별자치도성산고등학교,제주특별자치도 서귀포시 성산읍 한도로 79-17,33.4702032373211,126.91516666622,064-786-5000,197명,136명,61명,http://jejuss.jje.hs.kr,공업계  | 수산해양계  | 일반계  | 종합계 
제주중앙여자고등학교,제주특별자치도 제주시 구남동5길 11,33.4913075478492,126.53948600477,064-717-3100,1145명,0명,1145명,http://jungang.jje.hs.kr,일반계 
대정여자고등학교,제주특별자치도 서귀포시 대정읍 대한로88번길 82-22,33.2291887736802,126.253314209595,064-730-5300,258명,0명,258명,http://djgirls.jje.hs.kr,일반계 
한림고등학교,제주특별자치도 제주시 한림읍 월계로 74,33.3977513606307,126.258319827377,064-795-5500,515명,271명,244명,http://hallim.jje.hs.kr,일반계 
서귀포고등학교,제주특별자치도 서귀포시 중앙로 140,33.2570172520025,126.563108014727,064-730-6300,583명,583명,0명,http://seogwipo.jje.hs.kr,일반계 
제주과학고등학교,제주특별자치도 제주시 산록북로 421-1,33.4266199894809,126.531444515992,064-754-0700,107명,83명,24명,http://jeju-s.jje.hs.kr,과학계 
신성여자고등학교,제주특별자치도 제주시 아봉로 174-1,33.4770042476752,126.564572389231,064-729-7300,973명,0명,973명,http://shinseong.jje.hs.kr,일반계 
제주특별자치도세화고등학교,제주특별자치도 제주시 구좌읍 세종로 26,33.516197330754,126.862739001471,064-780-1606,506명,259명,247명,http://sehwa.jje.hs.kr,일반계 
남주고등학교,제주특별자치도 서귀포시 동홍로303번길 14,33.2765216557037,126.564967701836,064-730-6000,565명,565명,0명,http://namju.jje.hs.kr,일반계 
제주외국어고등학교,제주특별자치도 제주시 애월읍 고성남길 34,33.4339757479804,126.425979138844,064-717-7700,281명,83명,198명,http://jejufl.jje.hs.kr,외국어계 
제주특별자치도삼성여자고등학교,제주특별자치도 서귀포시 검은여로 151,33.2543570651358,126.583574399057,064-760-5400,562명,0명,562명,http://samsung.jje.hs.kr,일반계 
제주고등학교,제주특별자치도 제주시 1100로 3213,33.4723734166954,126.481670922303,064-750-4114,710명,384명,326명,http://jeju.jje.hs.kr,가사계  | 공업계  | 농업계 
애월고등학교,제주특별자치도 제주시 애월읍 일주서로 6372-20,33.4602188962729,126.333396217069,064-797-5100,388명,164명,224명,http://aewol.jje.hs.kr,상업계  | 예술계  | 일반계  | 종합계 
제주제일고등학교부설방송통신고등학교,제주특별자치도 제주시 진군길 22,33.4800295820408,126.480705328028,064-740-8200,430명,187명,243명,http://www.cyber.hs.kr,일반계 
제주여자상업고등학교,제주특별자치도 제주시 동문로 89-1,33.514660180355,126.536352998468,064-754-0100,578명,0명,578명,http://jejugc.jje.hs.kr,상업계 
표선고등학교,제주특별자치도 서귀포시 표선면 표선중앙로 22-15,33.3311572650654,126.826996013609,064-786-5500,342명,197명,145명,http://jjps.jje.hs.kr,가사계  | 가사실업계  | 상업계  | 일반계  | 종합계 
대정고등학교,제주특별자치도 서귀포시 대정읍 일주서로2498번길 21,33.2319799989913,126.259500374588,064-730-0100,293명,293명,0명,http://daejeong.jje.hs.kr,일반계 
제주제일고등학교,제주특별자치도 제주시 진군길 22,33.4800295820408,126.480705328028,064-740-8200,1180명,1180명,0명,http://jeil.jje.hs.kr,일반계 
제주특별자치도영주고등학교,제주특별자치도 제주시 첨단동길 92,33.4547867199073,126.579764162228,064-729-6200,597명,396명,201명,http://jyj.jje.hs.kr,공업계  | 일반계  | 종합계 
남녕고등학교,제주특별자치도 제주시 도령로 55,33.4900568362415,126.481980723796,064-717-6123,1204명,616명,588명,http://namnyeong.jje.hs.kr,일반계  | 체육계 
중문고등학교,제주특별자치도 서귀포시 일주서로570번길 19,33.254864833938,126.446894881355,064-735-7400,337명,172명,165명,http://jungmun.jje.hs.kr,가사계  | 상업계 
서귀포산업과학고등학교,제주특별자치도 서귀포시 516로 501,33.2976458557396,126.594767157466,064-730-5500,393명,319명,74명,http://sis.jje.hs.kr,공업계  | 농업계 
한림공업고등학교,제주특별자치도 제주시 한림읍 한림중앙로 87,33.4065260376529,126.26991230369,064-797-3200,661명,618명,43명,http://hallim-th.jje.hs.kr,공업계 
제주대학교사범대학부설고등학교,제주특별자치도 제주시 용담로 65,33.5137606145563,126.5102401196,064-754-6500,813명,413명,400명,http://jnuh.jje.hs.kr,일반계 
함덕고등학교,제주특별자치도 제주시 조천읍 신흥로 9,33.5445837587304,126.651437272661,064-780-7800,397명,251명,146명,http://hamdeok.jje.hs.kr,상업계  | 예술계  | 일반계 
서귀포여자고등학교,제주특별자치도 서귀포시 태평로 80,33.2434957468657,126.530797586105,064-766-1100,564명,0명,564명,http://sgpo.jje.hs.kr,일반계 
대기고등학교,제주특별자치도 제주시 번영로 453-6,33.4925098054592,126.593279426577,064-721-5142,974명,974명,0명,http://www.daykey.hs.kr,일반계 
제주여자고등학교,제주특별자치도 제주시 구산로 50,33.4833336972294,126.539762116082,064-728-0100,978명,0명,978명,http://jeju-g.jje.hs.kr,일반계 
오현고등학교,제주특별자치도 제주시 일주동로 101,33.5178018797061,126.556448684201,064-754-0800,1047명,1047명,0명,http://ohyun.jje.hs.kr,일반계 
제주중앙고등학교,제주특별자치도 제주시 아봉로 323,33.474169844483,126.57337322333,064-721-1152,758명,499명,259명,http://jja.jje.hs.kr,상업계  | 일반계  | 종합계 
