,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
당진중학교대호지분교장,충청남도 당진시 대호지면 4.4만세로 75-22,36.899529769358,126.509212251432,041-352-2557,16명,12명,4명,http://www.daehoji.cnems.kr,일반계 
서산공업고등학교,충청남도 서산시 운산면 운암로 1072-12,36.8093153632544,126.58785075912,041-689-6801,366명,351명,15명,http://seosan-tech.cnehs.kr,공업계 
천안중학교부설방송통신중학교,충청남도 천안시 동남구 충절로 90,36.8113382608385,127.156420959831,041-567-0900,144명,18명,126명,http://www.cyber.ms.kr/user/index.do,일반계 
엄사중학교,충청남도 계룡시 엄사면 번영11길 3,36.2881500887704,127.229989405496,042-841-9675,580명,311명,269명,http://umsa.cnems.kr,일반계 
충청남도 정의여자고등학교,서울특별시 도봉구 노해로49길 69,37.6533558400471,127.032427255133,02-992-5104,697명,0명,697명,http://jeongeui.sen.hs.kr,일반계 
삽교중학교,충청남도 예산군 삽교읍 삽교로 173,36.6866152503145,126.749518549952,041-337-2872,77명,36명,41명,http://sapgyo.cnems.kr,일반계 
천안차암초등학교,충청남도 천안시 서북구 스마일시티1로 50,36.8445948117941,127.105951947374,041-413-3500,1479명,752명,727명,http://www.chaam.caees.kr/,일반계 
충남다사랑학교,충청남도 아산시 둔포면 아산밸리동로 247,36.9166970787979,127.066589130827,041-427-3505,9명,2명,7명,http://cndalove.cnesc.kr/,대안 
순성중학교,충청남도 당진시 순성면 틀모시로 146,36.8524102080549,126.706178026134,041-353-5367,53명,22명,31명,http://soonsung.cnems.kr,일반계 
부여정보고등학교,충청남도 부여군 규암면 충절로2316번길 24,36.2773164906126,126.881773654059,041-835-7987,170명,92명,78명,http://bishs.cnehs.kr,상업계 
웅천중학교,충청남도 보령시 웅천읍 방축길 87,36.2344679062422,126.604144680783,041-931-8782,57명,32명,25명,http://uc.cnems.kr,일반계 
천안두정중학교,충청남도 천안시 서북구 두정중1길 26,36.8361082805249,127.139171967244,041-561-6802,886명,480명,406명,http://www.dujeong.caems.kr,일반계 
장항고등학교,충청남도 서천군 장항읍 성화로193번길 6,36.0163803914559,126.706694516323,041-956-6611,175명,67명,108명,http://janghang.cnehs.kr,일반계 
충청남도 서일중학교,서울특별시 서초구 서운로21길 2,37.4985298571843,127.023220688907,02-3482-9663,1061명,555명,506명,http://seoil.sen.ms.kr,일반계 
광천중학교,충청남도 홍성군 광천읍 광천로 396-34,36.5101349166923,126.629917331713,041-641-0552,149명,88명,61명,http://kwangcheon.cnems.kr,일반계 
온양한올고등학교,충청남도 아산시 청운로 158,36.7885510480332,127.010535692179,041-544-8161,944명,0명,944명,http://www.hanol.cnehs.kr,상업계  | 일반계 
천안북중학교,충청남도 천안시 동남구 중앙로 188,36.8144879735244,127.154511479884,041-561-4656,653명,349명,304명,http://www.chonanbuk.caems.kr,일반계 
송악중학교,충청남도 당진시 송악읍 송악로 165,36.9165824387309,126.704762234627,041-351-2303,789명,398명,391명,http://songak.cnems.kr,일반계 
장항중학교,충청남도 서천군 장항읍 장서로16번길 79,36.0078885114106,126.701773951341,041-956-0010,225명,116명,109명,http://janghang.cnems.kr,일반계 
충청남도 신창중학교,서울 노원구 월계로45길 92,37.6285588034653,127.047477602261,02-904-4206,341명,137명,204명,http://sc.sen.ms.kr,일반계 
서산부춘중학교,충청남도 서산시 부춘2로 42,36.7861560509379,126.44353329163,041-667-0127,489명,229명,260명,http://buchun.cnems.kr,일반계 
부리중학교,충청남도 금산군 부리면 말골길 57,36.0659506904157,127.555678425781,041-753-7532,17명,6명,11명,http://www.puri.cnems.kr,일반계 
보령중학교,충청남도 보령시 주포면 보령읍성길 87-37,36.4170605658973,126.590592738743,041-932-7008,51명,23명,28명,http://boryeong.cnems.kr,일반계 
충청남도 장기중학교,경기도 김포시 청송로 5,37.6478799480208,126.66483546403,031-986-7301,1145명,615명,530명,http://www.janggi.ms.kr,일반계 
연산중학교,충청남도 논산시 연산면 청동로 113-14,36.2137340646592,127.207478495872,041-733-6755,116명,63명,53명,http://ys.cnems.kr,일반계 
논산대건고등학교,충청남도 논산시 논산대로 119,36.1848039405417,127.078438303545,041-735-1961,498명,498명,0명,http://nonsandaegeon.cnehs.kr,일반계 
온양신정중학교,충청남도 아산시 온천대로 1333번길 31,36.7885162143346,126.987979396754,041-547-3072,731명,409명,322명,http://oysj.cnems.kr,일반계 
서산중앙고등학교,충청남도 서산시 벌말1길 23,36.7788718186191,126.471964048685,041-665-2059,627명,366명,261명,http://www.sjh.cnehs.kr,공업계  | 농업계  | 일반계 
고북중학교,충청남도 서산시 고북면 고북1로 320-1,36.6696385335896,126.534029225574,041-664-8744,36명,18명,18명,http://gobuk.cnems.kr,일반계 
성환중학교,충청남도 천안시 서북구 성환읍 성환2로 79,36.9147153855475,127.130968891615,041-581-0381,344명,194명,150명,http://seonghwan.caems.kr,일반계 
풀무농업고등기술학교,충청남도 홍성군 홍동면 광금남로699번길 22-33,36.5647546502551,126.688024139889,041-633-1419,78명,44명,34명,http://poolmoo.cnehs.kr,농업계 
천안신당고등학교,충청남도 천안시 서북구 신당새터2길 36,36.8514835223462,127.159711451013,041-523-4822,747명,427명,320명,http://www.casd.caehs.kr,일반계 
부여여자고등학교,충청남도 부여군 부여읍 부소로 47,36.2853199293361,126.91529233531,041-834-4148,295명,0명,295명,http://buyeoyeo.cnehs.kr,일반계 
남포중학교,충청남도 보령시 남포면 야동2길 24,36.2947562850133,126.591374330409,041-933-0187,34명,19명,15명,http://nampo.cnems.kr,일반계 
아산스마트팩토리마이스터고등학교,충청남도 아산시 둔포면 둔포중앙로133번길 42,36.9290758644475,127.043661613334,041-422-4211,237명,231명,6명,http://www.asanmecha.cnehs.kr,공업계  | 상업계  | 일반계 
충청남도 한솔중학교,세종특별자치시 나리로 43,36.4761693545439,127.254980231186,044-868-1731,859명,428명,431명,http://sjhansol.sjedums.kr,일반계 
천안공업고등학교,충청남도 천안시 동남구 성황5길 17,36.8148469316667,127.155650756436,041-558-9803,975명,924명,51명,http://www.ct.caehs.kr/main.do,공업계 
해미중학교,충청남도 서산시 해미면 남문2로 93,36.7151506228911,126.544413381857,041-688-5814,195명,106명,89명,http://www.haemi.cnems.kr/,일반계 
천안업성고등학교,충청남도 천안시 서북구 업성3길 65-11,36.8616619908976,127.137930566894,041-587-7901,887명,529명,358명,http://www.upsung.caehs.kr/,일반계 
충남외국어고등학교,충청남도 아산시 탕정면 탕정면로 53-60,36.8040436116285,127.061467011924,041-538-4012,410명,103명,307명,http://cnfl.cnehs.kr,외국어계 
남면중학교,충청남도 태안군 남면 남면로 125,36.6735434929808,126.300172758797,041-672-3512,42명,27명,15명,http://nammyun.cnems.kr,일반계 
도고중학교,충청남도 아산시 도고면 도고산로 573,36.7426876174351,126.901801714772,041-544-7601,28명,16명,12명,http://dogo.cnems.kr,일반계 
부여중학교,충청남도 부여군 부여읍 석탑로 14,36.2779943090428,126.914128693213,041-832-3885,326명,326명,0명,http://buyeoms.cnems.kr,일반계 
연무고등학교,충청남도 논산시 연무읍 동안로887번길 5,36.1353646633004,127.104632779259,041-741-5674,380명,228명,152명,http://yeonmu.cnehs.kr,일반계 
온양고등학교,충청남도 아산시 온천대로 1411,36.7837015262243,126.995175389687,041-539-1800,940명,940명,0명,http://ongo.cnehs.kr,일반계 
건양대학교병설건양중학교,충청남도 논산시 양촌면 황산벌로 486-21,36.1415576429175,127.234340316634,82-41-741-2101,111명,65명,46명,http://konyang.cnems.kr,일반계 
서일고등학교,충청남도 서산시 지곡면 화천3길 56,36.8593005534215,126.432499331081,041-669-1081,458명,225명,233명,http://www.seoilgo.cnehs.kr/,일반계 
인지중학교,충청남도 서산시 인지면 무학로 1654-9,36.7500274487864,126.426875135219,041-669-1143,192명,110명,82명,http://inji.cnems.kr/,일반계 
서산성봉학교,충청남도 서산시 성연면 명천1길 181-16,36.8339576054815,126.500372446831,041-660-2900,144명,0명,0명,http://seongbong.cnesc.kr,일반계 
부여전자고등학교,충청남도 부여군 임천면 충절로 1027,36.176274875109,126.891786502362,041-833-2081,65명,64명,1명,http://www.garim.cnehs.kr,공업계 
동강중학교,충청남도 서천군 기산면 충절로 624,36.0718897810078,126.749165185165,041-951-1007,72명,37명,35명,http://www.donggang.cnems.kr,일반계 
대천서중학교,충청남도 보령시 대천항로 212,36.3184930688716,126.514119894237,041-931-3471,63명,28명,35명,http://daechunseo.cnems.kr,일반계 
천성중학교,충청남도 천안시 동남구 벌말1길 7,36.8126868075793,127.174036347635,041-551-7450,453명,453명,0명,http://csc.caems.kr,일반계 
온양중학교,충청남도 아산시 온중로 48,36.77370904709,126.998372104195,041-536-4455,863명,863명,0명,http://onyang.cnems.kr,일반계 
동영중학교,충청남도 청양군 남양면 금천길 70-36,36.400910369495,126.76634262827,041-942-1714,15명,12명,3명,http://www.dongyoung.cnems.kr,일반계 
충청남도 서천고등학교,경기도 용인시 기흥구 서천서로 126,37.2341055198717,127.069475951684,031-546-7200,791명,410명,381명,http://www.seocheongo.hs.kr,일반계 
천안중앙고등학교,충청남도 천안시 동남구 충절로 91,36.8110620562411,127.159887446254,041-567-7910,1284명,1284명,0명,http://caja.caehs.kr,일반계 
충청남도 진산중학교,인천광역시 부평구 충선로234번길 70,37.5094586083388,126.740309969111,032-628-4300,971명,504명,467명,http://jinsan.icems.kr,일반계 
주산산업고등학교,충청남도 보령시 주산면 만세운동길 58,36.1986075848238,126.636360365567,041-928-8200,173명,136명,37명,http://jusan.cnehs.kr,공업계  | 농업계 
충청남도 전의중학교,세종특별자치시 전의면 운주산로 1260-6,36.681656191745,127.197587133786,044-863-3201,100명,58명,42명,http://jeonui.sjedums.kr,일반계 
갈산고등학교,충청남도 홍성군 갈산면 상촌로9번길 39,36.6057750976329,126.548547017897,041-634-5308,170명,96명,74명,http://galsan.cnehs.kr,일반계 
논산공업고등학교,충청남도 논산시 시민로 365,36.1982147134331,127.08761047878,041-736-1634,310명,285명,25명,http://nstl.cnehs.kr,공업계 
서해삼육고등학교,충청남도 홍성군 광천읍 홍남로705번길 23,36.5065521111372,126.627050169689,041-641-0938,181명,94명,87명,http://seohae36.cnehs.kr,일반계 
대술중학교,충청남도 예산군 대술면 대술로 135-7,36.6566695049121,126.891737072432,041-333-5007,14명,8명,6명,http://daesul.cnems.kr,일반계 
이인중학교,충청남도 공주시 이인면 금광로 12-5,36.3594078286597,127.063904968725,041-857-3102,15명,9명,6명,http://www.iinmiddle.cnems.kr,일반계 
온양여자중학교,충청남도 아산시 온여고길21번길 22,36.7769684295812,127.014373540568,041-544-3162,958명,0명,958명,http://oyg.cnems.kr,일반계 
천안인애학교,충청남도 천안시 서북구 성거읍 봉주로 229,36.8795943886174,127.172599640502,041-629-9000,241명,0명,0명,http://inae.caesc.kr,일반계 
논산중학교,충청남도 논산시 시민로397번길 28,36.1982643223662,127.085809838991,041-735-2835,325명,325명,0명,http://nonsan.cnems.kr,일반계 
부여고등학교,충청남도 부여군 부여읍 금성로91번길 3,36.273863624472,126.923024609315,041-836-6004,414명,414명,0명,http://buyeo.cnehs.kr,일반계 
태안고등학교,충청남도 태안군 태안읍 백화로 251,36.7542989340155,126.317812777164,041-675-8182,376명,252명,124명,http://taean.cnehs.kr,일반계 
천안계광중학교,충청남도 천안시 동남구 봉명로 53,36.8094168711828,127.134341576767,041-572-9013,503명,503명,0명,http://gg.caems.kr,일반계 
예산여자고등학교,충청남도 예산군 예산읍 주교로 36,36.6847622372514,126.833692181446,041-335-2490,416명,0명,416명,http://yesan-girls.cnehs.kr,일반계 
청라중학교,충청남도 보령시 청라면 대청로 804,36.3888891609215,126.662266636419,041-932-5642,112명,67명,45명,http://www.chungra.cnems.kr,일반계 
서천여자중학교,충청남도 서천군 서천읍 군청로 84,36.081394575552,126.693820027329,041-950-7070,135명,0명,135명,http://www.seocheongl.cnems.kr/main.do,일반계 
서림여자중학교,충청남도 서천군 서천읍 화금서길 45,36.0831275230867,126.699336163116,041-951-7467,65명,0명,65명,http://www.seorim-g.cnems.kr/,일반계 
서산중학교,충청남도 서산시 덕지천로 90,36.7690953466335,126.458370439795,041-664-5573,914명,914명,0명,http://seosan.cnems.kr,일반계 
예산중학교,충청남도 예산군 예산읍 예중길 40,36.6784185395473,126.833745888767,041-331-2892,517명,517명,0명,http://www.ysms.cnems.kr/,일반계 
논산여자상업고등학교,충청남도 논산시 시민로 197,36.184821475868,127.095938041253,041-732-2923,397명,0명,397명,http://www.nonsan-gch.cnehs.kr,가사실업계  | 상업계 
천안상업고등학교,충청남도 천안시 서북구 천일고1길 43-9,36.8583568491625,127.157905431189,041-551-6512,804명,538명,266명,http://sanggo.caehs.kr,상업계  | 상업계  | 일반계 
공주생명과학고등학교,충청남도 공주시 금벽로 317,36.4734663879329,127.122704017145,041-858-3500,273명,201명,72명,http://gongju-agr.cnehs.kr,농업계 
충청남도 갈산중학교,인천광역시 부평구 주부토로 166,37.5102242033501,126.726542132382,032-527-7144,418명,203명,215명,http://kalsan.icems.kr,일반계 
쌘뽈여자고등학교,충청남도 논산시 시민로 411,36.2004486050429,127.08588538671,041-735-2864,384명,0명,384명,http://stpaul.cnehs.kr,일반계 
장항공업고등학교,충청남도 서천군 장항읍 신창서로 77,36.0139413221303,126.685673074576,041-955-5600,144명,141명,3명,http://www.jhth.cnehs.kr,공업계  | 일반계 
충청남도 청웅중학교,전라북도 임실군 청웅면 청웅로 131-7,35.5694202370907,127.198291318967,063-643-8020,21명,8명,13명,http://chwoong.ms.kr,일반계 
충청남도 대흥중학교,경기도 시흥시 서해안로 1587,37.4474037577668,126.784269153061,070-7097-0916,322명,172명,150명,http://www.daehung.ms.kr,일반계 
광풍중학교,충청남도 천안시 동남구 풍세면 광풍로 1021-11,36.715279208454,127.115588132706,041-566-7007,175명,145명,30명,http://gwangpung.caems.kr,일반계 
논산고등학교,충청남도 논산시 시민로 173-9,36.1816491665691,127.098020737065,041-980-0500,243명,243명,0명,http://nsh.cnehs.kr,일반계 
홍주중학교,충청남도 홍성군 홍성읍 문화로 78,36.5927792950641,126.662591570724,041-632-3888,301명,301명,0명,http://hongju.cnems.kr,일반계 
충청남도 양성중학교,경기도 안성시 양성면 양성로 51,37.0631466121348,127.195808527307,031-670-7900,56명,25명,31명,http://www.yangseong.ms.kr,일반계 
서야고등학교,충청남도 당진시 합덕읍 덕평로 335,36.792745948338,126.787786559982,041-363-0712,260명,162명,98명,http://seo-ya.cnehs.kr,일반계 
서천여자정보고등학교,충청남도 서천군 서천읍 화금서길 45,36.0831275230867,126.699336163116,041-953-3501,136명,0명,136명,http://www.sochon-i.cnehs.kr,상업계 
둔포중학교,충청남도 아산시 둔포면 둔포중앙로161번길 26-13,36.9263531265882,127.04340012056,041-531-2251,150명,75명,75명,http://dunpo.cnems.kr,일반계 
만리포고등학교,충청남도 태안군 소원면 서해로 631,36.760358435444,126.190822786927,041-672-0432,91명,80명,11명,http://manripo.cnehs.kr,일반계 
창기중학교,충청남도 태안군 안면읍 황도로 3-16,36.5775788163695,126.333664351751,041-673-3194,12명,6명,6명,http://www.changgi.cnems.kr,일반계 
공주금성여자고등학교,충청남도 공주시 무령로 103,36.4579238822612,127.112616899073,041-854-3966,436명,0명,436명,http://ksgh.cnehs.kr,일반계 
예산여자중학교,충청남도 예산군 예산읍 벚꽃로 197-17,36.6985443912766,126.834943916091,041-334-2491,444명,0명,444명,http://www.ysgm.cnems.kr,일반계 
아산중학교,충청남도 아산시 번영로115번길 21,36.7890605552294,127.004603450939,041-545-3173,835명,835명,0명,http://www.asan.cnems.kr,일반계 
부여여자중학교,충청남도 부여군 부여읍 월함로 34,36.2874606483916,126.924486845751,041-834-4031,314명,0명,314명,http://buyeogirls.cnems.kr,일반계 
천안오성고등학교,충청남도 천안시 서북구 과수원길 27,36.8415728525635,127.142147357812,041-558-3702,1176명,625명,551명,http://ohsung.caehs.kr,일반계 
제원중학교,충청남도 금산군 제원면 금강로 61,36.1121613504457,127.540511168482,041-753-7321,36명,17명,19명,http://jewon.cnems.kr/,일반계 
