,주소,위도,경도,전화번호,재학생 수,남학생 수,여학생 수,홈페이지,계열
충주성심학교,충청북도 충주시 봉현로 261,36.9779485567969,127.932702824511,043-847-3230,87명,0명,0명,http://school.cbe.go.kr/sungsim-s,일반계 
한국폴리텍다솜고등학교,충청북도 제천시 원강저로 94,37.1117505641607,128.219275598718,043-649-2800,130명,114명,16명,http://dasom.kopo.ac.kr,대안 
보은고등학교,충청북도 보은군 보은읍 보은로 17,36.4753094757578,127.720551218454,043-540-6622,248명,180명,68명,http://school.cbe.go.kr/boeun-h,일반계 
산남고등학교,충청북도 청주시 서원구 두꺼비로 7,36.6086188054178,127.469389082295,043-715-6300,759명,0명,759명,http://school.cbe.go.kr/sannam-h,일반계 
진천상업고등학교,충청북도 진천군 진천읍 문화3길 25,36.8477639570272,127.443685327015,043-533-3502,272명,127명,145명,http://school.cbe.go.kr/jcch-h,상업계 
학산고등학교,충청북도 영동군 학산면 학산양산로 12,36.1009050611757,127.682036624403,043-743-6392,43명,19명,24명,http://school.cbe.go.kr/haksan-m,상업계  | 일반계 
충청북도 흥덕고등학교,경기도 용인시 기흥구 흥덕2로 36,37.2707575816693,127.074458705617,031-218-0200,697명,363명,334명,http://www.hd.hs.kr,일반계 
증평공업고등학교,충청북도 증평군 증평읍 광장로 180,36.780952175247,127.590323115812,043-838-0332,295명,234명,61명,http://school.cbe.go.kr/jptec-h,공업계 
청암학교,충청북도 제천시 의병대로45길 58,37.1404737301571,128.251683196416,043-649-0214,103명,0명,0명,http://school.cbe.go.kr/cheongam-s/,일반계 
광혜원고등학교,충청북도 진천군 광혜원면 덕성산로 56,36.9942957351488,127.428049765617,043-535-8434,302명,140명,162명,http://school.cbe.go.kr/ghw-h,공업계  | 일반계 
봉명고등학교,충청북도 청주시 흥덕구 월명로220번길 19,36.6549256507498,127.45528387963,043-299-0100,680명,339명,341명,http://school.cbe.go.kr/cbm-h/M01,일반계 
형석고등학교,충청북도 증평군 증평읍 미암로 26,36.7937851696202,127.592577467362,043-835-1310,312명,152명,160명,http://school.cbe.go.kr/hshs-h,일반계 
제천산업고등학교,충청북도 제천시 단양로10길 160,37.119628709557,128.234242467295,043-646-9660,311명,213명,98명,http://school.cbe.go.kr/jci-h,가사실업계  | 공업계  | 상업계 
한림디자인고등학교,충청북도 충주시 야현1길 21,36.9800411299019,127.939038689106,043-841-2200,493명,0명,493명,http://school.cbe.go.kr/had-h,가사실업계  | 상업계 
국원고등학교,충청북도 충주시 사직산6길 20,36.9694818572171,127.926967532018,043-844-7560,463명,247명,216명,http://www.gukwon.hs.kr,농업계  | 일반계 
청주고등학교부설방송통신고등학교,충청북도 청주시 흥덕구 사직대로 79,36.6360235135755,127.45523313082,043-269-1235,266명,79명,187명,http://cyber.hs.kr/servlet/controller.ho,일반계 
괴산고등학교,충청북도 괴산군 괴산읍 읍내로 106,36.7965784776823,127.779633800604,043-833-1903,328명,174명,154명,http://school.cbe.go.kr/goesan-h,일반계  | 직업 
세광고등학교,충청북도 청주시 서원구 2순환로 1572,36.6034235348189,127.4526310398,043-230-1900,743명,743명,0명,http://school.cbe.go.kr/skhs-h/,일반계 
한국호텔관광고등학교,충청북도 단양군 단성면 북상하리길 69,36.9265573545714,128.338508425847,043-422-0669,194명,109명,85명,http://www.hoteltourism.hs.kr,가사계  | 공업계 
충주고등학교,충청북도 충주시 예성로 37,36.9616525175304,127.930283690658,043-840-6700,589명,589명,0명,http://school.cbe.go.kr/chungju-h/M01,일반계 
충주여자고등학교,충청북도 충주시 형설로 77,36.96093611054,127.938159839468,043-850-9750,612명,0명,612명,http://school.cbe.go.kr/chungjugirl-h,일반계 
충주예성여자고등학교,충청북도 충주시 호암대로 42,36.9546051352336,127.930600126924,043-870-1903,591명,0명,591명,http://school.cbe.go.kr/yesung-h,일반계 
청석고등학교,충청북도 청주시 상당구 원봉로 75,36.614439149712,127.506615380946,043-297-2623,756명,756명,0명,http://school.cbe.go.kr/cs-h,일반계 
대금고등학교,충청북도 음성군 금왕읍 신내로 507,36.9818496332201,127.527925230581,043-750-5505,400명,196명,204명,http://school.cbe.go.kr/daegeum-h,일반계 
서전고등학교,충청북도 진천군 덕산읍 대하로 47,36.8994814924856,127.525952936304,043-537-8737,521명,238명,283명,http://school.cbe.go.kr/seojeon-h,일반계 
운호고등학교,충청북도 청주시 서원구 무심서로 375,36.6250531729266,127.485186821478,043-287-7912,755명,755명,0명,http://www.unho.hs.kr/,일반계 
청주맹학교,충청북도 청주시 상당구 영운로 122-1,36.6264856105992,127.496084254168,043-253-7761,83명,0명,0명,http://school.cbe.go.kr/chsb-s,일반계 
청주공업고등학교,충청북도 청주시 상당구 교서로 17,36.6376457047777,127.485679488416,043-229-5300,934명,934명,0명,http://school.cbe.go.kr/ck-h,공업계 
청주여자상업고등학교,충청북도 청주시 서원구 무심서로 377-1,36.6259579704967,127.483908264184,043-288-7362,516명,0명,516명,http://3croba.hs.kr,상업계 
제천제일고등학교,충청북도 제천시 의병대로 177,37.1352577629342,128.220868719352,043-640-6210,522명,294명,228명,http://school.cbe.go.kr/jcjeil-h,농업계  | 일반계 
청주고등학교,충청북도 청주시 흥덕구 사직대로 79,36.6360235135755,127.45523313082,043-269-1235,927명,927명,0명,http://school.cbe.go.kr/cheongju-h,일반계 
충청북도 금천고등학교,서울특별시 금천구 시흥대로38길 26,37.4448950223082,126.904901769267,02-896-3181,676명,297명,379명,http://Geumcheon.sen.hs.kr,일반계 
충북생명산업고등학교,충청북도 보은군 보은읍 자영고길 10,36.4909954876594,127.715466226859,043-543-1105,239명,157명,82명,https://school.cbe.go.kr/cbb-h,농업계 
충주공업고등학교,충청북도 충주시 형설로 120,36.9655694197014,127.940494833628,043-841-1400,461명,431명,30명,http://www.cjth.hs.kr,공업계 
황간고등학교,충청북도 영동군 황간면 남성동3길 4-22,36.2349464928827,127.910531045175,043-740-9714,64명,29명,35명,http://school.cbe.go.kr/hgn-h/M01,일반계 
충원고등학교,충청북도 충주시 엄정면 동막강현길 377,37.0880698822752,127.910885020972,043-852-1526,222명,138명,84명,https://school.cbe.go.kr/chungwon-h/M01,일반계 
오송고등학교,충청북도 청주시 흥덕구 오송읍 오송생명3로 95,36.6296200178343,127.325984578968,043-238-8902,662명,289명,373명,http://school.cbe.go.kr/os-h,일반계 
충주대원고등학교,충청북도 충주시 안림로 43,36.9713332827788,127.951822991766,043-840-0800,614명,614명,0명,http://www.daewon.hs.kr,일반계 
충청북도 청원고등학교,서울특별시 노원구 한글비석로 506,37.6652515464657,127.062532889006,02-3399-7771,1098명,1098명,0명,http://cheongwon.sen.hs.kr,일반계 
일신여자고등학교,충청북도 청주시 상당구 영운로 126,36.6269278328665,127.496896853947,043-257-7560,821명,0명,821명,http://www.cjis.hs.kr,일반계 일반계 
한국바이오마이스터고등학교,충청북도 진천군 진천읍 남산4길 13,36.8508794817661,127.440054549788,043-532-1346,337명,137명,200명,http://school.cbe.go.kr/kbm-h,공업계  | 농업계  | 바이오(농업)계열 
양업고등학교,충청북도 청주시 흥덕구 옥산면 환희길 277,36.6713722574494,127.347391967082,043-260-5076,118명,65명,53명,http://www.yangeob.hs.kr,대안  | 일반계 
양청고등학교,충청북도 청주시 청원구 오창읍 양청6길 33,36.7269901795973,127.433520117315,043-717-8800,737명,371명,366명,http://school.cbe.go.kr/yc-h/M01,일반계 
청주중앙여자고등학교,충청북도 청주시 서원구 천석로 15,36.6377691526954,127.464554509134,043-271-2985,835명,0명,835명,http://school.cbe.go.kr/cjjang-h,일반계 
제천상업고등학교,충청북도 제천시 의병대로 243,37.1336491307847,128.228418168079,043-640-6705,397명,184명,213명,http://school.cbe.go.kr/jcc-h,상업계 
음성고등학교,충청북도 음성군 음성읍 중앙로 109-16,36.9337756057864,127.686247591306,043-873-9973,466명,232명,234명,http://school.cbe.go.kr/eumseong-h/M01,일반계 
충주중산고등학교,충청북도 충주시 방아길 20,36.9467218549611,127.937921958573,043-851-2783,464명,230명,234명,http://www.joongsan.hs.kr,외국어계  | 일반계 
충북과학고등학교,충청북도 청주시 상당구 가덕면 교육원로 153-135,36.5877912123634,127.569177188357,043-715-2505,145명,113명,32명,http://school.cbe.go.kr/cbs-h/M01,과학계 
청주하이텍고등학교,충청북도 청주시 서원구 1순환로1137번길 59,36.6092143647472,127.492367890132,043-299-1705,403명,355명,48명,http://cjh.hs.kr,공업계  | 일반계 
청주신흥고등학교,충청북도 청주시 청원구 율봉로 229,36.6696511596904,127.496519360521,043-211-8802,758명,758명,0명,http://shinheung.sc.kr,일반계 
충북예술고등학교,충청북도 청주시 흥덕구 서부로 1185,36.6108636042648,127.432754099608,043-230-0622,277명,57명,220명,http://cbart.hs.kr,예술계 
충청북도 영동고등학교,서울특별시 강남구 선릉로 742,37.5213890143821,127.043739258782,02-542-5071,797명,797명,0명,http://yd.sen.hs.kr,일반계 
